ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_113360_928885,113359.54280000,928884.91100000,BC,672436,117,L STREET,,,,,1,,,01376,,MONTAGUE,MONTAGUE,MA,,117,117,,,,,,,,,L,STREET,ST,,,26019,,209,192,192,2013-12-10,-72.5558510829536,42.60570619196861,040701
M_113633_927342,113632.78240000,927342.03860000,BC,670220,87,MONTAGUE STREET,,,,,,,,01376,,MONTAGUE,MONTAGUE,MA,,87,87,,,,,,,,,MONTAGUE,STREET,ST,,,26193,,209,192,192,2013-12-10,-72.55228961337745,42.591848366378194,040702
M_114963_927055,114962.84380000,927054.70600000,BMP,669975,23,NORMAN CIRCLE,,,,,,,,01376,,MONTAGUE,MONTAGUE,MA,,23,23,,,,,,,,,NORMAN,CIRCLE,CIR,,,26058,,209,192,192,2013-12-10,-72.53604336302054,42.58940849415766,040701
M_113570_929133,113570.36560000,929133.15940000,BC,672833,19,L STREET,,,,,1,,,01376,,MONTAGUE,MONTAGUE,MA,,19,19,,,,,,,,,L,STREET,ST,,,26019,,209,192,192,2013-12-10,-72.55331949249049,42.60796426779037,040701
M_113570_929133,113570.36560000,929133.15940000,BC,672836,19,L STREET,,,,,2F,,,01376,,MONTAGUE,MONTAGUE,MA,,19,19,,,,,,,,,L,STREET,ST,,,26019,,209,192,192,2013-12-10,-72.55331949249049,42.60796426779037,040701
M_112679_927002,112679.05700000,927001.94900000,BC,673348,74,TURNPIKE ROAD,,,,,2,,,01376,,MONTAGUE,MONTAGUE,MA,,74,74,,,,,,,,,TURNPIKE,ROAD,RD,,,26143,,209,192,192,2013-12-10,-72.56385683180287,42.588680531422305,040702
M_121348_921912,121348.39040000,921912.46040000,BMP,669025,302,EAST CHESTNUT HILL ROAD,,,,,,,,01351,,MONTAGUE,MONTAGUE,MA,,302,302,,,,,,,EAST,,CHESTNUT HILL,ROAD,RD,,,25951,,209,192,192,2013-12-10,-72.4575490827901,42.54379134027947,040702
M_114207_927382,114207.49960000,927382.33820000,BC,670667,20,COOLIDGE AVENUE,,,,,,,,01376,,MONTAGUE,MONTAGUE,MA,,20,20,,,,,,,,,COOLIDGE,AVENUE,AVE,,,25929,,209,192,192,2013-12-10,-72.54529403634902,42.592274739950014,040702
M_115291_920800,115290.66980000,920800.35720000,BC,671044,7,UNION STREET,,,,,,,,01351,,MONTAGUE,MONTAGUE,MA,,7,7,,,,,,,,,UNION,STREET,ST,,,26145,,209,192,192,2013-12-10,-72.53112859573159,42.53314472938579,040702
M_113904_927843,113904.18660000,927842.80340000,BC,671085,46,MILLERS FALLS ROAD,,,,,,,,01376,,MONTAGUE,MONTAGUE,MA,,46,46,,,,,,,,,MILLERS FALLS,ROAD,RD,,,26042,,209,192,192,2013-12-10,-72.54905822138176,42.596386122446575,040701
M_117060_923428,117060.02180000,923427.55800000,BC,670926,229,FEDERAL STREET,,,,,,,,01351,,MONTAGUE,MONTAGUE,MA,,229,229,,,,,,,,,FEDERAL,STREET,ST,,,25965,,209,192,192,2013-12-10,-72.5099717504482,42.55698462722557,040702
M_114244_922334,114244.39320000,922333.64160000,BMP,669667,363,GREENFIELD ROAD,,,,,,,,01351,,MONTAGUE,MONTAGUE,MA,,363,363,,,,,,,,,GREENFIELD,ROAD,RD,,,25987,,209,192,192,2013-12-10,-72.54409163700012,42.546832333379186,040702
M_114926_920961,114926.37760000,920961.05080000,BC,669725,9,SCHOOL STREET,,,,,,,,01351,,MONTAGUE,MONTAGUE,MA,,9,9,,,,,,,,,SCHOOL,STREET,ST,,,26198,,209,192,192,2013-12-10,-72.5355862735198,42.53455151984758,040702
M_112679_927002,112679.05700000,927001.94900000,BC,673349,74,TURNPIKE ROAD,,,,,3,,,01376,,MONTAGUE,MONTAGUE,MA,,74,74,,,,,,,,,TURNPIKE,ROAD,RD,,,26143,,209,192,192,2013-12-10,-72.56385683180287,42.588680531422305,040702
M_114577_921464,114577.02880000,921463.72100000,BMP,673418,8,MEADOW ROAD,,,,,R,,,01351,,MONTAGUE,MONTAGUE,MA,,8,8,,,,,,,,,MEADOW,ROAD,RD,,,26039,,209,192,192,2013-12-10,-72.53991301162881,42.53903815285062,040702
