ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_90091_887718,90091.00120000,887717.79520000,BMP,675290,332,MAIN ROAD,,,,,,,,01085,,MONTGOMERY,MONTGOMERY,MA,,332,332,,,,,,,,,MAIN,ROAD,RD,,,26374,,211,194,194,2013-12-10,-72.83154254413351,42.23219763968056,813000
M_90543_887655,90542.86640000,887654.99580000,BC,675390,62,NEW STATE ROAD,,,,,,,,01085,,MONTGOMERY,MONTGOMERY,MA,,62,62,,,,,,,,,NEW STATE,ROAD,RD,,,26381,,211,194,194,2013-12-10,-72.82605727452308,42.231695698055994,813000
M_91276_884925,91276.07240000,884924.76440000,BC,675068,1545,RUSSELL ROAD,,,,,,,,01085,,MONTGOMERY,MONTGOMERY,MA,,1545,1545,,,,,,,,,RUSSELL,ROAD,RD,,,26390,,211,194,194,2013-12-10,-72.81666546653402,42.207220526455295,813000
M_92915_885107,92915.14840000,885106.80160000,BC,675318,1523,SOUTHAMPTON ROAD,,,,,,,,01085,,MONTGOMERY,MONTGOMERY,MA,,1523,1523,,,,,,,,,SOUTHAMPTON,ROAD,RD,,,26391,,211,194,194,2013-12-10,-72.79685257138276,42.20908529318547,813000
M_90275_887978,90275.18080000,887977.64280000,BMP,675159,97,NEW STATE ROAD,,,,,,,,01085,,MONTGOMERY,MONTGOMERY,MA,,97,97,,,,,,,,,NEW STATE,ROAD,RD,,,26381,,211,194,194,2013-12-10,-72.82936063729916,42.23456263021138,813000
M_88211_886576,88211.20140000,886575.63880000,BMP,675225,131,CARRINGTON ROAD,,,,,,,,01050,,MONTGOMERY,MONTGOMERY,MA,,131,131,,,,,,,,,CARRINGTON,ROAD,RD,,,26359,,211,194,194,2013-12-10,-72.85409278934166,42.221649627871244,813000
M_90270_884517,90270.36580000,884517.24160000,BMP,675268,34,UPPER POMEROY ROAD,,,,,,,,01050,,MONTGOMERY,MONTGOMERY,MA,,34,34,,,,,,,,,UPPER POMEROY,ROAD,RD,,,26398,,211,194,194,2015-01-20,-72.82876590970704,42.20341161022707,813000
M_88247_885786,88246.67460000,885785.53320000,BMP,675236,190,CARRINGTON ROAD,,,,,,,,01050,,MONTGOMERY,MONTGOMERY,MA,,190,190,,,,,,,,,CARRINGTON,ROAD,RD,,,26359,,211,194,194,2013-12-10,-72.8535113201776,42.21454223990199,813000
M_88125_886673,88125.36740000,886673.44020000,BC,675409,122,CARRINGTON ROAD,,,,,,,,01050,,MONTGOMERY,MONTGOMERY,MA,,122,122,,,,,,,,,CARRINGTON,ROAD,RD,,,26359,,211,194,194,2013-12-10,-72.85515113783408,42.222517754041085,813000
M_89879_885557,89878.72960000,885557.35020000,BC,675306,89,UPPER POMEROY ROAD,,,,,,,,01050,,MONTGOMERY,MONTGOMERY,MA,,89,89,,,,,,,,,UPPER POMEROY,ROAD,RD,,,26398,,211,194,194,2015-01-20,-72.83370456265261,42.2127195986183,813000
