ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_38878_872818,38878.05980000,872818.43580000,BC,4189541,12,PLANTAIN POND ROAD,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,12,12,,,,,,,,,PLANTAIN POND,ROAD,RD,,,26418,,212,195,195,2015-01-21,-73.44768223336469,42.08921811717307,934300
M_37581_876743,37580.74140000,876743.10660000,BC,4189519,45,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,45,45,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-20,-73.46445147454217,42.12427560745976,934300
M_35565_878135,35564.63600000,878134.77600000,PC,4189516,24,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,24,24,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.4892198450232,42.136381040989086,934300
M_37142_871477,37141.53940000,871477.30340000,BC,675567,179,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,179,179,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2013-12-10,-73.46829227185525,42.07678791149851,934300
M_37197_869714,37196.98700000,869714.29060000,BC,4189547,205,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,205,205,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-21,-73.46713105745926,42.0609308015985,934300
M_37476_876614,37475.63520000,876613.75940000,BC,675522,47,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,47,47,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-20,-73.46568623097181,42.12308958126201,934300
M_37530_873429,37529.86320000,873428.64180000,BC,675640,61,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,61,61,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-21,-73.4641436615387,42.094432180567324,934300
M_37197_871164,37197.11140000,871163.73800000,BMP,675632,181,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,181,181,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2013-12-10,-73.46753346960627,42.07397709930961,934300
M_37296_873550,37295.96500000,873549.75400000,BMP,675648,114,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,114,114,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.46700407474357,42.09547376786626,934300
M_37418_872053,37418.17260000,872053.01460000,BMP,675631,167,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,167,167,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-21,-73.46511036729295,42.08202722083243,934300
M_37790_871760,37789.91260000,871760.10940000,BC,675588,164,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,164,164,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-21,-73.46053740697833,42.079467834863266,934300
M_35547_878167,35546.87240000,878167.48760000,PC,4189517,26,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,26,26,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.48944388638476,42.13667173915781,934300
M_37519_876811,37519.10960000,876811.19620000,BC,675657,43,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,43,43,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-20,-73.4652156148057,42.12487568692153,934300
M_38497_875452,38496.71580000,875452.44480000,BC,675501,88,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,88,88,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-21,-73.45301933090961,42.11284795999675,934300
M_35754_877906,35764.74970000,877885.32510000,BC,675512,16,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,16,16,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.48672961504664,42.134177790220704,934300
M_38173_872735,38172.84980000,872734.54080000,BMP,675489,14,PLANTAIN POND ROAD,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,14,14,,,,,,,,,PLANTAIN POND,ROAD,RD,,,26418,,212,195,195,2015-01-21,-73.45618075118082,42.08831770624237,934300
M_37750_876388,37750.39760000,876387.62060000,BMP,675598,55,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,55,55,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2013-12-10,-73.46230131925506,42.12111110610152,934300
M_37378_871020,37378.44440000,871019.88200000,BC,675566,176,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,176,176,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2013-12-10,-73.46530271796858,42.07271990679645,934300
M_37195_872251,37194.59700000,872250.86760000,BMP,675505,0,WHITBECK ROAD,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,0,0,,,,,,,,,WHITBECK,ROAD,RD,,,26424,,212,195,195,2013-12-10,-73.46786690814042,42.08376166134141,934300
M_37378_871020,37378.44440000,871019.88200000,BC,675590,176A,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,176,176,A,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2014-11-21,-73.46530271796858,42.07271990679645,934300
M_37195_872251,37194.59700000,872250.86760000,BMP,675552,5,WHITBECK ROAD,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,5,5,,,,,,,,,WHITBECK,ROAD,RD,,,26424,,212,195,195,2015-01-21,-73.46786690814042,42.08376166134141,934300
M_35586_878098,35606.05870000,878093.69670000,ABC,4189514,20,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,20,20,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.48870734041581,42.136019993309084,934300
M_35586_878098,35606.05870000,878093.69670000,ABC,4189515,22,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,22,22,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2016-05-11,-73.48870734041581,42.136019993309084,934300
M_37891_875748,37891.09120000,875748.49280000,BMP,4189543,1,MOUNTAIN ROAD,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,1,1,,,,,,,,,MOUNTAIN,ROAD,RD,,,26412,,212,195,195,2015-01-21,-73.46042269382757,42.11538756376678,934300
M_36948_875930,36948.13780000,875929.61980000,BMP,4189523,23,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,23,23,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.47187263824304,42.11682217651571,934300
M_36691_875198,36690.72480000,875198.10020000,BC,4189524,66A,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,66,66,A,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.47477977679989,42.11018431364135,934300
M_36637_875557,36637.46960000,875556.81940000,BMP,675617,60,WEST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,60,60,,,,,,,,,WEST,STREET,ST,,,26422,,212,195,195,2015-01-20,-73.4755239701305,42.11340196582161,934300
M_38303_873029,38303.26380000,873028.64620000,BC,675559,142,EAST STREET,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,142,142,,,,,,,,,EAST,STREET,ST,,,26402,,212,195,195,2015-01-21,-73.45468630525428,42.09099182318162,934300
M_36691_875198,36690.72480000,875198.10020000,BC,675560,0,BASH BISH FALLS ROAD,,,,,,,,01258,,MOUNT WASHINGTON,MOUNT WASHINGTON,MA,,0,0,,,,,,,,,BASH BISH FALLS,ROAD,RD,,,26400,,212,195,195,2013-12-10,-73.47477977679989,42.11018431364135,934300
