ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_247976_908429,247976.40880000,908428.53140000,BMP,3583898,301,NAHANT ROAD,,,,,,,,01908,,NAHANT,NAHANT,MA,,301,301,,,,,,,,,NAHANT,ROAD,RD,,,165302,,213,196,196,2014-03-14,-70.91701474306844,42.42490058216222,
M_246574_907739,246573.73800000,907739.10140000,BC,3584417,73,BASS POINT ROAD,,,,,1,,,01908,,NAHANT,NAHANT,MA,,73,73,,,,,,,,,BASS POINT,ROAD,RD,,,165238,,213,196,196,2014-03-14,-70.93411436675692,42.418779066319416,201100
M_246588_907967,246587.87600000,907967.19720000,BC,3583966,19,BAY VIEW AVENUE,,,,,,,,01908,,NAHANT,NAHANT,MA,,19,19,,,,,,,,,BAY VIEW,AVENUE,AVE,,,165239,,213,196,196,2014-03-14,-70.93392419798151,42.42083164487298,201100
M_246574_907739,246573.73800000,907739.10140000,BC,3584418,73,BASS POINT ROAD,,,,,2,,,01908,,NAHANT,NAHANT,MA,,73,73,,,,,,,,,BASS POINT,ROAD,RD,,,165238,,213,196,196,2014-03-14,-70.93411436675692,42.418779066319416,201100
M_246560_908858,246559.75000000,908857.87700000,BC,3584239,8,FOX HILL ROAD,,,,,,,,01908,,NAHANT,NAHANT,MA,,8,8,,,,,,,,,FOX HILL,ROAD,RD,,,165266,,213,196,196,2014-03-14,-70.93419415022349,42.428851623597396,201100
M_247054_908796,247054.48380000,908795.58480000,BC,3584620,182,NAHANT ROAD,,,,,1,,,01908,,NAHANT,NAHANT,MA,,182,182,,,,,,,,,NAHANT,ROAD,RD,,,165302,,213,196,196,2014-03-14,-70.92818727391189,42.428261140587715,201100
M_246641_907970,246641.44200000,907970.08260000,BC,3583682,295,CASTLE ROAD,,,,,,,,01908,,NAHANT,NAHANT,MA,,295,295,,,,,,,,,CASTLE,ROAD,RD,,,165244,,213,196,196,2014-03-14,-70.93327311921668,42.42085441833377,201100
M_246571_909747,246571.30060000,909746.72240000,BC,3583792,125,WILSON ROAD,,,,,,,,01908,,NAHANT,NAHANT,MA,,125,125,,,,,,,,,WILSON,ROAD,RD,,,165352,,213,196,196,2014-03-14,-70.93398211182298,42.436852702640145,201100
M_248061_908129,248061.39260000,908128.65720000,BMP,3582733,166,WILLOW ROAD,,,,,,,,01908,,NAHANT,NAHANT,MA,,166,166,,,,,,,,,WILLOW,ROAD,RD,,,165350,,213,196,196,2014-03-14,-70.91600704310325,42.4221957494458,
M_247569_908383,247568.53400000,908383.34160000,BC,3582792,51,VALLEY ROAD,,,,,,,,01908,,NAHANT,NAHANT,MA,,51,51,,,,,,,,,VALLEY,ROAD,RD,,,165340,,213,196,196,2014-03-14,-70.92197460186513,42.424518754069084,
