ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_315300_782935,315299.71360000,782934.85680000,DBMP,2635346,152,CLIFF ROAD,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,152,152,,,,,,,,,CLIFF,ROAD,RD,,,126190,,214,197,197,2015-11-03,-70.12364262499841,41.28814377218434,950307
M_320696_780508,320695.63120000,780508.45760000,BMP,2648473,4B,PARK CIRCLE,,,,,B,,,02554,,NANTUCKET,NANTUCKET,MA,,4,4,B,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_315982_780204,315982.01980000,780204.29540000,BMP,2635517,75A,BARTLETT ROAD,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,75,75,A,,,,,,,,BARTLETT,ROAD,RD,,,125732,,214,197,197,2014-03-03,-70.11602804464458,41.26346336890078,950200
M_320696_780508,320695.63120000,780508.45760000,BMP,2648015,23B,PARK CIRCLE,,,,,B,,,02554,,NANTUCKET,NANTUCKET,MA,,23,23,B,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_318726_778653,318725.84260000,778653.40240000,BMP,2635010,52,POCHICK AVENUE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,52,52,,,,,,,,,POCHICK,AVENUE,AVE,,,125871,,214,197,197,2014-03-03,-70.08360021990202,41.24909652598912,950400
M_319669_780519,319668.87600000,780519.16920000,BC,2647036,39,GOLDFINCH DRIVE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,39,39,,,,,,,,,GOLDFINCH,DRIVE,DR,,,126204,,214,197,197,2014-03-03,-70.07197930355814,41.2657507655601,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2647159,10A,PARK CIRCLE,,,,,A,,,02554,,NANTUCKET,NANTUCKET,MA,,10,10,A,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2647441,14A,PARK CIRCLE,,,,,A,,,02554,,NANTUCKET,NANTUCKET,MA,,14,14,A,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2647644,18B,PARK CIRCLE,,,,,B,,,02554,,NANTUCKET,NANTUCKET,MA,,18,18,B,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2647573,16A,PARK CIRCLE,,,,,A,,,02554,,NANTUCKET,NANTUCKET,MA,,16,16,A,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_327993_783984,327992.93420000,783984.18080000,PC,2638682,14,HOICKS HOLLOW ROAD,,,,,,,,02564,,SIASCONSET,NANTUCKET,MA,,14,14,,,,,,,,,HOICKS HOLLOW,ROAD,RD,,,125451,,293,197,197,2014-03-03,-69.97192736011337,41.2956442413086,950500
M_328630_780393,328630.03040000,780392.64260000,BMP,2635561,9,NEW STREET,,,,,,,,02564,,SIASCONSET,NANTUCKET,MA,,9,9,,,,,,,,,NEW,STREET,ST,,,125651,,293,197,197,2014-03-03,-69.96509439673076,41.263210547387324,950500
M_317784_781873,317784.11260000,781872.96320000,BC,2644180,66,UNION STREET,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,66,66,,,,,,,,,UNION,STREET,ST,,,126075,,214,197,197,2014-03-03,-70.0942000370075,41.278219647171326,950100
M_325513_779623,325512.92460000,779623.15600000,BC,2637616,23,LONGWOOD DRIVE,,,,,,,,02564,,SIASCONSET,NANTUCKET,MA,,23,23,,,,,,,,,LONGWOOD,DRIVE,DR,,,125530,,293,197,197,2014-03-03,-70.00244339001225,41.25678253802927,950500
M_317573_782244,317572.98800000,782243.59520000,PC,2643062,25R,WASHINGTON STREET,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,25,25,R,,,,,,,,WASHINGTON,STREET,ST,,,126109,,214,197,197,2014-03-03,-70.09664666306999,41.28158742907321,950100
M_317632_782069,317631.68620000,782068.73960000,BMP,2645288,40A,UNION STREET,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,40,40,A,,,,,,,,UNION,STREET,ST,,,126075,,214,197,197,2014-03-03,-70.09598051818044,41.280004656952336,950100
M_316244_781495,316244.19240000,781494.77800000,BC,2635572,8,HUSSEY FARM ROAD,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,8,8,,,,,,,,,HUSSEY FARM,ROAD,RD,,,125464,,214,197,197,2014-03-03,-70.11264974139338,41.275042162327864,950200
M_315486_779759,315486.44880000,779759.05360000,BC,2645842,6,HENDERSONS DRIVE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,6,6,,,,,,,,,HENDERSONS,DRIVE,DR,,,125438,,214,197,197,2014-03-03,-70.12202630864157,41.25952746329136,950200
M_317062_779078,317062.48000000,779077.78520000,BC,2635540,8,CORREIA LANE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,8,8,,,,,,,,,CORREIA,LANE,LN,,,125250,,214,197,197,2014-03-03,-70.1033576780783,41.253163805451315,950200
M_325296_779686,325296.26260000,779686.17220000,PC,2639650,3,CRESTWOOD CIRCLE,,,,,,,,02564,,SIASCONSET,NANTUCKET,MA,,3,3,,,,,,,,,CRESTWOOD,CIRCLE,CIR,,,125262,,293,197,197,2014-03-03,-70.00501478453272,41.257384024401844,950500
M_313268_779495,313267.95580000,779494.77140000,BMP,2639683,3,OSPREY WAY,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,3,3,,,,,,,,,OSPREY,WAY,WAY,,,125836,,214,197,197,2014-03-03,-70.14854264882264,41.25746790770867,950200
M_320744_778180,320744.42200000,778180.38980000,PC,2639701,30,MADEQUECHAM VALLEY ROAD,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,30,30,,,,,,,,,MADEQUECHAM VALLEY,ROAD,RD,,,125552,,214,197,197,2014-03-03,-70.0596183836874,41.24453410239191,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2638520,5B,PARK CIRCLE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,5,5,B,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2634310,2B,PARK CIRCLE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,2,2,B,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2641196,9A,PARK CIRCLE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,9,9,A,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2638165,1,PARK CIRCLE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,1,1,,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_320696_780508,320695.63120000,780508.45760000,BMP,2633781,1B,PARK CIRCLE,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,1,1,B,,,,,,,,PARK,CIRCLE,CIR,,,125843,,214,197,197,2014-03-03,-70.05973140786058,41.265498916088234,950400
M_315425_779831,315425.16580000,779830.85140000,BC,2643806,108,SOMERSET ROAD,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,108,108,,,,,,,,,SOMERSET,ROAD,RD,,,125988,,214,197,197,2014-03-03,-70.12274357314045,41.260182710244216,950200
M_316713_782641,316713.49260000,782641.09300000,BC,2641547,30,NORTH LIBERTY STREET,,,,,,,,02554,,NANTUCKET,NANTUCKET,MA,,30,30,,,,,,,NORTH,,LIBERTY,STREET,ST,,,126226,,214,197,197,2014-03-03,-70.10682629721032,41.2852926163254,950100
