ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_211985_892581,211985.96680000,892581.07450000,BC,1662004,15,PARKER COURT,,,,,,,,01760,,NATICK,NATICK,MA,,15,15,,,,,,,,,PARKER,COURT,CT,,,75884,,215,198,198,2016-05-11,-71.3546785092067,42.28361337047517,382500
M_211985_892581,211985.96680000,892581.07450000,BC,1661936,11,PARKER COURT,,,,,,,,01760,,NATICK,NATICK,MA,,11,11,,,,,,,,,PARKER,COURT,CT,,,75884,,215,198,198,2016-05-11,-71.3546785092067,42.28361337047517,382500
M_211985_892581,211985.96680000,892581.07450000,BC,1661037,17,PARKER COURT,,,,,,,,01760,,NATICK,NATICK,MA,,17,17,,,,,,,,,PARKER,COURT,CT,,,75884,,215,198,198,2016-05-11,-71.3546785092067,42.28361337047517,382500
M_211985_892581,211985.96680000,892581.07450000,BC,1661187,21,PARKER COURT,,,,,,,,01760,,NATICK,NATICK,MA,,21,21,,,,,,,,,PARKER,COURT,CT,,,75884,,215,198,198,2016-05-11,-71.3546785092067,42.28361337047517,382500
M_210906_893483,210906.40120000,893483.17840000,BC,1669071,9,LAKEWOOD ROAD,,,,,,,,01760,,NATICK,NATICK,MA,,9,9,,,,,,,,,LAKEWOOD,ROAD,RD,,,75408,,215,198,198,2014-02-05,-71.36775050927616,42.29175074396155,382500
M_213466_897196,213466.40780000,897195.86340000,BC,1671280,437,COMMONWEALTH ROAD,,,,,,,,01778,,NATICK,NATICK,MA,,437,437,,,,,,,,,COMMONWEALTH,ROAD,RD,,,75186,,215,198,198,2014-02-05,-71.33662206583352,42.32513562101896,382100
M_213798_897576,213797.70960000,897575.73060000,PC,1671312,476,COMMONWEALTH ROAD,,,,,,,,01778,,NATICK,NATICK,MA,,476,476,,,,,,,,,COMMONWEALTH,ROAD,RD,,,75186,,215,198,198,2014-02-05,-71.33259359194842,42.32854971766147,382100
M_213666_895357,213666.01120000,895356.69080000,BC,1671853,33,BEVERLY ROAD,,,,,,,,01760,,NATICK,NATICK,MA,,33,33,,,,,,,,,BEVERLY,ROAD,RD,,,75115,,215,198,198,2014-02-05,-71.33424379346839,42.308574358933946,382100
M_212256_895608,212256.32280000,895608.28940000,BC,1662197,28,BRADFORD ROAD,,,,,,,,01760,,NATICK,NATICK,MA,,28,28,,,,,,,,,BRADFORD,ROAD,RD,,,75127,,215,198,198,2014-02-05,-71.35133666800446,42.31086285849797,382100
M_213606_895371,213605.52680000,895371.46800000,BC,1669573,34,BEVERLY ROAD,,,,,,,,01760,,NATICK,NATICK,MA,,34,34,,,,,,,,,BEVERLY,ROAD,RD,,,75115,,215,198,198,2014-02-05,-71.33497706527574,42.3087084519296,382100
