ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_221785_895941,221785.33620000,895941.39370000,BC,2805007,64,CAPTAIN ROBERT COOK DRIVE,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,64,64,,,,,,,,,CAPTAIN ROBERT COOK,DRIVE,DR,,,133913,,216,199,199,2016-11-28,-71.23574235446812,42.31365409447396,403500
M_220747_894941,220746.93920000,894940.86160000,BC,2800655,30,HUNNEWELL STREET,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,30,30,,,,,,,,,HUNNEWELL,STREET,ST,,,134116,,216,199,199,2014-03-04,-71.24837391053504,42.304674734713,403500
M_221785_895941,221785.33620000,895941.39370000,BC,2801056,68,CAPTAIN ROBERT COOK DRIVE,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,68,68,,,,,,,,,CAPTAIN ROBERT COOK,DRIVE,DR,,,133913,,216,199,199,2016-11-28,-71.23574235446812,42.31365409447396,403500
M_222458_895766,222458.16100000,895766.11500000,BMP,2796363,16,CENTRAL AVENUE,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,16,16,,,,,,,,,CENTRAL,AVENUE,AVE,,,133926,,216,199,199,2014-03-04,-71.22758778774374,42.312057034209154,403500
M_223064_891695,223063.60480000,891694.82040000,BC,2797147,12,ALLEN STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,12,12,,,,,,,,,ALLEN,STREET,ST,,,133856,,216,199,199,2014-03-04,-71.22040582485411,42.27538609079112,403100
M_223450_894999,223450.27360000,894998.80120000,BMP,2809258,50,RIVERSIDE STREET,,,,,2,,,02494,,NEEDHAM,NEEDHAM,MA,,50,50,,,,,,,,,RIVERSIDE,STREET,ST,,,133685,,216,199,199,2014-03-04,-71.2155848172272,42.30511988077624,403500
M_223660_892182,223659.67780000,892181.72160000,BC,2796049,91,DAWSON DRIVE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,91,91,,,,,,,,,DAWSON,DRIVE,DR,,,133976,,216,199,199,2014-03-04,-71.21315998872831,42.279751789850955,403100
M_222705_892816,222705.03260000,892815.80340000,BC,2801882,3,MORLEY STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,3,3,,,,,,,,,MORLEY,STREET,ST,,,133582,,216,199,199,2014-03-04,-71.22470881406404,42.28548867362602,457200
M_223613_892896,223612.82800000,892896.37940000,BMP,2799879,107,EDWARDEL ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,107,107,,,,,,,,,EDWARDEL,ROAD,RD,,,133837,,216,199,199,2014-03-04,-71.2136988899579,42.28618718430405,403100
M_222330_893803,222330.24980000,893802.69380000,BC,2798403,69,HIGH STREET,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,69,69,,,,,,,,,HIGH,STREET,ST,,,134091,,216,199,199,2014-03-04,-71.22921491678481,42.294384321031764,457200
M_223770_892562,223770.42700000,892562.04400000,BC,2796658,36,ALETHA ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,36,36,,,,,,,,,ALETHA,ROAD,RD,,,133854,,216,199,199,2014-03-04,-71.21180174291783,42.28317242618325,403100
M_219666_892901,219666.33000000,892900.95240000,BC,2804219,1654,GREAT PLAIN AVENUE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,1654,1654,,,,,,,,,GREAT PLAIN,AVENUE,AVE,,,134061,,216,199,199,2014-03-04,-71.26154900856962,42.28633764694458,403400
M_221915_892130,221915.03480000,892129.83280000,BC,2810042,84,DEDHAM AVENUE,,,,,1,,,02492,,NEEDHAM,NEEDHAM,MA,,84,84,,,,,,,,,DEDHAM,AVENUE,AVE,,,133978,,216,199,199,2014-03-04,-71.23431312602983,42.27933551345882,403300
M_221915_892130,221915.03480000,892129.83280000,BC,2810044,84,DEDHAM AVENUE,,,,,2,,,02492,,NEEDHAM,NEEDHAM,MA,,84,84,,,,,,,,,DEDHAM,AVENUE,AVE,,,133978,,216,199,199,2014-03-04,-71.23431312602983,42.27933551345882,403300
M_223081_893919,223080.93760000,893919.29060000,BC,2804560,250,HUNTING ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,250,250,,,,,,,,,HUNTING,ROAD,RD,,,133503,,216,199,199,2014-03-04,-71.22010721633984,42.29541220953216,403500
M_221701_892140,221701.27620000,892140.35200000,BC,2799549,50,CHESTNUT STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,50,50,,,,,,,,,CHESTNUT,STREET,ST,,,133938,,216,199,199,2015-11-17,-71.2369042180431,42.279436181893075,403300
M_223301_892988,223300.67580000,892988.16200000,BC,2797159,10,FAIRFAX ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,10,10,,,,,,,,,FAIRFAX,ROAD,RD,,,134013,,216,199,199,2014-03-04,-71.2174799629693,42.287022861944955,403100
M_221405_894613,221405.45860000,894613.11280000,BC,2801089,80,WAYNE ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,80,80,,,,,,,,,WAYNE,ROAD,RD,,,133765,,216,199,199,2014-03-04,-71.24039930507747,42.301706294160994,403500
M_221816_891925,221815.87480000,891924.66920000,BMP,2799705,82,LINCOLN STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,82,82,,,,,,,,,LINCOLN,STREET,ST,,,133538,,216,199,199,2015-05-13,-71.23552299667611,42.277491221718,403300
M_221995_891190,221995.11160000,891190.44880000,BC,2800243,154,LAUREL DRIVE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,154,154,,,,,,,,,LAUREL,DRIVE,DR,,,133804,,216,199,199,2014-03-04,-71.23337792038069,42.27087608407144,403300
M_222575_894364,222574.58620000,894364.32960000,BC,2798975,72,HUNTING ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,72,72,,,,,,,,,HUNTING,ROAD,RD,,,133503,,216,199,199,2014-03-04,-71.22623016155771,42.29943362658371,403500
M_222967_893970,222966.88060000,893969.58880000,BMP,2796439,225,HUNTING ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,225,225,,,,,,,,,HUNTING,ROAD,RD,,,133503,,216,199,199,2014-03-04,-71.22148833595188,42.295868398286615,403500
M_220491_891618,220491.09660000,891617.64600000,BC,2798968,28,GILBERT ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,28,28,,,,,,,,,GILBERT,ROAD,RD,,,134048,,216,199,199,2014-03-04,-71.2515942202435,42.274762980275504,403300
M_223320_892480,223319.54600000,892480.30740000,BC,2799107,184,HILLCREST ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,184,184,,,,,,,,,HILLCREST,ROAD,RD,,,134101,,216,199,199,2014-03-04,-71.21727157476609,42.282450146661596,403100
M_221597_892483,221596.60600000,892483.43400000,BC,2808521,210,MAY STREET,,,,,B,,,02492,,NEEDHAM,NEEDHAM,MA,,210,210,,,,,,,,,MAY,STREET,ST,,,133567,,216,199,199,2014-03-04,-71.23816041269711,42.28252781120961,403400
M_219946_894029,219946.47380000,894028.50440000,BC,2796944,51,FOREST STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,51,51,,,,,,,,,FOREST,STREET,ST,,,134025,,216,199,199,2014-03-04,-71.25811355967068,42.29648175893564,403400
M_221816_891925,221815.87480000,891924.66920000,BMP,2803940,78,LINCOLN STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,78,78,,,,,,,,,LINCOLN,STREET,ST,,,133538,,216,199,199,2014-03-04,-71.23552299667611,42.277491221718,403300
M_224402_891365,224402.13100000,891364.69060000,BMP,2805228,1066,GREENDALE AVENUE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,1066,1066,,,,,,,,,GREENDALE,AVENUE,AVE,,,134063,,216,199,199,2014-03-04,-71.20419322019134,42.272373320608594,403100
M_222239_894925,222239.05280000,894924.88420000,BC,2800166,166,NOANETT ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,166,166,,,,,,,,,NOANETT,ROAD,RD,,,133596,,216,199,199,2014-03-04,-71.23027776754986,42.30448983890435,403500
M_222956_893427,222955.66920000,893426.56760000,BC,2805291,117,PAUL REVERE ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,117,117,,,,,,,,,PAUL REVERE,ROAD,RD,,,133622,,216,199,199,2014-03-04,-71.22164578134557,42.29097998261665,457200
M_217477_891836,217477.03840000,891836.05460000,BC,2800635,359,GROVE STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,359,359,,,,,,,,,GROVE,STREET,ST,,,134069,,216,199,199,2014-03-04,-71.28812576274177,42.276802507985494,403400
M_221018_891500,221017.74460000,891499.81660000,BC,2796516,3,MEMORIAL CIRCLE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,3,3,,,,,,,,,MEMORIAL,CIRCLE,CIR,,,133577,,216,199,199,2014-03-04,-71.2452141708408,42.273688187747666,403400
M_221785_895941,221785.33620000,895941.39370000,BC,2802344,58,CAPTAIN ROBERT COOK DRIVE,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,58,58,,,,,,,,,CAPTAIN ROBERT COOK,DRIVE,DR,,,133913,,216,199,199,2016-11-28,-71.23574235446812,42.31365409447396,403500
M_222717_891714,222716.74780000,891714.48420000,BMP,2804760,39,COULTON PARK,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,39,39,,,,,,,,,COULTON,PARK,PARK,,,133956,,216,199,199,2014-03-04,-71.22460988436407,42.2755732810415,403100
M_222765_893849,222765.24260000,893849.21520000,BC,2800839,54,PARKER ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,54,54,,,,,,,,,PARKER,ROAD,RD,,,133617,,216,199,199,2014-03-04,-71.22393823967177,42.294790593094426,457200
M_219194_890125,219194.23720000,890125.09620000,BC,2799025,167,FISHER STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,167,167,,,,,,,,,FISHER,STREET,ST,,,134023,,216,199,199,2014-03-04,-71.26736482162575,42.26135859674203,403300
M_222643_892182,222643.38620000,892182.13400000,BMP,2796368,16,STEVENS ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,16,16,,,,,,,,,STEVENS,ROAD,RD,,,133722,,216,199,199,2015-05-14,-71.22548097879117,42.27978561076192,403100
M_222059_890914,222058.90120000,890914.08580000,BC,2799962,9,HIGH ROCK STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,9,9,,,,,,,,,HIGH ROCK,STREET,ST,,,134088,,216,199,199,2014-03-04,-71.23261517725486,42.26838621540318,403300
M_220935_890635,220935.30340000,890634.95100000,BC,2797572,161,RICHARDSON DRIVE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,161,161,,,,,,,,,RICHARDSON,DRIVE,DR,,,133676,,216,199,199,2014-03-04,-71.24624474193133,42.265904090700786,403300
M_223810_892154,223810.07380000,892154.41020000,BC,2804661,36,TUDOR ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,36,36,,,,,,,,,TUDOR,ROAD,RD,,,133746,,216,199,199,2014-03-04,-71.21133778513338,42.27950134067293,403100
M_221785_895941,221785.33620000,895941.39370000,BC,2804978,60,CAPTAIN ROBERT COOK DRIVE,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,60,60,,,,,,,,,CAPTAIN ROBERT COOK,DRIVE,DR,,,133913,,216,199,199,2016-11-28,-71.23574235446812,42.31365409447396,403500
M_223112_894684,223111.68500000,894684.08360000,ABC,2797245,105,CABOT STREET,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,105,105,,,,,,,,,CABOT,STREET,ST,,,133911,,216,199,199,2014-03-04,-71.21970388151648,42.30229661861611,403500
M_221597_892483,221596.60600000,892483.43400000,BC,2805704,210,MAY STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,210,210,,,,,,,,,MAY,STREET,ST,,,133567,,216,199,199,2014-03-04,-71.23816041269711,42.28252781120961,403400
M_220372_892368,220371.86900000,892368.45800000,BC,2797317,1152,CENTRAL AVENUE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,1152,1152,,,,,,,,,CENTRAL,AVENUE,AVE,,,133926,,216,199,199,2014-03-04,-71.25301320753022,42.28152558277358,403400
M_222097_891262,222096.66560000,891261.57080000,BC,2800849,55,LAUREL DRIVE,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,55,55,,,,,,,,,LAUREL,DRIVE,DR,,,133804,,216,199,199,2014-03-04,-71.232144195811,42.271513524243154,403300
M_223046_893614,223045.97620000,893613.73480000,BMP,2803268,28,AVON CIRCLE,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,28,28,,,,,,,,,AVON,CIRCLE,CIR,,,133873,,216,199,199,2014-03-04,-71.22054331527856,42.29266236521433,457200
M_217550_891744,217550.21620000,891744.49380000,BC,2803443,390,GROVE STREET,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,390,390,,,,,,,,,GROVE,STREET,ST,,,134069,,216,199,199,2014-03-04,-71.28724140023203,42.27597655414208,403400
M_223450_894999,223450.27360000,894998.80120000,BMP,2809257,50,RIVERSIDE STREET,,,,,1,,,02494,,NEEDHAM,NEEDHAM,MA,,50,50,,,,,,,,,RIVERSIDE,STREET,ST,,,133685,,216,199,199,2014-03-04,-71.2155848172272,42.30511988077624,403500
M_219920_890612,219919.55920000,890611.80020000,BC,2802929,15,WHITE PINE ROAD,,,,,,,,02492,,NEEDHAM,NEEDHAM,MA,,15,15,,,,,,,,,WHITE PINE,ROAD,RD,,,133777,,216,199,199,2014-03-04,-71.25855722882096,42.265722211252296,403300
M_222133_893322,222133.11920000,893322.06340000,BC,2796783,4,LONGFELLOW ROAD,,,,,,,,02494,,NEEDHAM,NEEDHAM,MA,,4,4,,,,,,,,,LONGFELLOW,ROAD,RD,,,133544,,216,199,199,2014-03-04,-71.23162371958617,42.290062878309946,457200
M_220855_894272,220854.65380000,894271.60380000,BC,2809615,609,CENTRAL AVENUE,,,,,A,,,02494,,NEEDHAM,NEEDHAM,MA,,609,609,,,,,,,,,CENTRAL,AVENUE,AVE,,,133926,,216,199,199,2014-03-04,-71.24709158542002,42.29864663515402,403500
