ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_56661_928228,56660.82120000,928227.85440000,BC,675718,70,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,70,70,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.24649585924541,42.59140760350187,935100
M_56647_930381,56647.05200000,930380.68300000,BMP,675669,123,BEACH HILL ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,123,123,,,,,,,,,BEACH HILL,ROAD,RD,,,26427,,217,200,200,2013-12-10,-73.24720081763085,42.61078123244871,935100
M_56722_930115,56722.09180000,930115.07520000,BC,675810,92,BEACH HILL ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,92,92,,,,,,,,,BEACH HILL,ROAD,RD,,,26427,,217,200,200,2013-12-10,-73.24622021488943,42.60840451317373,935100
M_57873_931697,57873.34300000,931697.22520000,BMP,675791,575,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,575,575,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.23258467614826,42.62285567734887,935100
M_57967_931594,57966.77380000,931594.12520000,BC,675736,563,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,563,563,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.2314205188268,42.6219448235872,935100
M_57277_929736,57276.54840000,929736.10080000,BC,675775,201,MALLERY ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,201,201,,,,,,,,,MALLERY,ROAD,RD,,,190928,,217,200,200,2013-12-10,-73.23937039750547,42.60509559837426,935100
M_56681_930227,56680.75060000,930226.53380000,BMP,675723,102,BEACH HILL ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,102,102,,,,,,,,,BEACH HILL,ROAD,RD,,,26427,,217,200,200,2013-12-10,-73.2467517406502,42.609400055388704,935100
M_57343_929554,57343.02140000,929553.76080000,BC,675753,268,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,268,268,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.2385152291475,42.60346667559113,935100
M_57538_932152,57538.31120000,932152.49600000,BMP,675735,55,WHITE ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,55,55,,,,,,,,,WHITE,ROAD,RD,,,26449,,217,200,200,2013-12-10,-73.2367807208453,42.62689191438045,935100
M_57882_931817,57882.17280000,931817.31500000,BMP,675716,585,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,585,585,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.23250679785455,42.62393813605338,935100
M_58037_931281,58036.72160000,931280.56220000,BMP,675713,517,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,517,517,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.23049053302996,42.619135436494574,935100
M_56635_928264,56634.92420000,928264.07820000,BC,675783,76,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,76,76,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.24682034700007,42.591728856949075,935100
M_56978_928456,56978.04080000,928455.50580000,BC,675742,22,OLD ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,22,22,,,,,,OLD,,ROUTE,7,,,,,26440,,217,200,200,2013-12-10,-73.24268848229353,42.59351495191768,935100
M_56711_928346,56711.23340000,928346.44020000,BMP,675704,94,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,94,94,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.24591136168095,42.59248420800162,935100
M_56492_928843,56491.67140000,928843.31960000,BC,675676,21,MALLERY ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,21,21,,,,,,,,,MALLERY,ROAD,RD,,,190928,,217,200,200,2013-12-10,-73.24870998528652,42.59691580717242,935100
M_56608_927922,56608.04280000,927922.02320000,BMP,675683,16,SMITH ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,16,16,,,,,,,,,SMITH,ROAD,RD,,,26444,,217,200,200,2013-12-10,-73.24706243649206,42.5886452833929,935100
M_57359_929596,57358.56520000,929596.15300000,BC,675729,276,ROUTE 7,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,276,276,,,,,,,,ROUTE,7,,,,,26447,,217,200,200,2013-12-10,-73.23833638153533,42.60385107155013,935100
M_58559_931814,58559.32840000,931813.94160000,BC,675800,164,ROYS ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,164,164,,,,,,,,,ROYS,ROAD,RD,,,26443,,217,200,200,2013-12-10,-73.22425326284008,42.624031288296486,935100
M_56784_929300,56784.37140000,929300.22440000,BC,675785,110,MALLERY ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,110,110,,,,,,,,,MALLERY,ROAD,RD,,,190928,,217,200,200,2013-12-10,-73.24525821113487,42.601082067261025,935100
M_56882_929600,56882.40720000,929599.90680000,BC,675772,159,MALLERY ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,159,159,,,,,,,,,MALLERY,ROAD,RD,,,190928,,217,200,200,2013-12-10,-73.24413852356129,42.60379735876369,935100
M_57664_929251,57663.67840000,929250.84520000,BC,675680,73,INGRAHAM ROAD,,,,,,,,01237,,NEW ASHFORD,NEW ASHFORD,MA,,73,73,,,,,,,,,INGRAHAM,ROAD,RD,,,26434,,217,200,200,2013-12-10,-73.2345335040249,42.60079909351067,935100
