ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_53047_881142,53047.14900000,881142.00760000,BC,676977,43,PINE STREET,,,,,,,,01230,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,43,43,,,,,,,,,PINE,STREET,ST,,,26620,,220,203,203,2013-12-10,-73.27855244248177,42.16692506470877,933300
M_56646_873702,56645.94120000,873701.97880000,BMP,676445,166,NORFOLK ROAD,,,,,,,,01259,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,166,166,,,,,,,,,NORFOLK,ROAD,RD,,,26602,,220,203,203,2013-12-10,-73.23317941022289,42.100622368353115,933300
M_54312_872799,54312.01040000,872798.94900000,BC,677269,812,CANAAN SOUTHFIELD ROAD,,,,,,,,01259,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,812,812,,,,,,,,,CANAAN SOUTHFIELD,ROAD,RD,,,26668,,220,203,203,2013-12-10,-73.26116375172505,42.09206350991319,933300
M_53762_875676,53761.81680000,875676.49380000,BMP,676037,114,MILL RIVER GREAT BARRINGTON ROAD,,,,,,,,01230,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,114,114,,,,,,,,,MILL RIVER GREAT BARRINGTON,ROAD,RD,,,26568,,220,203,203,2013-12-10,-73.2685340617065,42.11786260934124,933300
M_54958_872823,54958.23300000,872823.20420000,BC,676813,618,CANAAN SOUTHFIELD ROAD,,,,,,,,01259,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,618,618,,,,,,,,,CANAAN SOUTHFIELD,ROAD,RD,,,26668,,220,203,203,2013-12-10,-73.25336005737068,42.0924016938278,933300
M_51025_873667,51025.48100000,873666.64420000,BMP,677184,611,BREWER HILL ROAD,,,,,,,,01259,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,611,611,,,,,,,,,BREWER HILL,ROAD,RD,,,26474,,220,203,203,2013-12-10,-73.30110306865778,42.099256023007214,933300
M_52177_868453,52177.44200000,868453.30000000,BC,676671,2201,CANAAN SOUTHFIELD ROAD,,,,,,,,01259,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,2201,2201,,,,,,,,,CANAAN SOUTHFIELD,ROAD,RD,,,26668,,220,203,203,2013-12-10,-73.28586047393554,42.052547450642756,933300
M_57538_868566,57538.00300000,868566.03780000,BMP,677303,1584,NORFOLK ROAD,,,,,RIGHT,,,01259,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,1584,1584,,,,,,,,,NORFOLK,ROAD,RD,,,26602,,220,203,203,2013-12-10,-73.22114433832968,42.05455435004663,933300
M_53811_875081,53811.42460000,875081.03200000,BMP,677274,839,MILL RIVER SOUTHFIELD ROAD,,,,,,,,01230,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,839,839,,,,,,,,,MILL RIVER SOUTHFIELD,ROAD,RD,,,26574,,220,203,203,2013-12-10,-73.26778507452187,42.11251196151614,933300
M_54518_880898,54517.54480000,880898.15300000,BC,676829,1724,HARTSVILLE NEW MARLBOROUGH ROAD,,,,,,,,01230,,NEW MARLBOROUGH,NEW MARLBOROUGH,MA,,1724,1724,,,,,,,,,HARTSVILLE NEW MARLBOROUGH,ROAD,RD,,,26532,,220,203,203,2013-12-10,-73.2607005882503,42.16500471532821,933300
