ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_129582_920137,129581.55420000,920137.26320000,BMP,908083,252,WENDELL ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,252,252,,,,,,,,,WENDELL,ROAD,RD,,,37465,,221,319,204,2013-12-15,-72.35710387859848,42.528599640466005,040600
M_132763_922057,132762.74440000,922057.15740000,BMP,1075758,84,ELM STREET,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,84,84,,,,,,,,,ELM,STREET,ST,,,47982,,221,204,204,2013-12-23,-72.31861045875166,42.54616373634844,040600
M_129503_917249,129502.70620000,917249.16380000,BC,1076246,140,WEST MAIN STREET,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,140,140,,,,,,,WEST,,MAIN,STREET,ST,,,48053,,221,204,204,2013-12-23,-72.35771004578369,42.50259388847226,040600
M_134930_921726,134929.60100000,921726.00280000,BMP,1075853,157,FAY ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,157,157,,,,,,,,,FAY,ROAD,RD,,,47983,,221,204,204,2013-12-23,-72.29219317835647,42.543366884188835,040600
M_134158_921346,134158.44740000,921345.52040000,BMP,1075877,32,ORANGE ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,32,32,,,,,,,,,ORANGE,ROAD,RD,,,48021,,221,204,204,2013-12-23,-72.30153743502369,42.53987693399639,040600
M_129699_921656,129698.60580000,921656.05440000,BC,1076187,237,NEILSON ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,237,237,,,,,,,,,NEILSON,ROAD,RD,,,48005,,221,204,204,2013-12-23,-72.35586475535092,42.54228227851561,040600
M_134594_921742,134593.54900000,921741.76660000,BC,1076085,134,FAY ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,134,134,,,,,,,,,FAY,ROAD,RD,,,47983,,221,204,204,2013-12-23,-72.29628596489529,42.54348062001682,040600
M_130684_914744,130684.47140000,914744.35220000,BMP,1076207,58,WHITAKER ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,58,58,,,,,,,,,WHITAKER,ROAD,RD,,,48055,,221,204,204,2013-12-23,-72.34303177248276,42.48015152012003,040600
M_137811_918079,137810.99500000,918078.51020000,BC,1075878,357,PETERSHAM ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,357,357,,,,,,,,,PETERSHAM,ROAD,RD,,,48024,,221,204,204,2013-12-23,-72.25672186714684,42.51076753869332,040600
M_134656_922113,134655.88740000,922112.79020000,BMP,1075812,6,BLACKINTON ROAD,,,,,,,,01364,,NEW SALEM,NEW SALEM,MA,,6,6,,,,,,,,,BLACKINTON,ROAD,RD,,,47959,,221,204,204,2013-12-23,-72.29556920425489,42.546825800316135,040600
M_132928_921446,132927.85100000,921445.67340000,BMP,1076200,45,ELM STREET,,ORANGE OIL,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,45,45,,,,,,,,,ELM,STREET,ST,,,47982,16848,221,204,204,2013-12-23,-72.31652915059392,42.54067343223934,040600
M_130882_914965,130882.05800000,914964.64920000,BMP,1075798,34,WHITAKER ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,34,34,,,,,,,,,WHITAKER,ROAD,RD,,,48055,,221,204,204,2013-12-23,-72.3406552392474,42.48215220702902,040600
M_131591_918179,131590.84760000,918178.65100000,BMP,1076225,61,NORTH MAIN STREET,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,61,61,,,,,,,NORTH,,MAIN,STREET,ST,,,48012,,221,204,204,2013-12-23,-72.33241653055259,42.51114738742065,040600
M_131642_916929,131641.79840000,916928.75260000,BC,1076190,26,SOUTH MAIN STREET,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,26,26,,,,,,,SOUTH,,MAIN,STREET,ST,,,48041,,221,204,204,2013-12-23,-72.33164830473014,42.499900235813854,040600
M_137183_917902,137182.79000000,917901.69160000,BC,1075892,4,OLD COUNTY ROAD,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,4,4,,,,,,,,,OLD COUNTY,ROAD,RD,,,48015,,221,204,204,2013-12-23,-72.26434623986307,42.50912537632537,040600
M_131910_916286,131910.12140000,916285.86160000,BC,1076175,16,LOVERS LANE,,,,,,,,01355,,NEW SALEM,NEW SALEM,MA,,16,16,,,,,,,,,LOVERS,LANE,LN,,,47996,,221,204,204,2013-12-23,-72.32830813181774,42.494136400261,040600
