ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_245711_947187,245711.13920000,947186.93320000,BC,4188383,39,SOUTH STREET,,,,,IN-LAW,,,01922,,NEWBURY,NEWBURY,MA,,39,39,,,,,,,,,SOUTH,STREET,ST,,,134443,,222,324,205,2014-09-03,-70.94145633603557,42.77394042888308,269100
M_256364_949849,256363.82980000,949849.34640000,BMP,2812683,20,COLUMBIA WAY,,,,,,,,01951,,NEWBURY,NEWBURY,MA,,20,20,,,,,,,,,COLUMBIA,WAY,WAY,,,134209,,222,205,205,2016-06-10,-70.81103364131901,42.7972047431294,269100
M_246492_944613,246492.26120000,944613.24700000,BMP,2811620,58,CENTRAL STREET,,,,,,,,01922,,NEWBURY,NEWBURY,MA,,58,58,,,,,,,,,CENTRAL,STREET,ST,,,134196,,222,205,205,2014-03-04,-70.93212146715791,42.750726824444705,269100
M_249329_946195,249329.05700000,946194.75640000,PC,2813658,214,MIDDLE ROAD,,,,,,,,01922,,NEWBURY,NEWBURY,MA,,214,214,,,,,,,,,MIDDLE,ROAD,RD,,,134319,,222,205,205,2014-03-04,-70.89733613208492,42.76478764632726,269100
M_245593_947189,245593.33300000,947189.37060000,BC,2813791,33,SOUTH STREET,,,,,,,,01922,,NEWBURY,NEWBURY,MA,,33,33,,,,,,,,,SOUTH,STREET,ST,,,134442,,222,205,205,2014-03-04,-70.94289557256074,42.77396930438797,269100
M_246833_943549,246832.84140000,943549.01840000,BC,2814164,118,CENTRAL STREET,,,,,A,,,01922,,NEWBURY,NEWBURY,MA,,118,118,,,,,,,,,CENTRAL,STREET,ST,,,134196,,222,205,205,2014-03-04,-70.92804874655852,42.74112657931408,269100
M_256499_950896,256498.61200000,950896.31580000,BC,2812905,3,33RD STREET,,,,,,,,01951,,NEWBURY,NEWBURY,MA,,3,3,,,,,,,,,33RD,STREET,ST,,,134139,,222,205,205,2014-03-04,-70.80928256369165,42.80661904843631,269100
M_250343_948138,250343.37280000,948138.49120000,BC,2813438,5,ADAMS LANE,,,,,,,,01951,,NEWBURY,NEWBURY,MA,,5,5,,,,,,,,,ADAMS,LANE,LN,,,134162,,222,205,205,2014-03-04,-70.88477315900434,42.782218963580625,269100
M_251997_948731,251996.60120000,948731.10880000,BC,2812461,70,GREEN STREET,,,,,,,,01951,,NEWBURY,NEWBURY,MA,,70,70,,,,,,,,,GREEN,STREET,ST,,,134251,,222,205,205,2014-03-04,-70.86451647593935,42.78744426754881,269100
M_246272_944518,246271.71200000,944517.74240000,BC,2813933,54R,CENTRAL STREET,,,,,,,,01922,,NEWBURY,NEWBURY,MA,,54,54,R,,,,,,,,CENTRAL,STREET,ST,,,134196,,222,205,205,2014-03-04,-70.93482301011805,42.749880317578246,269100
