ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_67538_940401,67538.42500000,940401.30760000,BC,4189830,245,RIVER STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,245,245,,,,,,,,,RIVER,STREET,ST,,,26974,,226,209,209,2015-01-22,-73.11680343932609,42.70290329553169,935300
M_67092_940489,67091.60460000,940488.92620000,BC,681382,404,RIVER STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,404,404,,,,,,,,,RIVER,STREET,ST,,,26974,,226,209,209,2013-12-10,-73.12227627812909,42.70361552291462,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,682075,66,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,66,66,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_65961_939541,65961.40180000,939540.71320000,BC,683309,146,NOTCH ROAD,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,146,146,,,,,,,,,NOTCH,ROAD,RD,,,26937,,226,209,209,2013-12-10,-73.1358461926284,42.69488702049132,921500
M_69733_940412,69733.19100000,940411.72380000,BMP,684889,189,BEAVER STREET,,,,,202R,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,189,189,,,,,,,,,BEAVER,STREET,ST,,,26730,,226,209,209,2013-12-10,-73.09002312666706,42.70336842189556,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,681687,202,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,202,202,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69848_939167,69847.87160000,939167.20820000,BMP,683374,19,BIRCHWOOD TERRACE,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,19,19,,,,,,,,,BIRCHWOOD,TERRACE,TER,,,26734,,226,209,209,2013-12-10,-73.08834083490973,42.69218653687715,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,683240,124,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,124,124,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679064,126,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,126,126,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67305_939901,67305.11700000,939901.15800000,BC,677570,23,WARREN STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,23,23,,,,,,,,,WARREN,STREET,ST,,,27027,,226,209,209,2013-12-10,-73.11953457508277,42.69836194875364,921400
M_67383_939823,67383.15400000,939822.51100000,BC,681998,47,WHITMAN STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,47,47,,,,,,,,,WHITMAN,STREET,ST,,,27041,,226,209,209,2013-12-10,-73.11856415359176,42.69766743372873,921400
M_67857_940806,67857.38540000,940806.35660000,BC,679290,33,BROOKLYN STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,33,33,,,,,,,,,BROOKLYN,STREET,ST,,,26749,,226,209,209,2013-12-10,-73.11300467456738,42.706603221080385,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,679201,181,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,181,181,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679212,190,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,190,190,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679235,208,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,208,208,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67593_939329,67592.58740000,939329.19520000,BC,685201,244,WALNUT STREET,,,,,LEFT,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,244,244,,,,,,,,,WALNUT,STREET,ST,,,27026,,226,209,209,2013-12-10,-73.11589462138683,42.69326317001121,921400
M_66072_939709,66072.14240000,939709.09940000,BMP,677960,84,NOTCH ROAD,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,84,84,,,,,,,,,NOTCH,ROAD,RD,,,26937,,226,209,209,2013-12-10,-73.13453438895255,42.69642165632589,921500
M_69596_939341,69596.33840000,939340.98800000,BMP,682705,43,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,43,43,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,682767,36,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,36,36,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67526_940551,67525.74840000,940550.69620000,BC,682899,52,VEAZIE STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,52,52,,,,,,,,,VEAZIE,STREET,ST,,,27018,,226,209,209,2013-12-10,-73.11699269373153,42.704245676447066,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,680997,266,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,266,266,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_65309_939726,65309.34900000,939726.19920000,BC,680381,55,COLLEGE AVENUE,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,55,55,,,,,,,,,COLLEGE,AVENUE,AVE,,,26779,,226,209,209,2013-12-10,-73.14384569157183,42.696443607028975,921500
M_69596_939341,69596.33840000,939340.98800000,BMP,682535,184,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,184,184,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67075_940486,67075.34120000,940485.84300000,BMP,677836,408,RIVER STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,408,408,,,,,,,,,RIVER,STREET,ST,,,26974,,226,209,209,2013-12-10,-73.12247402510633,42.703584988712954,935300
M_68109_940491,68109.32140000,940491.44560000,BC,681404,90,HALL STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,90,90,,,,,,,,,HALL,STREET,ST,,,26851,,226,209,209,2013-12-10,-73.1098575959261,42.703811765290844,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,682208,100,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,100,100,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,685027,213,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,RIGHT,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,213,213,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67845_940939,67844.65340000,940938.68900000,BMP,685301,306,HOUGHTON STREET,,,,,DOWN,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,306,306,,,,,,,,,HOUGHTON,STREET,ST,,,26867,,226,209,209,2013-12-10,-73.11319059791776,42.707792086119525,935300
M_67374_940444,67373.87240000,940444.47060000,BC,685305,307,RIVER STREET,,,,,1ST,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,307,307,,,,,,,,,RIVER,STREET,ST,,,26974,,226,209,209,2013-12-10,-73.11882145601548,42.70326368195536,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,679411,38,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,38,38,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67967_940582,67966.63760000,940581.90120000,BC,681279,71,NORTH HOLDEN STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,71,71,,,,,,,NORTH,,HOLDEN,STREET,ST,,,26933,,226,209,209,2013-12-10,-73.11161963899656,42.70460164097959,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,679950,173,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,173,173,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679971,146,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,146,146,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679995,227,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,227,227,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,680185,289,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,289,289,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,680468,78,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,78,78,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,682499,238,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,238,238,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,683625,58,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,58,58,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,683496,274,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,274,274,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,683506,285,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,285,285,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,678880,88,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,88,88,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,680923,218,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,218,218,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_68439_939835,68438.60960000,939835.32180000,BC,683226,117,PLEASANT STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,117,117,,,,,,,,,PLEASANT,STREET,ST,,,26958,,226,209,209,2013-12-10,-73.10568851087044,42.69796229991196,921300
M_69733_940412,69733.19100000,940411.72380000,BMP,684890,189,BEAVER STREET,,,,,404,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,189,189,,,,,,,,,BEAVER,STREET,ST,,,26730,,226,209,209,2013-12-10,-73.09002312666706,42.70336842189556,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,679173,236,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,236,236,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679200,180,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,180,180,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679245,219,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,219,219,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67718_939567,67717.90820000,939567.44960000,BC,684560,137,STATE STREET,,,,,2,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,137,137,,,,,,,,,STATE,STREET,ST,,,27005,,226,209,209,2015-04-01,-73.11442060413687,42.695428902111395,921400
M_69596_939341,69596.33840000,939340.98800000,BMP,681634,235,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,235,235,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,681774,256,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,256,256,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,682509,242,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,242,242,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,683816,120,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,120,120,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_67092_940489,67091.60460000,940488.92620000,BC,680270,406,RIVER STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,406,406,,,,,,,,,RIVER,STREET,ST,,,26974,,226,209,209,2013-12-10,-73.12227627812909,42.70361552291462,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,683370,183,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,183,183,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,681697,212,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,212,212,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,680677,114,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,114,114,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,680488,257,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,257,257,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,677671,224 1/2,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,224,224,1/2,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679672,231,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,231,231,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,683059,252,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,252,252,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,679186,244,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,244,244,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_64878_939906,64877.67200000,939906.24500000,BMP,679436,410,STATE ROAD,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,410,410,,,,,,,,,STATE,ROAD,RD,,,27001,,226,209,209,2013-12-10,-73.1491553065666,42.69798906100673,921500
M_69621_939909,69621.20960000,939909.07080000,BMP,679886,12,WALKER STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,12,12,,,,,,,,,WALKER,STREET,ST,,,27024,,226,209,209,2013-12-10,-73.0912751960646,42.69882556076728,921300
M_70099_940474,70098.64160000,940473.98200000,BMP,680172,270,WALKER STREET,,,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,270,270,,,,,,,,,WALKER,STREET,ST,,,27024,,226,209,209,2013-12-10,-73.08557762816694,42.70399000460418,921300
M_67967_940582,67966.63760000,940581.90120000,BC,686294,71,NORTH HOLDEN STREET,,,,,R,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,71,71,,,,,,,NORTH,,HOLDEN,STREET,ST,,,26933,,226,209,209,2013-12-10,-73.11161963899656,42.70460164097959,935300
M_69596_939341,69596.33840000,939340.98800000,BMP,683503,281,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,281,281,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
M_69596_939341,69596.33840000,939340.98800000,BMP,683487,262,MOHAWK FOREST BOULEVARD,,MOHAWK FOREST ASSOCIATES,,,,,,01247,,NORTH ADAMS,NORTH ADAMS,MA,,262,262,,,,,,,,,MOHAWK FOREST,BOULEVARD,BLVD,,,26915,16245,226,209,209,2015-04-02,-73.0914493298378,42.69370842063068,921300
