ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_235388_937467,235387.76120000,937467.15190000,BC,2823214,119,CORTLAND DRIVE,,MEETINGHOUSE COMMONS,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,119,119,,,,,,,,,CORTLAND,DRIVE,DR,,,134826,20075,227,210,210,2016-04-08,-71.06819628713393,42.686985374413624,253205
M_235153_937268,235152.91850000,937268.19090000,ABC,2817523,32,CIDERPRESS WAY,,MEETINGHOUSE COMMONS,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,32,32,,,,,,,,,CIDERPRESS,WAY,WAY,,,134811,20075,227,210,210,2016-04-08,-71.07107401241191,42.68520502069358,253205
M_235153_937268,235152.91850000,937268.19090000,ABC,2823734,24,CIDERPRESS WAY,,MEETINGHOUSE COMMONS,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,24,24,,,,,,,,,CIDERPRESS,WAY,WAY,,,134811,20075,227,210,210,2016-04-08,-71.07107401241191,42.68520502069358,253205
M_232602_940992,232602.22060000,940991.95500000,BC,2816021,200,HICKORY HILL ROAD,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,200,200,,,,,,,,,HICKORY HILL,ROAD,RD,,,134942,,227,210,210,2014-03-04,-71.10198442159584,42.71883700777806,253203
M_232707_935871,232706.70340000,935871.16880000,BC,2824108,417,MARBLERIDGE ROAD,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,417,417,,,,,,,,,MARBLERIDGE,ROAD,RD,,,135008,,227,210,210,2014-03-04,-71.10100132439933,42.67273604638676,253203
M_230845_938642,230845.04140000,938642.15280000,BC,2823042,63,ELMCREST ROAD,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,63,63,,,,,,,,,ELMCREST,ROAD,RD,,,134865,,227,210,210,2014-03-04,-71.12356279538791,42.697756316068045,253100
M_229929_937833,229928.68820000,937833.19520000,BC,2824126,422,WAVERLEY ROAD,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,422,422,,,,,,,,,WAVERLEY,ROAD,RD,,,99988,,227,210,210,2014-03-04,-71.1347882307403,42.69051004578281,253202
M_230945_938708,230944.70480000,938707.82480000,BC,2816918,84,PLEASANT STREET,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,84,84,,,,,,,,,PLEASANT,STREET,ST,,,134539,,227,210,210,2014-03-04,-71.1223429565978,42.69834352018424,253100
M_236772_932569,236772.34460000,932568.66300000,BC,2824385,8,LACONIA CIRCLE,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,8,8,,,,,,,,,LACONIA,CIRCLE,CIR,,,134982,,227,210,210,2014-03-04,-71.05161602277704,42.64282525332344,253205
M_230964_935783,230964.31380000,935783.90020000,BC,2828462,5,ROYAL CREST DRIVE,,ROYAL CREST ESTATES,,,11,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,5,5,,,,,,,,,ROYAL CREST,DRIVE,DR,,,134573,17235,227,210,210,2014-08-05,-71.12226167553791,42.67202187741781,253202
M_229696_938984,229695.73380000,938983.63800000,BC,2817116,14,BALDWIN STREET,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,14,14,,,,,,,,,BALDWIN,STREET,ST,,,135045,,227,210,210,2014-03-04,-71.13757122616137,42.70087512739292,253100
M_230825_939533,230824.81340000,939533.33300000,BC,2821452,32,FURBER AVENUE,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,32,32,,,,,,,,,FURBER,AVENUE,AVE,,,134901,,227,210,210,2014-03-04,-71.12376168372407,42.705779387057916,253201
M_231277_937748,231276.86900000,937748.05400000,DBMP,2823757,200,OSGOOD STREET,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,200,200,,,,,,,,,OSGOOD,STREET,ST,,,134513,,227,210,210,2016-04-14,-71.11834160503498,42.68969048094508,253201
M_234234_931738,234234.45100000,931737.89320000,BC,2819404,124,COLONIAL AVENUE,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,124,124,,,,,,,,,COLONIAL,AVENUE,AVE,,,134820,,227,210,210,2014-03-04,-71.08261091309105,42.63546261270107,253204
M_232514_934626,232514.31240000,934625.94780000,BC,2815834,141,ROSEMONT DRIVE,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,141,141,,,,,,,,,ROSEMONT,DRIVE,DR,,,134572,,227,210,210,2014-03-04,-71.10341895345016,42.66153472230814,253204
M_231132_938373,231131.94340000,938373.08600000,BMP,2817820,72,RUSSELL STREET,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,72,72,,,,,,,,,RUSSELL,STREET,ST,,,134574,,227,210,210,2014-03-04,-71.12007607553046,42.6953227631681,253100
M_231091_937355,231091.13540000,937354.75640000,BC,2819853,23,COBBLESTONE CIRCLE,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,23,23,,,,,,,,,COBBLESTONE,CIRCLE,CIR,,,134816,,227,210,210,2014-03-04,-71.12062934899936,42.68615751982828,253202
M_231047_938392,231047.25080000,938392.36080000,BC,2820031,24-26,LINCOLN STREET,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,24,24,,,26,26,,,,,LINCOLN,STREET,ST,,,134992,,227,210,210,2015-10-19,-71.12110857747808,42.69549966353388,253100
M_235737_932831,235736.94780000,932830.96720000,BC,2823436,99,PHEASANT BROOK ROAD,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,99,99,,,,,,,,,PHEASANT BROOK,ROAD,RD,,,134532,,227,210,210,2014-03-04,-71.06422458141165,42.64523481847883,253204
M_231204_937489,231204.04040000,937489.03700000,BC,2821136,19,PHILLIPS COMMON,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,19,19,,,,,,,,,PHILLIPS,COMMON,CMN,,,134534,,227,210,210,2014-03-04,-71.11924439874056,42.68736177015206,253201
M_235750_930934,235750.38620000,930933.72400000,BC,2821247,2135,TURNPIKE STREET,,,,,,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,2135,2135,,,,,,,,,TURNPIKE,STREET,ST,,,134647,,227,210,210,2014-03-04,-71.06417892397465,42.62815521120986,253204
M_230964_935783,230964.31380000,935783.90020000,BC,2828460,5,ROYAL CREST DRIVE,,ROYAL CREST ESTATES,,,1,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,5,5,,,,,,,,,ROYAL CREST,DRIVE,DR,,,134573,17235,227,210,210,2014-08-05,-71.12226167553791,42.67202187741781,253202
M_230964_935783,230964.31380000,935783.90020000,BC,2828463,5,ROYAL CREST DRIVE,,ROYAL CREST ESTATES,,,12,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,5,5,,,,,,,,,ROYAL CREST,DRIVE,DR,,,134573,17235,227,210,210,2014-08-05,-71.12226167553791,42.67202187741781,253202
M_230964_935783,230964.31380000,935783.90020000,BC,2828464,5,ROYAL CREST DRIVE,,ROYAL CREST ESTATES,,,2,,,01845,,NORTH ANDOVER,NORTH ANDOVER,MA,,5,5,,,,,,,,,ROYAL CREST,DRIVE,DR,,,134573,17235,227,210,210,2014-08-05,-71.12226167553791,42.67202187741781,253202
