ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_213952_859474,213952.36940000,859474.03860000,BC,85934,125,NORTH WASHINGTON STREET,,,,,B2,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,125,125,,,,,,,NORTH,,WASHINGTON,STREET,ST,,,4061,,228,211,211,2013-12-05,-71.33162964977925,41.9855134982923,630102
M_214447_858805,214447.31300000,858805.00480000,BC,87128,17,FOREST STREET,,,,,3,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,17,17,,,,,,,,,FOREST,STREET,ST,,,3839,,228,211,211,2013-12-05,-71.32567343014325,41.979481015272654,630102
M_209913_853181,209912.61340000,853180.62980000,BC,78598,20,STAR LANE,,,,,,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,20,20,,,,,,,,,STAR,LANE,LN,,,4451,,228,211,211,2013-12-05,-71.38048577966028,41.928913065293784,630300
M_210797_853183,210796.59840000,853183.26020000,BC,80123,34,HADUK DRIVE,,,,,,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,34,34,,,,,,,,,HADUK,DRIVE,DR,,,3870,,228,211,211,2013-12-05,-71.3698277325595,41.92892509883408,630300
M_214398_858205,214397.56520000,858204.89420000,BMP,79299,80,SIMPSON STREET,,,,,,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,80,80,,,,,,,,,SIMPSON,STREET,ST,,,4432,,228,211,211,2013-12-05,-71.32628845077271,41.97407893308989,630102
M_214447_858805,214447.31300000,858805.00480000,BC,87127,17,FOREST STREET,,,,,2,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,17,17,,,,,,,,,FOREST,STREET,ST,,,3839,,228,211,211,2013-12-05,-71.32567343014325,41.979481015272654,630102
M_215012_857663,215012.03320000,857663.18380000,BC,89092,390,MOUNT HOPE STREET,,,,,2,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,390,390,,,,,,,,,MOUNT HOPE,STREET,ST,,,4042,,228,211,211,2013-12-05,-71.3188885838694,41.969190224485274,630102
M_215012_857663,215012.03320000,857663.18380000,BC,89094,390,MOUNT HOPE STREET,,,,,4,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,390,390,,,,,,,,,MOUNT HOPE,STREET,ST,,,4042,,228,211,211,2013-12-05,-71.3188885838694,41.969190224485274,630102
M_213486_860089,213485.61940000,860089.20520000,BMP,77147,138,WEST STREET,,,,,,,,02760,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,138,138,,,,,,,,,WEST,STREET,ST,,,4515,,228,211,211,2013-12-05,-71.3372479812256,41.99106019937926,630101
M_215226_856906,215225.60020000,856906.33600000,BC,83566,162,ACHILLES WAY,,,,,,,,02763,,NORTH ATTLEBOROUGH,NORTH ATTLEBOROUGH,MA,,162,162,,,,,,,,,ACHILLES,WAY,WAY,,,4149,,228,211,211,2013-12-05,-71.316331692247,41.96237195311032,630400
