ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_155216_893988,155215.79340000,893988.44140000,BC,1074000,14,BROOKS POND WAY,,,,,,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,14,14,,,,,,,,,BROOKS POND,WAY,WAY,,,47784,,229,212,212,2013-12-23,-72.04307911176836,42.295092149142924,725100
M_151644_891616,151644.12480000,891615.88200000,BC,1074577,13,BELL STREET,,,,,,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,13,13,,,,,,,,,BELL,STREET,ST,,,47769,,229,212,212,2013-12-23,-72.08619218663242,42.27351977898504,725100
M_150674_888309,150674.19900000,888308.72880000,BMP,1073652,9,BIRCH HILL ROAD,,,,,,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,9,9,,,,,,,,,BIRCH HILL,ROAD,RD,,,47775,,229,212,212,2013-12-23,-72.09766878088585,42.24368568850143,725100
M_154833_887830,154832.65480000,887830.49060000,BMP,1073702,27,SHORE ROAD,,,,,,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,27,27,,,,,,,,,SHORE,ROAD,RD,,,47895,,229,212,212,2013-12-23,-72.04724604849031,42.23963147028806,725100
M_150138_888244,150138.02760000,888243.68880000,BMP,1072655,62,WEST BROOKFIELD ROAD,,,,,,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,62,62,,,,,,,,,WEST BROOKFIELD,ROAD,RD,,,47935,,229,212,212,2013-12-23,-72.10415964181311,42.24306614080261,725100
M_154070_894277,154069.75160000,894276.70140000,PC,1072489,171,OAKHAM ROAD,,,,,,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,171,171,,,,,,,,,OAKHAM,ROAD,RD,,,47867,,229,212,212,2013-12-23,-72.0569991119476,42.297620738389924,725100
M_151837_891694,151836.94080000,891694.24140000,BMP,1075173,313,NORTH MAIN STREET,,,,,2,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,313,313,,,,,,,NORTH,,MAIN,STREET,ST,,,47863,,229,212,212,2013-12-23,-72.08386135758515,42.274237133956795,725100
M_151887_888009,151887.38260000,888009.19880000,PC,1075443,25,TOWN FARM ROAD,,,,,A,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,25,25,,,,,,,,,TOWN FARM,ROAD,RD,,,47916,,229,212,212,2013-12-23,-72.0829445888235,42.241064673539505,725100
M_149154_889613,149154.19020000,889613.01520000,PC,1074776,94,SMITH HANSON ROAD,,,,,,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,94,94,,,,,,,,,SMITH HANSON,ROAD,RD,,,47900,,229,212,212,2013-12-23,-72.11619989625169,42.25533049240074,725100
M_151717_892594,151716.95140000,892594.26420000,BC,1075254,41,NEW BRAINTREE ROAD,,,,,1,,,01535,,NORTH BROOKFIELD,NORTH BROOKFIELD,MA,,41,41,,,,,,,,,NEW BRAINTREE,ROAD,RD,,,47858,,229,212,212,2013-12-23,-72.08539077402091,42.28233238876433,725100
