ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_236184_925415,236183.56400000,925414.50330000,BC,3095482,193,ELM STREET,,THE COMMONS AT ELMWOOD VILLAGE,,,321,,,01864,,NORTH READING,NORTH READING,MA,,193,193,,,,,,,,,ELM,STREET,ST,,,146113,16946,230,213,213,2016-12-29,-71.05924596227713,42.57845063804566,330100
M_233204_925711,233203.99420000,925711.19960000,BC,3092538,104,CENTRAL STREET,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,104,104,,,,,,,,,CENTRAL,STREET,ST,,,145751,,230,213,213,2014-03-07,-71.09552256392362,42.58125444541149,330200
M_231485_927173,231484.86860000,927173.47120000,BC,3095238,7,FAIRWAY ROAD,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,7,7,,,,,,,,,FAIRWAY,ROAD,RD,,,145809,,230,213,213,2014-03-07,-71.11638384476709,42.59448953862327,330200
M_235297_927910,235296.81200000,927910.11800000,BC,3095381,84,MARBLEHEAD STREET,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,84,84,,,,,,,,,MARBLEHEAD,STREET,ST,,,145920,,230,213,213,2014-03-07,-71.06989406610116,42.60095723862803,330100
M_236497_925765,236496.71380000,925764.74500000,BC,3093479,25,ERWIN ROAD,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,25,25,,,,,,,,,ERWIN,ROAD,RD,,,145802,,230,213,213,2014-03-07,-71.05540929843619,42.58158893671618,330100
M_231198_926700,231197.79480000,926699.69880000,PC,3095424,15,SAINT THERESA STREET,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,15,15,,,,,,,,,SAINT THERESA,STREET,ST,,,146014,,230,213,213,2014-03-07,-71.11990726966866,42.59023613753347,330200
M_231298_925395,231298.26820000,925395.23880000,BMP,3092989,42,ABBOTT ROAD,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,42,42,,,,,,,,,ABBOTT,ROAD,RD,,,145687,,230,213,213,2014-03-07,-71.1187542209069,42.57848912720309,330200
M_232028_926517,232027.73980000,926516.70480000,BC,3092231,7,COUNTRY CLUB ROAD,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,7,7,,,,,,,,,COUNTRY CLUB,ROAD,RD,,,145772,,230,213,213,2014-03-07,-71.10980612189834,42.58855506091217,330200
M_233670_926650,233669.50620000,926650.07880000,BC,3094428,36,NORTH STREET,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,36,36,,,,,,,,,NORTH,STREET,ST,,,145945,,230,213,213,2014-03-07,-71.08979697227461,42.58968636994696,330100
M_233446_926356,233446.49220000,926355.85400000,PC,3089620,15,MAGNOLIA STREET,,,,,,,,01864,,NORTH READING,NORTH READING,MA,,15,15,,,,,,,,,MAGNOLIA,STREET,ST,,,145916,,230,213,213,2014-03-07,-71.09253108354369,42.58704733755805,330100
