ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_104240_898153,104239.93450000,898153.22470000,ABC,4246450,127,HINCKLEY STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,127,127,,,,,,,,,HINCKLEY,STREET,ST,,,27473,,108,214,214,2016-10-07,-72.66187360229202,42.32799890910374,821602
M_104240_898153,104239.93450000,898153.22470000,ABC,4246451,129,HINCKLEY STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,129,129,,,,,,,,,HINCKLEY,STREET,ST,,,27473,,108,214,214,2016-10-07,-72.66187360229202,42.32799890910374,821602
M_106540_897728,106539.52620000,897727.58660000,BC,694043,16,MYRTLE STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,16,16,,,,,,,,,MYRTLE,STREET,ST,,,27573,,231,214,214,2013-12-10,-72.63390693265181,42.32444590574567,821901
M_103748_898591,103748.18060000,898590.86860000,BMP,694086,74,BEACON STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,74,74,,,,,,,,,BEACON,STREET,ST,,,27284,,108,214,214,2013-12-10,-72.66791209703226,42.33187812003189,821602
M_103908_899456,103907.51820000,899456.16440000,BMP,692905,165,CHESTNUT STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,165,165,,,,,,,,,CHESTNUT,STREET,ST,,,27333,,108,214,214,2013-12-10,-72.66612248184599,42.33968712829015,821602
M_105511_898377,105511.25060000,898376.82140000,BC,700696,315,PROSPECT STREET,,,,,1,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,315,315,,,,,,,,,PROSPECT,STREET,ST,,,27218,,231,214,214,2013-12-10,-72.646486835358,42.33016660003633,821601
M_101787_900642,101787.10320000,900641.50640000,BC,691912,124,FLORENCE STREET,,,,,,,,01053,,LEEDS,NORTHAMPTON,MA,,124,124,,,,,,,,,FLORENCE,STREET,ST,,,27409,,165,214,214,2013-12-10,-72.69205231038994,42.35009364313795,821700
M_106558_899517,106557.55040000,899517.45550000,BC,704944,80,DAMON ROAD,,RIVER RUN CONDOS,,,7112,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,80,80,,,,,,,,,DAMON,ROAD,RD,,,27358,16132,231,214,214,2017-01-10,-72.63397696281277,42.34056053654411,821601
M_106558_899517,106557.55040000,899517.45550000,BC,704949,80,DAMON ROAD,,RIVER RUN CONDOS,,,7204,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,80,80,,,,,,,,,DAMON,ROAD,RD,,,27358,16132,231,214,214,2017-01-10,-72.63397696281277,42.34056053654411,821601
M_106558_899517,106557.55040000,899517.45550000,BC,704936,80,DAMON ROAD,,RIVER RUN CONDOS,,,7103,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,80,80,,,,,,,,,DAMON,ROAD,RD,,,27358,16132,231,214,214,2017-01-10,-72.63397696281277,42.34056053654411,821601
M_106558_899517,106557.55040000,899517.45550000,BC,704937,80,DAMON ROAD,,RIVER RUN CONDOS,,,7104,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,80,80,,,,,,,,,DAMON,ROAD,RD,,,27358,16132,231,214,214,2017-01-10,-72.63397696281277,42.34056053654411,821601
M_106558_899517,106557.55040000,899517.45550000,BC,704956,80,DAMON ROAD,,RIVER RUN CONDOS,,,7303,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,80,80,,,,,,,,,DAMON,ROAD,RD,,,27358,16132,231,214,214,2017-01-10,-72.63397696281277,42.34056053654411,821601
M_103017_894904,103017.05720000,894904.38880000,BC,694224,80,AUTUMN DRIVE,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,80,80,,,,,,,,,AUTUMN,DRIVE,DR,,,27274,,108,214,214,2013-12-10,-72.67616559783401,42.298601913636034,822200
M_103345_899387,103344.75280000,899386.81760000,BMP,691933,13,BARDWELL STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,13,13,,,,,,,,,BARDWELL,STREET,ST,,,27228,,108,214,214,2013-12-10,-72.67293944526904,42.33899340346245,821700
M_106554_898027,106554.47940000,898026.81020000,BC,689818,206,KING STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,206,206,,,,,,,,,KING,STREET,ST,,,27501,,231,214,214,2013-12-10,-72.63377378691187,42.32714132231939,821901
M_105899_898152,105898.59260000,898151.68620000,BMP,694516,4,FRANKLIN COURT,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,4,4,,,,,,,,,FRANKLIN,COURT,CT,,,27419,,231,214,214,2013-12-10,-72.64175098901678,42.32818669936957,821901
M_103628_899408,103627.67240000,899407.56980000,BMP,690949,9,HILLCREST DRIVE,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,9,9,,,,,,,,,HILLCREST,DRIVE,DR,,,27471,,108,214,214,2013-12-10,-72.66951001754664,42.33921518779646,821602
M_103483_899693,103483.02600000,899693.12440000,BMP,699600,137,NORTH MAPLE STREET,,,,,2,,,01062,,FLORENCE,NORTHAMPTON,MA,,137,137,,,,,,,NORTH,,MAPLE,STREET,ST,,,27586,,108,214,214,2013-12-10,-72.67131271250908,42.34176787453107,821602
M_102564_894945,102563.90620000,894944.95380000,BMP,691305,78,WHITTIER STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,78,78,,,,,,,,,WHITTIER,STREET,ST,,,27195,,108,214,214,2013-12-10,-72.68166732321711,42.2989106961215,822200
M_101682_896502,101681.60560000,896502.01960000,BC,697334,4,OVERLOOK DRIVE,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,4,4,,,,,,,,,OVERLOOK,DRIVE,DR,,,27608,,108,214,214,2013-12-10,-72.69263015271933,42.31281687600179,822200
M_106237_895913,106236.53360000,895912.68280000,BMP,697420,45,REVELL AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,45,45,,,,,,,,,REVELL,AVENUE,AVE,,,27081,,231,214,214,2013-12-10,-72.63728897273488,42.30807169887988,822200
M_103387_898542,103386.84440000,898542.10680000,BMP,689070,12,MAPLE STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,12,12,,,,,,,,,MAPLE,STREET,ST,,,27540,,108,214,214,2013-12-10,-72.67228784005117,42.331394542416085,821602
M_104011_897433,104011.21160000,897433.37360000,BMP,698115,1,LEXINGTON AVENUE,,,,,2A,,,01062,,FLORENCE,NORTHAMPTON,MA,,1,1,,,,,,,,,LEXINGTON,AVENUE,AVE,,,27516,,108,214,214,2013-12-10,-72.66452915552863,42.32149071864071,821602
M_106558_899517,106557.55040000,899517.45550000,BC,704959,80,DAMON ROAD,,RIVER RUN CONDOS,,,7306,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,80,80,,,,,,,,,DAMON,ROAD,RD,,,27358,16132,231,214,214,2017-01-10,-72.63397696281277,42.34056053654411,821601
M_104011_897433,104011.21160000,897433.37360000,BMP,698117,1,LEXINGTON AVENUE,,,,,3,,,01062,,FLORENCE,NORTHAMPTON,MA,,1,1,,,,,,,,,LEXINGTON,AVENUE,AVE,,,27516,,108,214,214,2013-12-10,-72.66452915552863,42.32149071864071,821602
M_102876_897537,102875.99960000,897537.12800000,BC,697750,42,INDIAN HILL ROAD,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,42,42,,,,,,,,,INDIAN HILL,ROAD,RD,,,27484,,108,214,214,2013-12-10,-72.67831711262998,42.32228436132909,822200
M_101692_897308,101691.51340000,897307.66760000,BC,688396,21,TARA CIRCLE,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,21,21,,,,,,,,,TARA,CIRCLE,CIR,,,27150,,108,214,214,2013-12-10,-72.69264662181234,42.32007055639354,821700
M_103939_897413,103939.15520000,897412.83500000,BC,692050,347,RIVERSIDE DRIVE,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,347,347,,,,,,,,,RIVERSIDE,DRIVE,DR,,,27088,,108,214,214,2013-12-10,-72.66539982566304,42.321296969994485,821602
M_98008_893391,98007.68840000,893391.10520000,BC,693547,421,LOUDVILLE ROAD,,,,,,,,01027,,NORTHAMPTON,NORTHAMPTON,MA,,421,421,,,,,,,,,LOUDVILLE,ROAD,RD,,,27526,,231,214,214,2013-12-10,-72.73664260911261,42.28434146763985,822200
M_103242_901030,103241.69560000,901029.80540000,BMP,693672,150,NORTH FARMS ROAD,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,150,150,,,,,,,NORTH,,FARMS,ROAD,RD,,,27580,,108,214,214,2013-12-10,-72.67446443264713,42.35377074302819,821700
M_107411_898755,107411.10700000,898755.21840000,BMP,693807,51,MARSHALL STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,51,51,,,,,,,,,MARSHALL,STREET,ST,,,27546,,231,214,214,2013-12-10,-72.62349794052196,42.333800534465276,821904
M_105582_898406,105582.29380000,898406.35580000,BMP,696408,20,JACKSON STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,20,20,,,,,,,,,JACKSON,STREET,ST,,,27489,,231,214,214,2013-12-10,-72.64562974358192,42.330441062983255,821601
M_103362_898479,103362.47160000,898478.55500000,BC,692174,205,NONOTUCK STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,205,205,,,,,,,,,NONOTUCK,STREET,ST,,,27577,,108,214,214,2013-12-10,-72.67257293817714,42.33081943382148,821602
M_107242_896752,107241.65120000,896752.34160000,BMP,689194,360,PLEASANT STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,360,360,,,,,,,,,PLEASANT,STREET,ST,,,27062,,231,214,214,2013-12-10,-72.6252333286434,42.31575038878113,821903
M_106220_895979,106220.22340000,895979.47540000,BMP,696019,46,REVELL AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,46,46,,,,,,,,,REVELL,AVENUE,AVE,,,27081,,231,214,214,2013-12-10,-72.63749758467154,42.308671013376866,822200
M_102799_898887,102799.45760000,898886.62460000,BMP,697845,123,MEADOW STREET,,,,,LEFT,,,01062,,FLORENCE,NORTHAMPTON,MA,,123,123,,,,,,,,,MEADOW,STREET,ST,,,27554,,108,214,214,2013-12-10,-72.67947198905846,42.33442298554222,821700
M_103548_899711,103547.54080000,899710.92420000,BMP,692323,23,POWELL STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,23,23,,,,,,,,,POWELL,STREET,ST,,,27067,,108,214,214,2013-12-10,-72.67053283500668,42.341936080837876,821602
M_106087_898217,106086.96540000,898217.11640000,BC,688443,19,HAYES AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,19,19,,,,,,,,,HAYES,AVENUE,AVE,,,27460,,231,214,214,2013-12-10,-72.63947630160695,42.328798382103116,821901
M_103197_898337,103196.86360000,898336.81020000,BC,696758,244,NONOTUCK STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,244,244,,,,,,,,,NONOTUCK,STREET,ST,,,27577,,108,214,214,2013-12-10,-72.67455844379721,42.329522935819945,821602
M_105413_898410,105412.58280000,898409.91220000,BMP,700859,333,PROSPECT STREET,,,,,2,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,333,333,,,,,,,,,PROSPECT,STREET,ST,,,27218,,231,214,214,2013-12-10,-72.64768928675937,42.33045253865502,821601
M_106305_898042,106304.97300000,898042.10380000,BC,690830,22,PERKINS AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,22,22,,,,,,,,,PERKINS,AVENUE,AVE,,,27621,,231,214,214,2013-12-10,-72.63680316107154,42.32724909916085,821901
M_106321_896072,106321.34740000,896071.92200000,BMP,689460,23,FAIRVIEW AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,23,23,,,,,,,,,FAIRVIEW,AVENUE,AVE,,,27393,,231,214,214,2013-12-10,-72.63628608792115,42.309515359482376,821903
M_103950_900152,103949.59740000,900151.74580000,BC,687971,59,CAROLYN STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,59,59,,,,,,,,,CAROLYN,STREET,ST,,,27320,,108,214,214,2013-12-10,-72.665727253718,42.345953913238326,821601
M_102452_896196,102452.18880000,896196.43660000,BC,695331,24,BIRCH LANE,,,,,,,,01062,,NORTHAMPTON,NORTHAMPTON,MA,,24,24,,,,,,,,,BIRCH,LANE,LN,,,27294,,231,214,214,2013-12-10,-72.6832325449153,42.31016263275519,822200
M_101770_895819,101770.11040000,895819.12020000,BMP,693407,130,CARDINAL WAY,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,130,130,,,,,,,,,CARDINAL,WAY,WAY,,,27318,,108,214,214,2013-12-10,-72.69144100133835,42.30668055003313,822200
M_105149_896204,105148.65620000,896204.10020000,BMP,690175,62,LAUREL STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,62,62,,,,,,,,,LAUREL,STREET,ST,,,27513,,231,214,214,2013-12-10,-72.65053029201322,42.31056371476298,822200
M_103907_899775,103907.08960000,899774.92960000,BMP,688217,246,CHESTNUT STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,246,246,,,,,,,,,CHESTNUT,STREET,ST,,,27333,,108,214,214,2013-12-10,-72.66618056782167,42.34255659305545,821602
M_103439_899886,103438.62240000,899885.65720000,BMP,687162,182,NORTH MAPLE STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,182,182,,,,,,,NORTH,,MAPLE,STREET,ST,,,27586,,108,214,214,2013-12-10,-72.67188361865284,42.343495557829556,821700
M_103438_899860,103438.17440000,899860.16280000,BMP,699305,172,NORTH MAPLE STREET,,,,,2,,,01062,,FLORENCE,NORTHAMPTON,MA,,172,172,,,,,,,NORTH,,MAPLE,STREET,ST,,,27586,,108,214,214,2013-12-10,-72.67188480432159,42.343266002698684,821700
M_104047_897460,104046.86140000,897460.44300000,BC,692289,22,LIBERTY STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,22,22,,,,,,,,,LIBERTY,STREET,ST,,,27517,,108,214,214,2013-12-10,-72.66410119011078,42.32173877881842,821602
M_106834_897537,106833.97160000,897536.62100000,BC,695181,66,MARKET STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,66,66,,,,,,,,,MARKET,STREET,ST,,,27545,,231,214,214,2013-12-10,-72.63030429931963,42.32276200457632,821904
M_105511_898377,105511.25060000,898376.82140000,BC,695274,315,PROSPECT STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,315,315,,,,,,,,,PROSPECT,STREET,ST,,,27218,,231,214,214,2013-12-10,-72.646486835358,42.33016660003633,821601
M_103478_900739,103477.96380000,900739.12440000,BMP,691543,61,NORTH FARMS ROAD,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,61,61,,,,,,,NORTH,,FARMS,ROAD,RD,,,27580,,108,214,214,2013-12-10,-72.67154848195504,42.35118329928311,821601
M_105505_898777,105504.79400000,898777.36780000,BC,694612,46,RIDGEWOOD TERRACE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,46,46,,,,,,,,,RIDGEWOOD,TERRACE,TER,,,27219,,231,214,214,2013-12-10,-72.64663049725456,42.333771547201316,821601
M_106249_897802,106249.20260000,897801.94260000,BC,689112,130,PROSPECT STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,130,130,,,,,,,,,PROSPECT,STREET,ST,,,27218,,231,214,214,2013-12-10,-72.63744088905983,42.32508046283223,821901
M_103897_897938,103897.30520000,897938.22840000,BC,694295,167,BAKER HILL ROAD,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,167,167,,,,,,,,,BAKER HILL,ROAD,RD,,,27277,,108,214,214,2013-12-10,-72.66599460935655,42.3260214193029,821602
M_103532_899879,103532.32600000,899878.92220000,BMP,694362,29,HOWES STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,29,29,,,,,,,,,HOWES,STREET,ST,,,27480,,108,214,214,2013-12-10,-72.67074543852665,42.34344651377708,821602
M_101755_896402,101754.75260000,896401.88640000,BC,689657,240,BROOKSIDE CIRCLE,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,240,240,,,,,,,,,BROOKSIDE,CIRCLE,CIR,,,27309,,108,214,214,2013-12-10,-72.69172600478811,42.311924681335846,822200
M_106526_896261,106526.18260000,896261.34360000,BMP,690820,22,COLUMBUS AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,22,22,,,,,,,,,COLUMBUS,AVENUE,AVE,,,27343,,231,214,214,2013-12-10,-72.63383234872305,42.31124508757508,821903
M_104505_898087,104504.70400000,898086.51520000,BC,687080,193,FEDERAL STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,193,193,,,,,,,,,FEDERAL,STREET,ST,,,27397,,108,214,214,2013-12-10,-72.65865050933202,42.32743081294541,821602
M_107151_898195,107151.12940000,898194.99680000,BMP,687322,55,GRANT AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,55,55,,,,,,,,,GRANT,AVENUE,AVE,,,27437,,231,214,214,2013-12-10,-72.62656243166977,42.32872651807326,821904
M_105613_895704,105612.58380000,895703.59300000,BMP,687330,55,SOUTH PARK TERRACE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,55,55,,,,,,,SOUTH,,PARK,TERRACE,TER,,,27116,,231,214,214,2013-12-10,-72.64482212902479,42.3061143114933,822200
M_106698_896130,106698.38420000,896129.74680000,BMP,686989,72,COLUMBUS AVENUE,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,72,72,,,,,,,,,COLUMBUS,AVENUE,AVE,,,27343,,231,214,214,2013-12-10,-72.63172261975508,42.310081030414125,822200
M_103407_899562,103407.31860000,899561.97580000,BC,698401,110,NORTH MAPLE STREET,,,,,2,,,01062,,FLORENCE,NORTHAMPTON,MA,,110,110,,,,,,,NORTH,,MAPLE,STREET,ST,,,27586,,108,214,214,2013-12-10,-72.67220949665156,42.34057791574527,821700
M_105762_899051,105761.99920000,899050.54720000,BC,688462,194,JACKSON STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,194,194,,,,,,,,,JACKSON,STREET,ST,,,27489,,231,214,214,2013-12-10,-72.64355431290406,42.336261799287364,821601
M_103407_899562,103407.31860000,899561.97580000,BC,690336,110,NORTH MAPLE STREET,,,,,,,,01062,,FLORENCE,NORTHAMPTON,MA,,110,110,,,,,,,NORTH,,MAPLE,STREET,ST,,,27586,,108,214,214,2013-12-10,-72.67220949665156,42.34057791574527,821700
M_106162_895872,106161.92660000,895872.28800000,BC,690264,41,WINTHROP STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,41,41,,,,,,,,,WINTHROP,STREET,ST,,,27206,,231,214,214,2013-12-10,-72.63818726138241,42.307699102498574,822200
M_105810_897979,105809.64040000,897979.05260000,BC,690406,107,FRANKLIN STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,107,107,,,,,,,,,FRANKLIN,STREET,ST,,,27420,,231,214,214,2013-12-10,-72.6428020726689,42.32662192067942,821901
M_106512_895959,106512.18060000,895959.45260000,BMP,687973,59,FORT STREET,,,,,,,,01060,,NORTHAMPTON,NORTHAMPTON,MA,,59,59,,,,,,,,,FORT,STREET,ST,,,27416,,231,214,214,2013-12-10,-72.63395349228539,42.30852576358596,821903
