ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_188330_897012,188329.76920000,897011.61610000,BC,1716516,10,COUNTRY CANDLE LANE,,LAURENCE FALLS,,,,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,10,10,,,,,,,,,COUNTRY CANDLE,LANE,LN,,,77550,19723,232,215,215,2016-02-16,-71.64158258402098,42.323505780104846,740200
M_186648_896768,186647.80220000,896768.01510000,BC,1718039,4,RUTLAND ROAD,,,,,,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,4,4,,,,,,,,,RUTLAND,ROAD,RD,,,77819,,232,215,215,2016-02-16,-71.66198245474631,42.32128573301081,740101
M_188460_896714,188460.13440000,896714.08530000,BC,1722540,6,CENTRE DRIVE,,HERITAGE VILLAGE,,,B,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,6,6,,,,,,,,,CENTRE,DRIVE,DR,,,77805,19721,232,215,215,2016-02-16,-71.63999507917794,42.320829093835854,740200
M_188460_896714,188460.13440000,896714.08530000,BC,1721351,10,CENTRE DRIVE,,HERITAGE VILLAGE,,,B,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,10,10,,,,,,,,,CENTRE,DRIVE,DR,,,77805,19721,232,215,215,2016-02-16,-71.63999507917794,42.320829093835854,740200
M_188934_897428,188934.48060000,897427.58140000,BC,1715857,131,HUDSON STREET,,,,,,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,131,131,,,,,,,,,HUDSON,STREET,ST,,,77606,,232,215,215,2014-02-05,-71.63425421478931,42.32725945144434,740200
M_189782_897668,189782.35920000,897667.62120000,BMP,1717358,123,EAST MAIN STREET,,,,,,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,123,123,,,,,,,EAST,,MAIN,STREET,ST,,,77563,,232,215,215,2014-02-05,-71.62397143763016,42.32943204461875,740102
M_187411_894847,187411.12600000,894846.91240000,BC,1715737,10,JEFFERSON ROAD,,,,,,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,10,10,,,,,,,,,JEFFERSON,ROAD,RD,,,77614,,232,215,215,2014-02-05,-71.65268047950478,42.30400299137521,740101
M_190085_897455,190085.42120000,897455.15300000,BC,1722842,292,MAIN STREET,,,,,G1,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,292,292,,,,,,,,,MAIN,STREET,ST,,,77645,,232,215,215,2014-02-05,-71.6202907320194,42.327523135083226,740102
M_190085_897455,190085.42120000,897455.15300000,BC,1722839,292,MAIN STREET,,,,,B,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,292,292,,,,,,,,,MAIN,STREET,ST,,,77645,,232,215,215,2014-02-05,-71.6202907320194,42.327523135083226,740102
M_186339_894976,186338.56200000,894975.97500000,BC,1722051,369,WEST MAIN STREET,,,,,5,,,01532,,NORTHBOROUGH,NORTHBOROUGH,MA,,369,369,,,,,,,WEST,,MAIN,STREET,ST,,,77786,,232,215,215,2014-02-05,-71.66569176777348,42.30514690461978,740101
