ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_186948_877761,186948.22960000,877760.97820000,BC,4202133,120,ASH STREET,,,,,,,,01534,,NORTHBRIDGE,NORTHBRIDGE,MA,,120,120,,,,,,,,,ASH,STREET,ST,,,91210,,233,216,216,2015-01-22,-71.65791093550239,42.150170599963914,750200
M_187629_877975,187628.62220000,877974.69800000,BMP,4197839,2238,PROVIDENCE ROAD,,,,,,,,01534,,NORTHBRIDGE,NORTHBRIDGE,MA,,2238,2238,,,,,,,,,PROVIDENCE,ROAD,RD,,,91434,,233,216,216,2015-01-22,-71.64968354737934,42.15210579193989,750300
M_186818_873628,186818.02220000,873628.01520000,BC,4197830,14,PROSPECT STREET,,,,,,,,01588,,NORTHBRIDGE,NORTHBRIDGE,MA,,14,14,,,,,,,,,PROSPECT,STREET,ST,,,91432,,233,216,216,2015-01-22,-71.65939284452055,42.1129587135601,750100
M_186302_874962,186301.80660000,874962.20330000,ABC,4232316,328,REBECCA ROAD,,,,,,,,01588,,NORTHBRIDGE,NORTHBRIDGE,MA,,328,328,,,,,,,,,REBECCA,ROAD,RD,,,91079,,233,216,216,2016-05-04,-71.66566609951727,42.124961781977944,750100
M_184161_878657,184161.02000000,878657.35080000,BC,1922058,131,CHIPPER HILL ROAD,,,,,,,,01534,,NORTHBRIDGE,NORTHBRIDGE,MA,,131,131,,,,,,,,,CHIPPER HILL,ROAD,RD,,,91246,,233,216,216,2014-02-11,-71.69165712943666,42.15818932938532,750200
M_187561_874036,187560.64680000,874035.94740000,BC,1921772,23,LELAND ROAD,,,,,,,,01588,,NORTHBRIDGE,NORTHBRIDGE,MA,,23,23,,,,,,,,,LELAND,ROAD,RD,,,91368,,233,216,216,2014-02-11,-71.65042195036747,42.116643542546235,750100
M_187145_876630,187144.57260000,876629.53740000,BC,1922040,126,JON CIRCLE,,,,,,,,01588,,NORTHBRIDGE,NORTHBRIDGE,MA,,126,126,,,,,,,,,JON,CIRCLE,CIR,,,91350,,233,216,216,2014-02-11,-71.65551046574875,42.139987331829886,750300
M_186033_873397,186033.39120000,873397.24900000,BC,1921663,7-9,FOREST STREET,,,,,,,,01588,,NORTHBRIDGE,NORTHBRIDGE,MA,,7,7,,,9,9,,,,,FOREST,STREET,ST,,,91304,,233,216,216,2014-02-11,-71.66887483780528,42.11086749027074,750100
M_186736_875146,186735.90080000,875145.62380000,BC,1923398,268,RUMONOSKI DRIVE,,,,,,,,01534,,NORTHBRIDGE,NORTHBRIDGE,MA,,268,268,,,,,,,,,RUMONOSKI,DRIVE,DR,,,91097,,233,216,216,2014-02-11,-71.6604203441772,42.12662061704132,750200
M_186455_873820,186454.75880000,873819.54080000,BC,1921574,48-50,SPRING STREET,,,,,,,,01588,,NORTHBRIDGE,NORTHBRIDGE,MA,,48,48,,,50,50,,,,,SPRING,STREET,ST,,,91116,,233,216,216,2014-02-11,-71.66378976189361,42.114676856804984,750100
