ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_120073_931113,120072.89520000,931112.61640000,BMP,1071197,63,CROSS ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,63,63,,,,,,,,,CROSS,ROAD,RD,,,47614,,234,217,217,2013-12-23,-72.47435577890182,42.62647818707604,040300
M_122063_937679,122063.34100000,937678.51160000,BMP,1070924,95,MAPLE STREET,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,95,95,,,,,,,,,MAPLE,STREET,ST,,,47660,,234,217,217,2013-12-23,-72.4509855434402,42.6857832678058,040300
M_122915_939874,122914.69480000,939874.24100000,BC,1071618,218,BIRNAM ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,218,218,,,,,,,,,BIRNAM,ROAD,RD,,,47602,,234,217,217,2013-12-23,-72.44089367732249,42.70563289430108,040300
M_121773_939743,121773.11280000,939743.49160000,BC,1070710,29,GLEN ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,29,29,,,,,,,,,GLEN,ROAD,RD,,,47630,,234,217,217,2013-12-23,-72.45480866617238,42.704341776253806,040300
M_123363_931485,123363.16020000,931484.72420000,BC,1071331,481,FOUR MILE BROOK ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,481,481,,,,,,,,,FOUR MILE BROOK,ROAD,RD,,,47627,,234,217,217,2013-12-23,-72.4342985846398,42.63015913307227,040300
M_120488_930869,120487.73080000,930869.05300000,BMP,1071448,282,MILLERS FALLS ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,282,282,,,,,,,,,MILLERS FALLS,ROAD,RD,,,47668,,234,217,217,2013-12-23,-72.46926540024022,42.624328281385466,040300
M_122502_941585,122501.50420000,941585.03660000,BMP,1071926,1,ASHUELOT ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,1,1,,,,,,,,,ASHUELOT,ROAD,RD,,,47598,,234,217,217,2013-12-23,-72.44616824489252,42.720991219451406,040300
M_122770_937163,122769.65180000,937163.04120000,BC,1070795,16,OLD ELM WAY,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,16,16,,,,,,,,,OLD ELM,WAY,WAY,,,47695,,234,217,217,2013-12-23,-72.44229833860727,42.6812138591626,040300
M_124004_933962,124003.94700000,933962.49880000,BMP,1071649,355,OLD WENDELL ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,355,355,,,,,,,,,OLD WENDELL,ROAD,RD,,,47700,,234,217,217,2013-12-23,-72.42681542639538,42.65252593023907,040300
M_120897_932744,120896.95800000,932744.39780000,BMP,1071098,533,MILLERS FALLS ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,533,533,,,,,,,,,MILLERS FALLS,ROAD,RD,,,47668,,234,217,217,2013-12-23,-72.46453579127204,42.64125105639806,040300
M_122056_931574,122055.80280000,931574.47300000,BMP,1071256,304,FOUR MILE BROOK ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,304,304,,,,,,,,,FOUR MILE BROOK,ROAD,RD,,,47627,,234,217,217,2013-12-23,-72.45024778192952,42.63083700409656,040300
M_119919_939604,119919.45600000,939604.14560000,BMP,1070893,386,MOUNT HERMON STATION ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,386,386,,,,,,,,,MOUNT HERMON STATION,ROAD,RD,,,47755,,234,217,217,2013-12-23,-72.47741227409576,42.70289847746127,040300
M_121182_942152,121181.53120000,942152.48300000,BC,1071601,753,MOUNT HERMON STATION ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,753,753,,,,,,,,,MOUNT HERMON STATION,ROAD,RD,,,47755,,234,217,217,2013-12-23,-72.46236041480726,42.725966046585846,040300
M_120238_930194,120237.59540000,930193.59980000,BMP,1071951,185,MILLERS FALLS ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,185,185,,,,,,,,,MILLERS FALLS,ROAD,RD,,,47668,,234,217,217,2013-12-23,-72.47222047402305,42.61822250888824,040300
M_121362_937511,121362.38820000,937510.80840000,BMP,1071179,1161,MILLERS FALLS ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,1161,1161,,,,,,,,,MILLERS FALLS,ROAD,RD,,,47668,,234,217,217,2013-12-23,-72.45951485445686,42.68420303572057,040300
M_125317_934204,125317.43280000,934203.94020000,BMP,1071864,49B,ORANGE ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,49,49,B,,,,,,,,ORANGE,ROAD,RD,,,47701,,234,217,217,2013-12-23,-72.41082938424118,42.654826645885265,040300
M_121282_936783,121281.70690000,936775.42720000,BMP,1071725,1059,MILLERS FALLS ROAD,,,,,,,,,,NORTHFIELD,NORTHFIELD,MA,,1059,1059,,,,,,,,,MILLERS FALLS,ROAD,RD,,,47668,,234,217,217,2017-07-05,-72.46039819551267,42.67757538295395,040300
M_120994_932394,120993.77260000,932394.28580000,BMP,1071668,491,MILLERS FALLS ROAD,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,491,491,,,,,,,,,MILLERS FALLS,ROAD,RD,,,47668,,234,217,217,2013-12-23,-72.46330718024302,42.638109359020184,040300
M_123061_937949,123060.57480000,937949.17920000,BMP,1071898,69,COMMONWEALTH AVENUE,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,69,69,,,,,,,,,COMMONWEALTH,AVENUE,AVE,,,47612,,234,217,217,2013-12-23,-72.43885460599174,42.68831910910603,040300
M_122941_940608,122940.60140000,940608.18740000,BMP,1072263,45,WINCHESTER ROAD,,NORTHFIELD MOUNT HERMAN,,,4,,,01360,,NORTHFIELD,NORTHFIELD,MA,,45,45,,,,,,,,,WINCHESTER,ROAD,RD,,,47746,17889,234,217,217,2013-12-23,-72.44067628343608,42.71224198632359,040300
M_122656_940014,122656.23080000,940014.11160000,BMP,1071632,26,ALDRICH STREET,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,26,26,,,,,,,,,ALDRICH,STREET,ST,,,47596,,234,217,217,2013-12-23,-72.44406709486555,42.70686621344468,040300
M_122459_940191,122458.80860000,940191.00540000,BMP,1071592,68,HIGHLAND AVENUE,,,,,,,,01360,,NORTHFIELD,NORTHFIELD,MA,,68,68,,,,,,,,,HIGHLAND,AVENUE,AVE,,,47637,,234,217,217,2013-12-23,-72.44650061454469,42.708438803972406,040300
M_122941_940608,122940.60140000,940608.18740000,BMP,1072262,45,WINCHESTER ROAD,,NORTHFIELD MOUNT HERMAN,,,3,,,01360,,NORTHFIELD,NORTHFIELD,MA,,45,45,,,,,,,,,WINCHESTER,ROAD,RD,,,47746,17889,234,217,217,2013-12-23,-72.44067628343608,42.71224198632359,040300
