ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_222298_858435,222297.83620000,858435.45310000,BC,3114207,4A,TOP FLIGHT DRIVE,,,,,,,,02766,,NORTON,NORTON,MA,,4,4,A,,,,,,,,TOP FLIGHT,DRIVE,DR,,,146974,,235,218,218,2016-03-07,-71.23096072465765,41.97597012353138,611202
M_222298_858435,222297.83620000,858435.45310000,BC,3114210,4C,TOP FLIGHT DRIVE,,,,,,,,02766,,NORTON,NORTON,MA,,4,4,C,,,,,,,,TOP FLIGHT,DRIVE,DR,,,146974,,235,218,218,2016-03-07,-71.23096072465765,41.97597012353138,611202
M_223462_854079,223462.45820000,854078.95730000,BC,3114776,39,GOLDENWOOD DRIVE,,WOODLAND GREEN,,,,,,02766,,NORTON,NORTON,MA,,39,39,,,,,,,,,GOLDENWOOD,DRIVE,DR,,,146772,16388,235,218,218,2016-03-07,-71.21708317998731,41.936713253015206,611201
M_230708_859003,230707.91520000,859003.38020000,BC,3115292,100,BAY ROAD,,,,,,,,02766,,NORTON,NORTON,MA,,100,100,,,,,,,,,BAY,ROAD,RD,,,146670,,235,218,218,2014-03-07,-71.12945846512578,41.9807994520468,611101
M_227693_860349,227692.62760000,860348.68500000,BC,3119375,15,RENWICK DRIVE,,,,,,,,02766,,NORTON,NORTON,MA,,15,15,,,,,,,,,RENWICK,DRIVE,DR,,,147036,,235,218,218,2014-03-07,-71.16577887207914,41.993023743006816,611101
M_224214_859086,224214.18700000,859085.82470000,BC,3121475,157,MANSFIELD AVENUE,,,,,37,,,02766,,NORTON,NORTON,MA,,157,157,,,,,,,,,MANSFIELD,AVENUE,AVE,,,146835,,235,218,218,2016-03-09,-71.20781187997461,41.98176885318882,611202
M_224753_860634,224752.95980000,860633.55320000,BC,3119597,3,BARBERRY ROAD,,,,,,,,02766,,NORTON,NORTON,MA,,3,3,,,,,,,,,BARBERRY,ROAD,RD,,,146666,,235,218,218,2014-03-07,-71.20124524658085,41.995686693242504,611202
M_231298_858258,231298.24460000,858257.84700000,BC,3119679,5,PATLENA DRIVE,,,,,,,,02766,,NORTON,NORTON,MA,,5,5,,,,,,,,,PATLENA,DRIVE,DR,,,146884,,235,218,218,2014-03-07,-71.12237508904234,41.9740639092298,611101
M_222566_855246,222566.23240000,855246.08560000,BMP,3122575,26,UNION ROAD,,,,,2,,,02766,,NORTON,NORTON,MA,,26,26,,,,,,,,,UNION,ROAD,RD,,,146978,,235,218,218,2014-03-07,-71.22784513965796,41.94724755703431,611201
M_223776_858869,223776.20460000,858868.56810000,BC,3117534,106,GODFREY DRIVE,,GREAT BROOK CONDOMINIUMS,,,,,,02766,,NORTON,NORTON,MA,,106,106,,,,,,,,,GODFREY,DRIVE,DR,,,146770,19834,235,218,218,2016-03-09,-71.2131057101698,41.9798262132828,611202
M_225532_859648,225531.90080000,859647.64220000,ABC,3116432,34,PATTEN ROAD,,,,,,,,02766,,NORTON,NORTON,MA,,34,34,,,,,,,,,PATTEN,ROAD,RD,,,146885,,235,218,218,2014-03-07,-71.19188691699226,41.98678531084121,611202
M_225604_858513,225603.80980000,858512.72520000,BMP,3118737,37,RESERVOIR STREET,,,,,,,,02766,,NORTON,NORTON,MA,,37,37,,,,,,,,,RESERVOIR,STREET,ST,,,146911,,235,218,218,2014-03-07,-71.191068748004,41.9765649836076,611102
M_227347_853967,227347.09440000,853967.30000000,BC,3118076,63,EDDY STREET,,,,,,,,02766,,NORTON,NORTON,MA,,63,63,,,,,,,,,EDDY,STREET,ST,,,147017,,235,218,218,2014-03-07,-71.17024679935678,41.935582355569714,611201
M_221343_856768,221342.67640000,856767.56920000,BC,3113686,12E,VILLAGE WAY,,,,,,,,02766,,NORTON,NORTON,MA,,12,12,E,,,,,,,,VILLAGE,WAY,WAY,,,146981,,235,218,218,2014-03-07,-71.24254607825505,41.96098017613493,611202
M_225466_859786,225465.88060000,859785.82380000,BMP,3114177,42,EVERGREEN ROAD,,,,,,,,02766,,NORTON,NORTON,MA,,42,42,,,,,,,,,EVERGREEN,ROAD,RD,,,146739,,235,218,218,2014-03-07,-71.19267761846639,41.98803154333913,611202
M_223168_854050,223167.91780000,854049.88840000,BC,3122854,68,MAPLE STREET,,,,,B,,,02766,,NORTON,NORTON,MA,,68,68,,,,,,,,,MAPLE,STREET,ST,,,146836,,235,218,218,2014-03-07,-71.22063595218874,41.93646027649322,611201
M_227255_860265,227255.36040000,860265.44440000,BC,3113624,1,JACOBS WAY,,,,,,,,02766,,NORTON,NORTON,MA,,1,1,,,,,,,,,JACOBS,WAY,WAY,,,146798,,235,218,218,2015-02-24,-71.17106005258616,41.992289609677364,611101
M_223776_858869,223776.20460000,858868.56810000,BC,3116080,103,GODFREY DRIVE,,GREAT BROOK CONDOMINIUMS,,,,,,02766,,NORTON,NORTON,MA,,103,103,,,,,,,,,GODFREY,DRIVE,DR,,,146770,19834,235,218,218,2016-03-09,-71.2131057101698,41.9798262132828,611202
M_223776_858869,223776.20460000,858868.56810000,BC,3113705,101,GODFREY DRIVE,,GREAT BROOK CONDOMINIUMS,,,,,,02766,,NORTON,NORTON,MA,,101,101,,,,,,,,,GODFREY,DRIVE,DR,,,146770,19834,235,218,218,2016-03-09,-71.2131057101698,41.9798262132828,611202
M_223776_858869,223776.20460000,858868.56810000,BC,3116719,105,GODFREY DRIVE,,GREAT BROOK CONDOMINIUMS,,,,,,02766,,NORTON,NORTON,MA,,105,105,,,,,,,,,GODFREY,DRIVE,DR,,,146770,19834,235,218,218,2016-03-09,-71.2131057101698,41.9798262132828,611202
M_230514_857461,230514.08960000,857460.70740000,BC,3118886,61,KING PHILIP ROAD,,,,,,,,02766,,NORTON,NORTON,MA,,61,61,,,,,,,,,KING PHILIP,ROAD,RD,,,146812,,235,218,218,2014-03-07,-71.13187759887228,41.96691790726489,611101
M_221212_856602,221211.95120000,856602.09120000,BC,3119422,17D,VILLAGE WAY,,,,,,,,02766,,NORTON,NORTON,MA,,17,17,D,,,,,,,,VILLAGE,WAY,WAY,,,146981,,235,218,218,2014-03-07,-71.24412897780505,41.95949386513607,611202
M_227110_861019,227109.51800000,861019.08520000,BC,3117235,6,KEITH DRIVE,,,,,,,,02766,,NORTON,NORTON,MA,,6,6,,,,,,,,,KEITH,DRIVE,DR,,,146807,,235,218,218,2014-03-07,-71.17278528804245,41.999079889595365,611101
M_224077_855677,224077.42640000,855676.80940000,BMP,3118858,53,POWER STREET,,,,,,,,02766,,NORTON,NORTON,MA,,53,53,,,,,,,,,POWER,STREET,ST,,,146898,,235,218,218,2014-03-07,-71.20960218252732,41.95108063790217,611201
M_221527_855840,221527.33000000,855839.91460000,BMP,3119754,402,OLD COLONY ROAD,,,,,,,,02766,,NORTON,NORTON,MA,,402,402,,,,,,,,,OLD COLONY,ROAD,RD,,,146873,,235,218,218,2014-03-07,-71.24035270327369,41.95262315648058,611201
M_223168_854050,223167.91780000,854049.88840000,BC,3122855,68,MAPLE STREET,,,,,C,,,02766,,NORTON,NORTON,MA,,68,68,,,,,,,,,MAPLE,STREET,ST,,,146836,,235,218,218,2014-03-07,-71.22063595218874,41.93646027649322,611201
M_225884_860043,225884.40160000,860042.91460000,BC,3117361,9,GENTIAN ROAD,,,,,,,,02766,,NORTON,NORTON,MA,,9,9,,,,,,,,,GENTIAN,ROAD,RD,,,146766,,235,218,218,2014-03-07,-71.18761558694686,41.99033251578047,611202
M_226593_854038,226592.60380000,854038.23800000,BC,3118700,21,JOHN SCOTT BOULEVARD,,,,,,,,02766,,NORTON,NORTON,MA,,21,21,,,,,,,,,JOHN SCOTT,BOULEVARD,BLVD,,,146801,,235,218,218,2014-03-07,-71.17934119784985,41.93624693270869,611201
M_225171_856901,225171.41500000,856901.01240000,BC,3115796,90,WEST MAIN STREET,,,,,,,,02766,,NORTON,NORTON,MA,,90,90,,,,,,,WEST,,MAIN,STREET,ST,,,146989,,235,218,218,2014-03-07,-71.19635513404675,41.96206822670342,611102
M_227631_856694,227631.18920000,856694.47520000,BMP,3116019,123,PINE STREET,,,,,,,,02766,,NORTON,NORTON,MA,,123,123,,,,,,,,,PINE,STREET,ST,,,146892,,235,218,218,2014-03-07,-71.16669269834462,41.960126020475904,611102
