ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_252196_879804,252195.56700000,879804.04090000,BC,3378257,239,WASHINGTON STREET,,,,,14,,,02061,,NORWELL,NORWELL,MA,,239,239,,,,,,,,,WASHINGTON,STREET,ST,,,155914,,236,219,219,2017-01-11,-70.8683233354009,42.16693327094575,504101
M_258758_875915,258757.90320000,875915.08780000,BC,3374480,31,SHRINE ROAD,,,,,,,,02061,,NORWELL,NORWELL,MA,,31,31,,,,,,,,,SHRINE,ROAD,RD,,,155875,,236,219,219,2014-03-12,-70.7893008114756,42.13145663576925,504102
M_257866_874269,257866.21220000,874268.58900000,BMP,3374995,35,BARSTOW AVENUE,,,,,,,,02061,,NORWELL,NORWELL,MA,,35,35,,,,,,,,,BARSTOW,AVENUE,AVE,,,155699,,236,219,219,2014-03-12,-70.80024904066826,42.11669979088236,504102
M_256981_877220,256981.12300000,877220.45120000,BC,3375026,5,OLD POTTERY LANE,,,,,,,,02061,,NORWELL,NORWELL,MA,,5,5,,,,,,,,,OLD POTTERY,LANE,LN,,,155846,,236,219,219,2014-03-12,-70.81066309552384,42.14333992059242,504102
M_253045_879772,253044.74660000,879772.36660000,BC,3375230,9,BEERS AVENUE,,,,,,,,02061,,NORWELL,NORWELL,MA,,9,9,,,,,,,,,BEERS,AVENUE,AVE,,,155703,,236,219,219,2014-03-12,-70.85804973756397,42.166591032930626,504101
M_257941_876512,257940.88200000,876512.17200000,BC,3373950,26,TARA DRIVE,,,,,,,,02061,,NORWELL,NORWELL,MA,,26,26,,,,,,,,,TARA,DRIVE,DR,,,155896,,236,219,219,2014-03-12,-70.79912320427266,42.13689296571387,504102
M_259340_881710,259339.70980000,881709.72700000,BMP,3375940,299,OLD OAKEN BUCKET ROAD,,,,,,,,02061,,NORWELL,NORWELL,MA,,299,299,,,,,,,,,OLD OAKEN BUCKET,ROAD,RD,,,155844,,236,219,219,2014-03-12,-70.78167373012266,42.18358083691116,504102
M_257951_881056,257950.95600000,881056.00020000,BMP,3374648,77,OLD OAKEN BUCKET ROAD,,,,,,,,02061,,NORWELL,NORWELL,MA,,77,77,,,,,,,,,OLD OAKEN BUCKET,ROAD,RD,,,155844,,236,219,219,2014-03-12,-70.7985493519218,42.177799531051576,504101
M_258253_873923,258253.32440000,873923.28800000,BMP,3374610,41,BRIGANTINE CIRCLE,,,,,,,,02061,,NORWELL,NORWELL,MA,,41,41,,,,,,,,,BRIGANTINE,CIRCLE,CIR,,,155715,,236,219,219,2014-03-12,-70.7956025554191,42.113562397798084,504102
M_253396_879138,253395.74840000,879138.00160000,BC,3376102,45,DORIS AVENUE,,,,,,,,02061,,NORWELL,NORWELL,MA,,45,45,,,,,,,,,DORIS,AVENUE,AVE,,,155745,,236,219,219,2014-03-12,-70.85386021271994,42.16085606774469,504101
