ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_225641_883238,225641.34100000,883237.64280000,ABC,3107943,104,BAHAMA DRIVE,,NASSAU GARDENS COOPERATIVE HOUSING,,,D,,,02062,,NORWOOD,NORWOOD,MA,,104,104,,,,,,,,,BAHAMA,DRIVE,DR,,,146268,17830,237,220,220,2016-11-07,-71.18953002881666,42.19916623413612,413200
M_224703_882560,224702.79840000,882560.00960000,BMP,4191602,658,WASHINGTON STREET,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,658,658,,,,,,,,,WASHINGTON,STREET,ST,,,146180,,237,220,220,2015-01-22,-71.20092274570233,42.19309568232602,413401
M_224728_880769,224728.12180000,880769.45780000,BC,4191871,601,PLEASANT STREET,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,601,601,,,,,,,,,PLEASANT,STREET,ST,,,146571,,237,220,220,2015-01-22,-71.20069222700843,42.17697447822938,413500
M_224801_882672,224801.12560000,882672.02260000,BC,4191861,117,CENTRAL STREET,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,117,117,,,,,,,,,CENTRAL,STREET,ST,,,146317,,237,220,220,2015-01-22,-71.19972753213031,42.19410102784972,413401
M_224683_882688,224683.05600000,882687.72500000,BC,4200514,623,WASHINGTON STREET,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,623,623,,,,,,,,,WASHINGTON,STREET,ST,,,146180,,237,220,220,2015-01-22,-71.20115634792243,42.19424613011047,413401
M_224703_882560,224702.79840000,882560.00960000,BMP,4200495,662,WASHINGTON STREET,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,662,662,,,,,,,,,WASHINGTON,STREET,ST,,,146180,,237,220,220,2015-01-22,-71.20092274570233,42.19309568232602,413401
M_224801_882672,224801.12560000,882672.02260000,BC,4200517,125,CENTRAL STREET,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,125,125,,,,,,,,,CENTRAL,STREET,ST,,,146317,,237,220,220,2015-01-22,-71.19972753213031,42.19410102784972,413401
M_224378_884026,224377.64510000,884025.78500000,ABC,4215650,7,UPLAND WOODS CIRCLE,,ONE UPLAND APARTMENTS,,,,,,02062,,NORWOOD,NORWOOD,MA,,7,7,,,,,,,,,UPLAND WOODS,CIRCLE,CIR,,,190906,21034,237,220,220,2016-11-08,-71.20479793360374,42.20630227834864,413200
M_226545_880567,226545.04920000,880567.11920000,BC,3105908,89,FAIRFIELD CIRCLE,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,89,89,,,,,,,,,FAIRFIELD,CIRCLE,CIR,,,146396,,237,220,220,2014-03-07,-71.1787096676391,42.17509330562119,413100
M_223716_879794,223716.34420000,879794.21840000,BC,3103627,20,ROCKHILL STREET,,,,,,,,02062,,NORWOOD,NORWOOD,MA,,20,20,,,,,,,,,ROCKHILL,STREET,ST,,,146612,,237,220,220,2014-03-07,-71.21297835202249,42.16822564942251,413500
