ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_278752_801206,278751.64540000,801206.00180000,BC,1741246,4,CIRCUIT AVENUE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,4,4,,,,,,,,,CIRCUIT,AVENUE,AVE,,,80126,,238,221,221,2014-02-06,-70.55747110139482,41.45710498617797,200200
M_274318_797374,274318.19700000,797374.43860000,BMP,1739179,26,HEAD OF THE POND ROAD,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,26,26,,,,,,,,,HEAD OF THE POND,ROAD,RD,,,80256,,238,221,221,2014-02-06,-70.61100622790295,41.4230381260311,200200
M_278806_801140,278805.62740000,801140.32380000,BC,1742973,25,OCEAN AVENUE,,,,,,,,02557,,OAK BLUFFS,OAK BLUFFS,MA,,25,25,,,,,,,,,OCEAN,AVENUE,AVE,,,80415,,238,221,221,2014-02-06,-70.55683376898396,41.456508319051984,200200
M_277736_798986,277735.83400000,798985.50080000,BMP,1740938,1,FARM NECK WAY,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,1,1,,,,,,,,,FARM NECK,WAY,WAY,,,80191,,238,221,221,2015-07-28,-70.56991751408648,41.437214345456546,200200
M_277903_797218,277902.89580000,797217.74020000,BMP,1743140,41,SENGEKONTACKET ROAD,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,41,41,,,,,,,,,SENGEKONTACKET,ROAD,RD,,,80513,,238,221,221,2014-02-06,-70.56814989550973,41.42128289394675,200200
M_277674_800227,277673.50800000,800226.52560000,BC,1742653,7,NORRIS AVENUE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,7,7,,,,,,,,,NORRIS,AVENUE,AVE,,,80401,,238,221,221,2014-02-06,-70.5705013623145,41.44839333890412,
M_276918_799618,276918.30980000,799617.90540000,BC,1743178,75,SUMMIT AVENUE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,75,75,,,,,,,,,SUMMIT,AVENUE,AVE,,,79946,,238,221,221,2014-02-06,-70.57961650351741,41.4429876918267,200200
M_277273_799061,277273.36100000,799061.10800000,BMP,1742747,347,COUNTY ROAD,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,347,347,,,,,,,,,COUNTY,ROAD,RD,,,80143,,238,221,221,2014-02-06,-70.57544060447205,41.43794030065212,200200
M_277469_799825,277468.86920000,799825.45880000,BC,1741041,18,PINEWOOD LANE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,18,18,,,,,,,,,PINEWOOD,LANE,LN,,,80452,,238,221,221,2014-02-06,-70.57300218697807,41.444802606068876,200200
M_278464_800599,278463.62840000,800598.91300000,BC,1743110,35,POCASSET AVENUE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,35,35,,,,,,,,,POCASSET,AVENUE,AVE,,,80459,,238,221,221,2014-02-06,-70.56099790144361,41.45166800460596,200200
M_278393_800830,278392.89440000,800830.20120000,BC,1743027,27,VICTORIAN PARK,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,27,27,,,,,,,,,VICTORIAN,PARK,PARK,,,79984,,238,221,221,2014-02-06,-70.56181388854695,41.453757285781194,200200
M_276581_799341,276581.15940000,799340.78880000,BMP,1740095,52,MANCHESTER AVENUE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,52,52,,,,,,,,,MANCHESTER,AVENUE,AVE,,,80339,,238,221,221,2014-02-06,-70.58368606262559,41.440525504834575,200200
M_276736_800037,276735.74940000,800036.81940000,BMP,1742603,77,COLUMBIAN AVENUE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,77,77,,,,,,,,,COLUMBIAN,AVENUE,AVE,,,80535,,238,221,221,2014-02-06,-70.58174684134801,41.44677687168514,200200
M_278351_801363,278351.25920000,801363.04920000,BC,1740703,7,EAST CHOP DRIVE,,,,,,,,02568,,OAK BLUFFS,OAK BLUFFS,MA,,7,7,,,,,,,EAST,,CHOP,DRIVE,DR,,,80538,,238,221,221,2014-02-06,-70.5622420210104,41.45855860687223,200200
