ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_152183_902016,152183.18840000,902015.88020000,BC,1070263,173,OLD SCHOOLHOUSE ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,173,173,,,,,,,,,OLD SCHOOLHOUSE,ROAD,RD,,,47561,,239,222,222,2013-12-23,-72.08051564217715,42.36718049911387,721101
M_155481_899992,155480.99840000,899992.26820000,BC,1070184,21,HAPGOOD ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,21,21,,,,,,,,,HAPGOOD,ROAD,RD,,,47539,,239,222,222,2013-12-23,-72.04032436613221,42.3491578129612,721101
M_154979_900211,154979.32340000,900211.19440000,BMP,1069922,85,NEW BRAINTREE ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,85,85,,,,,,,,,NEW BRAINTREE,ROAD,RD,,,47554,,239,222,222,2013-12-23,-72.04643002074003,42.35109995026464,721101
M_151450_901392,151450.18000000,901391.75460000,BMP,1070349,1822,OLD TURNPIKE ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,1822,1822,,,,,,,,,OLD TURNPIKE,ROAD,RD,,,47562,,239,222,222,2013-12-23,-72.08936202847569,42.36151651497618,721101
M_151493_900212,151492.93560000,900212.37060000,BMP,1070415,430,SCOTT ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,430,430,,,,,,,,,SCOTT,ROAD,RD,,,47573,,239,222,222,2013-12-23,-72.08874420179087,42.350901679781046,721101
M_156083_898391,156083.45900000,898391.13020000,BC,1069963,212,SPENCER ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,212,212,,,,,,,,,SPENCER,ROAD,RD,,,47577,,239,222,222,2013-12-23,-72.03289112423064,42.334777465506875,721101
M_153669_901575,153669.31340000,901574.91300000,BMP,1069808,600,BARRE ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,600,600,,,,,,,,,BARRE,ROAD,RD,,,47511,,239,222,222,2013-12-23,-72.06243870808348,42.36330030036665,721101
M_153608_901805,153608.19760000,901805.33180000,BMP,1070131,678,BARRE ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,678,678,,,,,,,,,BARRE,ROAD,RD,,,47511,,239,222,222,2013-12-23,-72.06319908080319,42.365371033035565,721101
M_157135_900721,157135.45680000,900720.89900000,BC,1070015,64,FARM POND ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,64,64,,,,,,,,,FARM POND,ROAD,RD,,,47531,,239,222,222,2013-12-23,-72.02029875765312,42.355810006483374,721101
M_153548_902724,153548.32780000,902724.29380000,BC,1070167,161,BULLARD ROAD,,,,,,,,01068,,OAKHAM,OAKHAM,MA,,161,161,,,,,,,,,BULLARD,ROAD,RD,,,47516,,239,222,222,2013-12-23,-72.06399964934148,42.373640488355164,721101
