ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_328891_838271,328890.65380000,838271.07840000,BC,1914952,32,CEDAR LAND ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,32,32,,,,,,,,,CEDAR LAND,ROAD,RD,,,90632,,241,224,224,2014-02-10,-69.94943145634812,41.78419014429231,
M_325232_837402,325232.35460000,837401.54060000,BMP,1915223,61,FINLAY ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,61,61,,,,,,,,,FINLAY,ROAD,RD,,,90813,,241,224,224,2014-02-10,-69.99361662967098,41.77695272360248,010400
M_327328_839984,327327.74140000,839984.21440000,BMP,1914016,101,GIBSON ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,101,101,,,,,,,,,GIBSON,ROAD,RD,,,90826,,241,224,224,2014-02-10,-69.96785923822426,41.79986608852451,010500
M_326855_837737,326854.80660000,837736.93520000,BC,1914878,18,GESNER ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,18,18,,,,,,,,,GESNER,ROAD,RD,,,90825,,241,224,224,2014-02-10,-69.97403259807383,41.77971232310071,010500
M_327356_839574,327355.87340000,839574.01380000,BMP,1915363,36,PINE NEEDLE WAY,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,36,36,,,,,,,,,PINE NEEDLE,WAY,WAY,,,91024,,241,224,224,2014-02-10,-69.96760946515803,41.79616890129098,010500
M_327024_838847,327024.31600000,838846.83560000,BMP,1916627,42,HOPKINS LANE,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,42,42,,,,,,,,,HOPKINS,LANE,LN,,,90868,,241,224,224,2014-02-10,-69.97175477573097,41.78967637296711,010500
M_325755_838209,325755.19520000,838209.16760000,BMP,1917369,69,SOUTH ORLEANS ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,69,69,,,,,,,SOUTH,,ORLEANS,ROAD,RD,,,90546,,241,224,224,2014-02-10,-69.98715656316091,41.78413973607211,010500
M_326231_834033,326231.03880000,834032.81980000,BC,1915238,81,QUANSET ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,81,81,,,,,,,,,QUANSET,ROAD,RD,,,91038,,241,224,224,2014-02-10,-69.98232719671658,41.74646783806609,010400
M_326500_834811,326500.05500000,834811.08880000,BMP,1918788,66,PORTANIMICUT ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,66,66,,,,,,,,,PORTANIMICUT,ROAD,RD,,,91031,,241,224,224,2014-02-10,-69.97892665965006,41.75343072974105,010400
M_325201_834696,325200.85600000,834696.39880000,BC,1915628,29,ELI ROGERS ROAD,,,,,,,,02653,,ORLEANS,ORLEANS,MA,,29,29,,,,,,,,,ELI ROGERS,ROAD,RD,,,90804,,241,224,224,2014-02-10,-69.9945696815227,41.752605794527824,010400
