ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_69895_881161,69894.90960000,881160.98280000,BMP,705945,998,SOUTH MAIN ROAD,,,,,,,,01253,,OTIS,OTIS,MA,,998,998,,,,,,,SOUTH,,MAIN,ROAD,RD,,,27741,,243,225,225,2013-12-10,-73.0746996156587,42.17007723110462,933400
M_72077_887598,72076.85840000,887597.92080000,BC,706035,52,PHELPS ROAD,,,,,,,,01008,,OTIS,OTIS,MA,,52,52,,,,,,,,,PHELPS,ROAD,RD,,,27689,,243,225,225,2013-12-10,-73.049712041033,42.228379482825574,933400
M_72722_883758,72721.83520000,883758.43600000,BC,706700,7,BIG ISLAND,,,,,,,,01253,,OTIS,OTIS,MA,,7,7,,,,,,,,,BIG,ISLAND,IS,,,27858,,243,225,225,2013-12-10,-73.04105997085384,42.19392327740676,933400
M_72652_881010,72651.54520000,881009.67540000,BC,705679,9,CHESTNUT LANE,,,,,,,,01253,,OTIS,OTIS,MA,,9,9,,,,,,,,,CHESTNUT,LANE,LN,,,27879,,243,225,225,2013-12-10,-73.04130950876738,42.1691685226889,933400
M_71864_879571,71864.03500000,879571.39100000,BMP,706938,243,KIBBE ROAD,,,,,,,,01253,,OTIS,OTIS,MA,,243,243,,,,,,,,,KIBBE,ROAD,RD,,,27958,,243,225,225,2013-12-10,-73.05052231588198,42.156093099423444,933400
M_73204_879963,73203.77240000,879963.01960000,BMP,707172,39,NORTH PINE STREET,,,,,,,,01008,,OTIS,OTIS,MA,,39,39,,,,,,,NORTH,,PINE,STREET,ST,,,27657,,243,225,225,2013-12-10,-73.03439944248102,42.15983651709093,933400
M_72488_882826,72488.47920000,882826.09560000,BC,707259,98,LOOP DRIVE,,,,,,,,01253,,OTIS,OTIS,MA,,98,98,,,,,,,,,LOOP,DRIVE,DR,,,27981,,243,225,225,2013-12-10,-73.04368050687947,42.18549272146054,933400
M_71391_878968,71391.03760000,878967.78980000,BC,707240,834,TOLLAND ROAD,,,,,,,,01253,,OTIS,OTIS,MA,,834,834,,,,,,,,,TOLLAND,ROAD,RD,,,27774,,243,225,225,2013-12-10,-73.05611136573476,42.15058214842127,933400
M_73176_879466,73175.57220000,879465.50580000,BC,705606,36,DRIVE C,,,,,,,,01008,,OTIS,OTIS,MA,,36,36,,,,,,,,DRIVE,C,,,,,27904,,243,225,225,2013-12-10,-73.03463231862743,42.15535349136967,933400
M_72100_879243,72100.49000000,879242.99280000,BMP,705286,19,CIRCLE DRIVE,,,,,,,,01253,,OTIS,OTIS,MA,,19,19,,,,,,,,,CIRCLE,DRIVE,DR,,,27884,,243,225,225,2013-12-10,-73.04758960452975,42.15317563226529,933400
