ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_170319_871905,170318.69160000,871904.82780000,BMP,1139704,8,MOUNT PLEASANT STREET,,,,,,,,01540,,OXFORD,OXFORD,MA,,8,8,,,,,,,,,MOUNT PLEASANT,STREET,ST,,,51725,,244,226,226,2014-01-15,-71.85880885533064,42.0969933271151,753100
M_170299_872373,170299.42580000,872372.92960000,PC,1136453,24,WESTVIEW DRIVE,,,,,,,,01540,,OXFORD,OXFORD,MA,,24,24,,,,,,,,,WESTVIEW,DRIVE,DR,,,51878,,244,226,226,2014-01-15,-71.85906557248941,42.10120698063525,753200
M_168978_872276,168978.11780000,872276.27420000,BC,1140944,12,FRIAR TUCK LANE,,,,,,,,01540,,OXFORD,OXFORD,MA,,12,12,,,,,,,,,FRIAR TUCK,LANE,LN,,,52010,,244,226,226,2014-01-15,-71.8750342076801,42.10028558828286,753200
M_169974_874148,169974.28740000,874147.67420000,BMP,1142012,10,SUTTON AVENUE,,,,,1,,,01540,,OXFORD,OXFORD,MA,,10,10,,,,,,,,,SUTTON,AVENUE,AVE,,,51838,,244,226,226,2014-01-15,-71.86308762362167,42.11717282784726,753200
M_166462_881937,166462.32120000,881936.82210000,BC,1137844,19,PATRICIA DRIVE,,PINEWOOD ON THE GREEN,,,,,,01537,,OXFORD,OXFORD,MA,,19,19,,,,,,,,,PATRICIA,DRIVE,DR,,,51758,21868,244,226,226,2017-06-13,-71.90600400466404,42.18715636509532,753100
M_166462_881937,166462.32120000,881936.82210000,BC,1139938,21,PATRICIA DRIVE,,PINEWOOD ON THE GREEN,,,,,,01537,,OXFORD,OXFORD,MA,,21,21,,,,,,,,,PATRICIA,DRIVE,DR,,,51758,21868,244,226,226,2017-06-13,-71.90600400466404,42.18715636509532,753100
M_168821_872026,168821.18000000,872026.17260000,BC,1138873,36,HOLLY STREET,,,,,,,,01540,,OXFORD,OXFORD,MA,,36,36,,,,,,,,,HOLLY,STREET,ST,,,52038,,244,226,226,2014-01-15,-71.87691809723825,42.0980276638145,753200
M_169380_875255,169379.71680000,875254.93580000,BC,1139921,46,FOREST STREET,,,,,,,,01540,,OXFORD,OXFORD,MA,,46,46,,,,,,,,,FOREST,STREET,ST,,,52003,,244,226,226,2014-01-15,-71.87033554695984,42.12711860101139,753200
M_171596_873371,171596.41380000,873370.83880000,BC,1139280,1,JASMINE ROAD,,,,,,,,01540,,OXFORD,OXFORD,MA,,1,1,,,,,,,,,JASMINE,ROAD,RD,,,52050,,244,226,226,2014-01-15,-71.84343436335932,42.11023937217528,753200
M_169289_875825,169288.92940000,875824.86080000,BMP,1135986,37,ROCKY HILL ROAD,,,,,,,,01540,,OXFORD,OXFORD,MA,,37,37,,,,,,,,,ROCKY HILL,ROAD,RD,,,51904,,244,226,226,2014-01-15,-71.87146357543094,42.132246131741205,753200
