ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_132960_886524,132959.90220000,886524.30080000,PC,4188987,21,JENNIFER DRIVE,,,,,,,,,,BONDSVILLE,PALMER,MA,,21,21,,,,,,,,,JENNIFER,DRIVE,DR,,,189698,,36,227,227,2014-11-12,-72.3120915147527,42.22630306254025,810200
M_133216_886251,133215.74200000,886250.75380000,PC,4189001,37,JENNIFER DRIVE,,,,,,,,,,BONDSVILLE,PALMER,MA,,37,37,,,,,,,,,JENNIFER,DRIVE,DR,,,189698,,36,227,227,2014-11-12,-72.30896115468084,42.22386230927348,810200
M_130571_879349,130571.30200000,879348.65780000,BMP,4193286,1570,NORTH MAIN STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1570,1570,,,,,,,NORTH,,MAIN,STREET,ST,,,47028,,245,227,227,2017-02-17,-72.34016786907029,42.16149493544058,810100
M_130571_879349,130571.30200000,879348.65780000,BMP,4202519,1572,NORTH MAIN STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1572,1572,,,,,,,NORTH,,MAIN,STREET,ST,,,47028,,245,227,227,2017-02-17,-72.34016786907029,42.16149493544058,810100
M_130454_885593,130453.85100000,885592.78700000,BC,4200698,3008,MAPLE STREET,,,,,,,,01069,,BONDSVILLE,PALMER,MA,,3008,3008,,,,,,,,,MAPLE,STREET,ST,,,47005,,36,227,227,2015-01-22,-72.34233524592617,42.217698199529266,810200
M_128476_881169,128476.26600000,881169.09800000,BC,4198607,2026,HIGH STREET,,,,,,,,01080,,THREE RIVERS,PALMER,MA,,2026,2026,,,,,,,,,HIGH,STREET,ST,,,46967,,320,227,227,2015-01-22,-72.36574211021897,42.17769513598979,810300
M_132655_881855,132654.80400000,881855.42420000,BMP,1058382,234,WARE STREET,,,,,,,,01069,,THORNDIKE,PALMER,MA,,234,234,,,,,,,,,WARE,STREET,ST,,,47171,,319,227,227,2013-12-23,-72.31524656060272,42.184244592715906,810200
M_129438_882094,129438.00380000,882094.47440000,BC,1058326,2028,EAST STREET,,,,,,,,01080,,THREE RIVERS,PALMER,MA,,2028,2028,,,,,,,,,EAST,STREET,ST,,,47194,,320,227,227,2013-12-23,-72.35421393707512,42.18611326349205,810300
M_128540_881210,128540.31780000,881210.02660000,BC,1058305,2010,HIGH STREET,,,,,,,,01080,,THREE RIVERS,PALMER,MA,,2010,2010,,,,,,,,,HIGH,STREET,ST,,,46967,,320,227,227,2013-12-23,-72.36497188723955,42.178069451808014,810300
M_131824_878245,131824.44240000,878245.38660000,BMP,1057883,35,FOX STREET,,,,,,,,01069,,PALMER,PALMER,MA,,35,35,,,,,,,,,FOX,STREET,ST,,,46946,,245,227,227,2013-12-23,-72.32487526069603,42.15167262565481,810100
M_131943_882522,131943.19660000,882521.74460000,BC,1058066,132,RIVER STREET,,,,,,,,01069,,THORNDIKE,PALMER,MA,,132,132,,,,,,,,,RIVER,STREET,ST,,,47096,,319,227,227,2013-12-23,-72.3239382979031,42.19018169837941,810200
M_134467_882136,134466.52060000,882136.10580000,BC,1062308,9,PETERSON ROAD,,,,,,,,01069,,PALMER,PALMER,MA,,9,9,,,,,,,,,PETERSON,ROAD,RD,,,47063,,245,227,227,2013-12-23,-72.29334772897893,42.18692528504629,810100
M_131384_879269,131383.81840000,879268.83860000,BMP,1058616,1026,PINE STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1026,1026,,,,,,,,,PINE,STREET,ST,,,47068,,245,227,227,2013-12-23,-72.33032669949635,42.16084797904177,810100
M_126293_881402,126293.09960000,881402.43380000,BMP,1061360,497,SPRINGFIELD STREET,,,,,,,,01069,,THREE RIVERS,PALMER,MA,,497,497,,,,,,,,,SPRINGFIELD,STREET,ST,,,47129,,320,227,227,2013-12-23,-72.39219537401748,42.17959322811906,810300
M_130104_880215,130103.53760000,880214.67520000,BC,1059086,18,DIANE STREET,,,,,,,,01069,,PALMER,PALMER,MA,,18,18,,,,,,,,,DIANE,STREET,ST,,,46920,,245,227,227,2013-12-23,-72.34593192285517,42.169249791640745,810100
M_131475_882704,131475.36140000,882703.93080000,BC,1057977,4038-4044,PINE STREET,,,,,,,,01069,,THORNDIKE,PALMER,MA,,4038,4038,,,4044,4044,,,,,PINE,STREET,ST,,,47069,,319,227,227,2013-12-23,-72.32962330040338,42.19178103267638,810200
M_131658_880492,131657.90300000,880491.69060000,BMP,1062794,400,SHEARER STREET,,,,,,,,01069,,PALMER,PALMER,MA,,400,400,,,,,,,,,SHEARER,STREET,ST,,,47115,,245,227,227,2013-12-23,-72.32715369707228,42.1718809186406,810100
M_131208_882838,131207.61660000,882837.87800000,BMP,1062803,4026,PLEASANT STREET,,,,,,,,01069,,THORNDIKE,PALMER,MA,,4026,4026,,,,,,,,,PLEASANT,STREET,ST,,,47075,,319,227,227,2013-12-23,-72.3328804981087,42.192963421516865,810200
M_128476_881169,128476.26600000,881169.09800000,BC,1059137,2024,HIGH STREET,,,,,,,,01080,,THREE RIVERS,PALMER,MA,,2024,2024,,,,,,,,,HIGH,STREET,ST,,,46967,,320,227,227,2014-08-20,-72.36574211021897,42.17769513598979,810300
M_129467_880726,129467.22120000,880725.75840000,BMP,1061614,2020,CALKINS ROAD,,,,,,,,01069,,THREE RIVERS,PALMER,MA,,2020,2020,,,,,,,,,CALKINS,ROAD,RD,,,46873,,320,227,227,2013-12-23,-72.35369442683212,42.17379382711417,810300
M_131477_885018,131477.04100000,885018.08460000,BC,1058139,59,JIM ASH STREET,,,,,,,,01069,,BONDSVILLE,PALMER,MA,,59,59,,,,,,,,,JIM ASH,STREET,ST,,,46981,,36,227,227,2013-12-23,-72.32987554872689,42.21261467295531,810200
M_130492_885605,130492.00000000,885605.08240000,BMP,1061900,3182,HIGH STREET,,,,,,,,01069,,BONDSVILLE,PALMER,MA,,3182,3182,,,,,,,,,HIGH,STREET,ST,,,46964,,36,227,227,2014-11-06,-72.34187468928684,42.21781228092934,810200
M_128476_881169,128476.26600000,881169.09800000,BC,1061618,2022,HIGH STREET,,,,,,,,01080,,THREE RIVERS,PALMER,MA,,2022,2022,,,,,,,,,HIGH,STREET,ST,,,46967,,320,227,227,2014-08-20,-72.36574211021897,42.17769513598979,810300
M_133176_884087,133175.54520000,884087.05180000,BC,1061974,38,FOREST LAKE ROAD,,,,,,,,01069,,THORNDIKE,PALMER,MA,,38,38,,,,,,,,,FOREST LAKE,ROAD,RD,,,46940,,319,227,227,2013-12-23,-72.30919939493272,42.204379842553244,810100
M_129470_880819,129470.35280000,880819.27140000,BC,1060745,2001,CALKINS ROAD,,,,,,,,01069,,THREE RIVERS,PALMER,MA,,2001,2001,,,,,,,,,CALKINS,ROAD,RD,,,46873,,320,227,227,2013-12-23,-72.35366785337187,42.17463597485404,810300
M_133791_880821,133791.07900000,880821.24760000,BC,1059500,38,FRENCH DRIVE,,,,,,,,01069,,PALMER,PALMER,MA,,38,38,,,,,,,,,FRENCH,DRIVE,DR,,,46947,,245,227,227,2013-12-23,-72.30137459478658,42.17503115806675,810100
M_133371_878232,133371.07540000,878231.65160000,BC,1064093,26,EAST PALMER PARK DRIVE,,,,,,,,01069,,PALMER,PALMER,MA,,26,26,,,,,,,EAST,,PALMER PARK,DRIVE,DR,,,46923,,245,227,227,2013-12-23,-72.30616166940699,42.151682104340225,810100
M_134092_879675,134092.07080000,879675.49300000,PC,1061834,8,DAVIS WAY,,,,,,,,01069,,PALMER,PALMER,MA,,8,8,,,,,,,,,DAVIS,WAY,WAY,,,46914,,245,227,227,2013-12-23,-72.29760201082266,42.16474164969854,810100
M_129149_880989,129149.33240000,880988.78660000,BMP,1062443,2124,PALMER ROAD,,,,,,,,01069,,THREE RIVERS,PALMER,MA,,2124,2124,,,,,,,,,PALMER,ROAD,RD,,,47053,,320,227,227,2014-08-20,-72.35757374623374,42.176133070114915,810300
M_131475_882704,131475.36140000,882703.93080000,BC,1062829,4038,PINE STREET,,,,,,,,01069,,THORNDIKE,PALMER,MA,,4038,4038,,,,,,,,,PINE,STREET,ST,,,47069,,319,227,227,2014-08-19,-72.32962330040338,42.19178103267638,810200
M_128741_879004,128740.89620000,879004.20020000,BMP,1059451,1007,BAPTIST HILL STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1007,1007,,,,,,,,,BAPTIST HILL,STREET,ST,,,46837,,245,227,227,2013-12-23,-72.3622742779238,42.158229438097855,810300
M_131199_882407,131198.78780000,882407.10480000,BMP,1061264,41,COMMERCIAL STREET,,,,,,,,01069,,THORNDIKE,PALMER,MA,,41,41,,,,,,,,,COMMERCIAL,STREET,ST,,,46901,,319,227,227,2014-08-20,-72.33293645458595,42.189084543232454,810200
M_131382_879475,131381.92280000,879475.16360000,BMP,1062569,1,LONGVIEW STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1,1,,,,,,,,,LONGVIEW,STREET,ST,,,46998,,245,227,227,2013-12-23,-72.33037394232181,42.162705295161494,810100
M_131138_879412,131138.46320000,879412.07020000,BMP,1061990,1069,PINE STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1069,1069,,,,,,,,,PINE,STREET,ST,,,47068,,245,227,227,2013-12-23,-72.33331249508288,42.16211590832641,810100
M_130040_884510,130040.43720000,884509.69580000,BC,1058544,3081,SOUTH MAIN STREET,,,,,,,,01069,,BONDSVILLE,PALMER,MA,,3081,3081,,,,,,,SOUTH,,MAIN,STREET,ST,,,47123,,36,227,227,2013-12-23,-72.3472118451878,42.20791069265992,810200
M_130299_884192,130298.86980000,884191.93940000,BC,1060330,11,ADVANCE STREET,,,,,,,,01069,,BONDSVILLE,PALMER,MA,,11,11,,,,,,,,,ADVANCE,STREET,ST,,,47186,,36,227,227,2013-12-23,-72.34404434850072,42.205073120072754,810200
M_131884_878867,131884.21840000,878866.75880000,BC,1060263,1015,MAPLE STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1015,1015,,,,,,,,,MAPLE,STREET,ST,,,47006,,245,227,227,2013-12-23,-72.32422470559607,42.15727186639009,810100
M_132755_878621,132754.61180000,878621.23360000,BC,1059603,42,GERALDINE STREET,,,,,,,,01069,,PALMER,PALMER,MA,,42,42,,,,,,,,,GERALDINE,STREET,ST,,,46956,,245,227,227,2013-12-23,-72.31366494522057,42.1551367081023,810100
M_131199_882407,131198.78780000,882407.10480000,BMP,1058757,41-43,COMMERCIAL STREET,,,,,,,,01069,,THORNDIKE,PALMER,MA,,41,41,,,43,43,,,,,COMMERCIAL,STREET,ST,,,46901,,319,227,227,2013-12-23,-72.33293645458595,42.189084543232454,810200
M_134661_877485,134660.69340000,877484.63800000,PC,1060614,1524,PARK STREET,,,,,,,,01069,,PALMER,PALMER,MA,,1524,1524,,,,,,,,,PARK,STREET,ST,,,47058,,245,227,227,2013-12-23,-72.29047536943814,42.145065592412905,810100
M_136440_878537,136439.56340000,878537.08460000,BMP,1059635,125,BOSTON ROAD,,,,,,,,01069,,PALMER,PALMER,MA,,125,125,,,,,,,,,BOSTON,ROAD,RD,,,46854,,245,227,227,2013-12-23,-72.26907057014472,42.15468693598277,810100
M_131890_878287,131889.62060000,878286.61860000,BMP,1063946,19,FOX STREET,,,,,,,,01069,,PALMER,PALMER,MA,,19,19,,,,,,,,,FOX,STREET,ST,,,46946,,245,227,227,2013-12-23,-72.3240915201858,42.15204949794633,810100
