ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_165323_896343,165323.21200000,896343.05640000,BC,1056141,207,GROVE STREET,,,,,,,,01612,,PAXTON,PAXTON,MA,,207,207,,,,,,,,,GROVE,STREET,ST,,,46735,,246,228,228,2013-12-23,-71.92065381769446,42.3168042143374,727100
M_165712_894753,165712.43200000,894753.27980000,BC,1057309,6,BURTENMAR CIRCLE,,,,,,,,01612,,PAXTON,PAXTON,MA,,6,6,,,,,,,,,BURTENMAR,CIRCLE,CIR,,,46705,,246,228,228,2013-12-23,-71.91583836196918,42.302509000121105,727100
M_164456_897467,164455.70380000,897467.12740000,BC,1057269,246,RICHARDS AVENUE,,,,,,,,01612,,PAXTON,PAXTON,MA,,246,246,,,,,,,,,RICHARDS,AVENUE,AVE,,,46790,,246,228,228,2013-12-23,-71.93124606512015,42.32688493739764,727100
M_166635_896714,166634.90420000,896713.51400000,BMP,1057438,130,HOLDEN ROAD,,,,,,,,01612,,PAXTON,PAXTON,MA,,130,130,,,,,,,,,HOLDEN,ROAD,RD,,,46741,,246,228,228,2013-12-23,-71.9047636379322,42.320196492676345,727100
M_166873_893012,166873.22120000,893012.03440000,BC,1055845,18,MONTICELLO DRIVE,,,,,,,,01612,,PAXTON,PAXTON,MA,,18,18,,,,,,,,,MONTICELLO,DRIVE,DR,,,46766,,246,228,228,2013-12-23,-71.90166112178007,42.286882987748754,727100
M_163507_894741,163506.97480000,894740.50800000,PC,1056456,71,SUOMI STREET,,,,,,,,01612,,PAXTON,PAXTON,MA,,71,71,,,,,,,,,SUOMI,STREET,ST,,,46811,,246,228,228,2013-12-23,-71.94258479636018,42.30229410550278,727100
M_165588_895403,165587.61480000,895402.86440000,BC,1056494,4,GLEN ELLEN ROAD,,,,,,,,01612,,PAXTON,PAXTON,MA,,4,4,,,,,,,,,GLEN ELLEN,ROAD,RD,,,46734,,246,228,228,2013-12-23,-71.9173906671182,42.30835157932477,727100
M_164310_892983,164310.09680000,892982.87040000,PC,1056271,89,MARSHALL STREET,,,,,,,,01612,,PAXTON,PAXTON,MA,,89,89,,,,,,,,,MARSHALL,STREET,ST,,,46761,,246,228,228,2013-12-23,-71.93273661414189,42.28650756294225,727100
M_165742_894891,165742.28860000,894891.41440000,BC,1056301,508,PLEASANT STREET,,,,,,,,01612,,PAXTON,PAXTON,MA,,508,508,,,,,,,,,PLEASANT,STREET,ST,,,46783,,246,228,228,2013-12-23,-71.91548442838169,42.30375390618938,727100
M_164860_895581,164859.68840000,895580.56520000,BC,1056689,670,PLEASANT STREET,,,,,,,,01612,,PAXTON,PAXTON,MA,,670,670,,,,,,,,,PLEASANT,STREET,ST,,,46783,,246,228,228,2013-12-23,-71.92623037153372,42.30991897070259,727100
