ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_122830_904978,122830.06560000,904977.52320000,BC,1055183,202,NORTH VALLEY ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,202,202,,,,,,,NORTH,,VALLEY,ROAD,RD,,,46664,,248,230,230,2013-12-23,-72.43724640402793,42.39149132260495,820202
M_119829_902709,119828.51260000,902708.60700000,BC,1055526,40,HARKNESS ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,40,40,,,,,,,,,HARKNESS,ROAD,RD,,,46653,,248,230,230,2013-12-23,-72.47338338479773,42.370763499959516,820202
M_120877_901718,120876.59540000,901717.99480000,BMP,1055304,98,ARNOLD ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,98,98,,,,,,,,,ARNOLD,ROAD,RD,,,46631,,248,230,230,2013-12-23,-72.46052398103983,42.36195278395386,820202
M_121348_903121,121347.71800000,903121.00640000,BC,1055486,10,ARNOLD ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,10,10,,,,,,,,,ARNOLD,ROAD,RD,,,46631,,248,230,230,2013-12-23,-72.4549959214462,42.37463059674843,820202
M_125575_899466,125575.05060000,899466.46060000,BMP,1055618,46,DANIEL SHAYS HIGHWAY,,,,,,,,01002,,PELHAM,PELHAM,MA,,46,46,,,,,,,,,DANIEL SHAYS,HIGHWAY,HWY,,,46646,,248,230,230,2013-12-23,-72.40320174697152,42.34214599603728,820202
M_120996_902602,120996.18340000,902601.69860000,BC,1055463,50,ARNOLD ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,50,50,,,,,,,,,ARNOLD,ROAD,RD,,,46631,,248,230,230,2013-12-23,-72.45919299057621,42.36992017800533,820202
M_122409_906378,122409.02480000,906378.32240000,BMP,1055312,117,BUFFAM ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,117,117,,,,,,,,,BUFFAM,ROAD,RD,,,46639,,248,230,230,2013-12-23,-72.44254761682984,42.40405977066707,820202
M_122933_907082,122932.87340000,907081.90220000,BC,1055275,35,BOYDEN ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,35,35,,,,,,,,,BOYDEN,ROAD,RD,,,46635,,248,230,230,2013-12-23,-72.43627841614439,42.410445432785835,820202
M_119829_903319,119829.37140000,903319.27520000,BMP,1055234,10,HARKNESS ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,10,10,,,,,,,,,HARKNESS,ROAD,RD,,,46653,,248,230,230,2013-12-23,-72.47345757210061,42.37626092642739,820202
M_119866_901302,119865.95080000,901301.98020000,BC,761870,116,HARKNESS ROAD,,,,,,,,01002,,PELHAM,PELHAM,MA,,116,116,,,,,,,,,HARKNESS,ROAD,RD,,,46653,,248,230,230,2014-11-17,-72.47273412169221,42.35810462639294,820202
