ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_259863_865141,259863.20320000,865140.65670000,ABC,4267996,36,COPPERWOOD ROAD,,,,,,,,02359,,PEMBROKE,PEMBROKE,MA,,36,36,,,,,,,,,COPPERWOOD,ROAD,RD,,,193115,,249,231,231,2017-05-24,-70.77703698668603,42.03437170975539,508200
M_259467_869927,259467.22680000,869927.06310000,BC,3130128,25,RESERVOIR ROAD,,EDGEWATER LANDING,,,D7,,,02359,,PEMBROKE,PEMBROKE,MA,,25,25,,,,,,,,,RESERVOIR,ROAD,RD,,,147510,16364,249,231,231,2016-07-13,-70.78133190513601,42.07749359500044,508101
M_260739_871736,260739.07100000,871736.47840000,BC,3125465,15,HILLCREST DRIVE,,,,,,,,02359,,PEMBROKE,PEMBROKE,MA,,15,15,,,,,,,,,HILLCREST,DRIVE,DR,,,147322,,249,231,231,2014-03-07,-70.76577405085726,42.0936860669752,508101
M_259413_864668,259413.40440000,864668.11940000,BC,3123809,117,PELHAM STREET,,,,,,,,02359,,PEMBROKE,PEMBROKE,MA,,117,117,,,,,,,,,PELHAM,STREET,ST,,,147464,,249,231,231,2014-03-07,-70.78251691542901,42.03015166305109,508200
M_259260_872847,259260.07660000,872846.54440000,BC,3126450,197,WATER STREET,,,,,,,,02359,,PEMBROKE,PEMBROKE,MA,,197,197,,,,,,,,,WATER,STREET,ST,,,147097,,249,231,231,2014-03-07,-70.78353886709299,42.10379310133084,508101
M_259445_864017,259445.18080000,864016.78640000,BC,3126845,41,STATION STREET,,,,,,,,02359,,PEMBROKE,PEMBROKE,MA,,41,41,,,,,,,,,STATION,STREET,ST,,,147054,,249,231,231,2014-03-07,-70.78219938851248,42.024285316954526,508200
M_261312_872224,261311.66740000,872224.21930000,BC,3130844,900,PEMBROKE WOODS DRIVE,,PEMBROKE WOODS,,,25,,,02359,,PEMBROKE,PEMBROKE,MA,,900,900,,,,,,,,,PEMBROKE WOODS,DRIVE,DR,,,147467,17803,249,231,231,2016-07-13,-70.75880150617142,42.09803255448828,508101
M_261312_872224,261311.66740000,872224.21930000,BC,3130855,900,PEMBROKE WOODS DRIVE,,PEMBROKE WOODS,,,38,,,02359,,PEMBROKE,PEMBROKE,MA,,900,900,,,,,,,,,PEMBROKE WOODS,DRIVE,DR,,,147467,17803,249,231,231,2016-07-13,-70.75880150617142,42.09803255448828,508101
M_261312_872224,261311.66740000,872224.21930000,BC,3130846,900,PEMBROKE WOODS DRIVE,,PEMBROKE WOODS,,,27,,,02359,,PEMBROKE,PEMBROKE,MA,,900,900,,,,,,,,,PEMBROKE WOODS,DRIVE,DR,,,147467,17803,249,231,231,2016-07-13,-70.75880150617142,42.09803255448828,508101
M_261312_872224,261311.66740000,872224.21930000,BC,3130835,900,PEMBROKE WOODS DRIVE,,PEMBROKE WOODS,,,14,,,02359,,PEMBROKE,PEMBROKE,MA,,900,900,,,,,,,,,PEMBROKE WOODS,DRIVE,DR,,,147467,17803,249,231,231,2016-07-13,-70.75880150617142,42.09803255448828,508101
