ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_192112_930924,192111.73780000,930924.39380000,BMP,4187530,11,SOUTH ROAD,,,,,REAR,,,01463,,PEPPERELL,PEPPERELL,MA,,11,11,,,,,,,,,SOUTH,ROAD,RD,,,90452,,250,232,232,2014-09-03,-71.59616385058494,42.628853389167126,327103
M_188623_932815,188623.42540000,932815.24520000,BMP,4188211,180,SOUTH ROAD,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,180,180,,,,,,,,,SOUTH,ROAD,RD,,,90452,,250,232,232,2014-11-06,-71.63872642975264,42.64583180444794,327103
M_188077_932847,188076.69260000,932847.06300000,PC,4191062,7,LAKIN STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,7,7,,,,,,,,,LAKIN,STREET,ST,,,49521,,250,232,232,2015-01-22,-71.64539396127694,42.646110033766234,327103
M_188102_932527,188102.40600000,932527.37220000,PC,4191073,26,LAKIN STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,26,26,,,,,,,,,LAKIN,STREET,ST,,,49521,,250,232,232,2015-01-22,-71.64507377980384,42.64323254402019,327103
M_188623_932815,188623.42540000,932815.24520000,BMP,4191071,172,SOUTH ROAD,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,172,172,,,,,,,,,SOUTH,ROAD,RD,,,90452,,250,232,232,2015-01-22,-71.63872642975264,42.64583180444794,327103
M_193311_935917,193311.25260000,935916.62640000,BMP,4201936,52,HOLLIS STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,52,52,,,,,,,,,HOLLIS,STREET,ST,,,90363,,250,232,232,2015-01-22,-71.58159909377257,42.67380509188436,327102
M_188077_932847,188076.69260000,932847.06300000,PC,4201932,21,LAKIN STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,21,21,,,,,,,,,LAKIN,STREET,ST,,,49521,,250,232,232,2015-01-22,-71.64539396127694,42.646110033766234,327103
M_188102_932527,188102.40600000,932527.37220000,PC,4197276,28,LAKIN STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,28,28,,,,,,,,,LAKIN,STREET,ST,,,49521,,250,232,232,2015-01-22,-71.64507377980384,42.64323254402019,327103
M_191703_932225,191702.53060000,932224.58880000,BMP,1910974,92,MOUNT LEBANON STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,92,92,,,,,,,,,MOUNT LEBANON,STREET,ST,,,90399,,250,232,232,2014-02-10,-71.60117119003056,42.6405536395209,327103
M_188759_933519,188759.47940000,933519.44020000,BMP,1909020,30,SHATTUCK STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,30,30,,,,,,,,,SHATTUCK,STREET,ST,,,90445,,250,232,232,2014-02-10,-71.63708118474729,42.65217300049263,327103
M_188246_937038,188246.38880000,937037.62260000,BC,1909343,107,CHESTNUT STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,107,107,,,,,,,,,CHESTNUT,STREET,ST,,,90319,,250,232,232,2014-02-10,-71.6434105892946,42.68383615507288,327101
M_187982_936586,187981.90120000,936585.52100000,BC,1907055,116,CHESTNUT STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,116,116,,,,,,,,,CHESTNUT,STREET,ST,,,90319,,250,232,232,2014-02-10,-71.64662822100456,42.67976229761383,327101
M_193311_935917,193311.25260000,935916.62640000,BMP,1911454,50-52,HOLLIS STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,50,50,,,52,52,,,,,HOLLIS,STREET,ST,,,90363,,250,232,232,2014-02-10,-71.58159909377257,42.67380509188436,327102
M_194837_936242,194837.43060000,936241.86640000,BC,1911779,35,LOMAR PARK DRIVE,,,,,A,,,01463,,PEPPERELL,PEPPERELL,MA,,35,35,,,,,,,,,LOMAR PARK,DRIVE,DR,,,90386,,250,232,232,2014-02-10,-71.56298348677741,42.676744549100796,327101
M_194837_936242,194837.43060000,936241.86640000,BC,1911781,35,LOMAR PARK DRIVE,,,,,C,,,01463,,PEPPERELL,PEPPERELL,MA,,35,35,,,,,,,,,LOMAR PARK,DRIVE,DR,,,90386,,250,232,232,2014-02-10,-71.56298348677741,42.676744549100796,327101
M_188896_934145,188895.57260000,934145.26380000,BC,1909743,59,SHATTUCK STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,59,59,,,,,,,,,SHATTUCK,STREET,ST,,,90445,,250,232,232,2014-02-10,-71.63543361249378,42.65780865789803,327103
M_192061_931692,192060.50580000,931691.93080000,PC,1909983,170,RIVER ROAD,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,170,170,,,,,,,,,RIVER,ROAD,RD,,,90435,,250,232,232,2014-02-10,-71.59679902538547,42.6357623330518,327103
M_189371_933507,189370.54960000,933507.31080000,BC,1907017,150,TOWNSEND STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,150,150,,,,,,,,,TOWNSEND,STREET,ST,,,90468,,250,232,232,2014-02-10,-71.629628805611,42.65207241113902,327103
M_193605_935024,193605.13860000,935024.14160000,BC,1912377,22,COTTAGE STREET,,,,,B,,,01463,,PEPPERELL,PEPPERELL,MA,,22,22,,,,,,,,,COTTAGE,STREET,ST,,,90325,,250,232,232,2014-02-10,-71.57800388886332,42.66577339796017,327102
M_195432_935965,195432.27480000,935964.64760000,BC,1910370,19,JUNE STREET,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,19,19,,,,,,,,,JUNE,STREET,ST,,,90375,,250,232,232,2014-02-10,-71.555724164073,42.67425274919433,327102
M_193852_935939,193852.30580000,935939.49660000,BMP,1907762,21,NASHUA ROAD,,,,,,,,01463,,PEPPERELL,PEPPERELL,MA,,21,21,,,,,,,,,NASHUA,ROAD,RD,,,90400,,250,232,232,2014-02-10,-71.57499878679262,42.67401544071557,327101
