ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_72880_910879,72880.24780000,910879.04160000,BMP,707776,1,EAST MAIN ROAD,,,,,,,,01235,,PERU,PERU,MA,,1,1,,,,,,,EAST,,MAIN,ROAD,RD,,,28011,,251,233,233,2013-12-10,-73.04508997256708,42.438072181317445,931400
M_70837_911755,70837.24400000,911754.72920000,BC,707814,4,MARLOW DRIVE,,,,,,,,01235,,PERU,PERU,MA,,4,4,,,,,,,,,MARLOW,DRIVE,DR,,,28041,,251,233,233,2013-12-10,-73.07011221001899,42.44561849319296,931400
M_75040_910159,75039.86680000,910158.85940000,BMP,707763,90,EAST MAIN ROAD,,,,,,,,01235,,PERU,PERU,MA,,90,90,,,,,,,EAST,,MAIN,ROAD,RD,,,28011,,251,233,233,2013-12-10,-73.01869041972726,42.43193885520483,931400
M_72862_910913,72862.40520000,910913.32280000,BMP,707815,4,NORTH ROAD,,,,,,,,01235,,PERU,PERU,MA,,4,4,,,,,,,,,NORTH,ROAD,RD,,,28052,,251,233,233,2013-12-10,-73.04531434291167,42.438377841405085,931400
M_75178_910525,75178.46580000,910524.77880000,BMP,707544,5,BONNY LANE,,,,,,,,01235,,PERU,PERU,MA,,5,5,,,,,,,,,BONNY,LANE,LN,,,27997,,251,233,233,2013-12-10,-73.01708541558975,42.435254772776126,931400
M_75559_910217,75558.86000000,910217.02800000,BMP,707639,97,EAST MAIN ROAD,,,,,,,,01235,,PERU,PERU,MA,,97,97,,,,,,,EAST,,MAIN,ROAD,RD,,,28011,,251,233,233,2013-12-10,-73.01239674638535,42.4325454562721,931400
M_70356_912216,70355.72380000,912215.95820000,BC,707936,28,RAYMOND ROAD,,,,,,,,01235,,PERU,PERU,MA,,28,28,,,,,,,,,RAYMOND,ROAD,RD,,,28062,,251,233,233,2013-12-10,-73.07606786359518,42.44969010185522,931400
M_71370_912893,71370.36840000,912893.34280000,BC,707679,35,AUGUST SMITH ROAD,,,,,,,,01235,,PERU,PERU,MA,,35,35,,,,,,,,,AUGUST SMITH,ROAD,RD,,,27991,,251,233,233,2013-12-10,-73.06388670972979,42.45595540133098,931400
M_71223_911247,71222.76840000,911247.26740000,BMP,707552,7,ASH LANE,,,,,,,,01235,,PERU,PERU,MA,,7,7,,,,,,,,,ASH,LANE,LN,,,27989,,251,233,233,2013-12-10,-73.06531360682992,42.44111457373003,931400
M_72338_913041,72338.34740000,913040.88020000,BMP,707752,7,SPRUCE DRIVE,,,,,,,,01235,,PERU,PERU,MA,,7,7,,,,,,,,,SPRUCE,DRIVE,DR,,,28072,,251,233,233,2013-12-10,-73.05215320923277,42.45744256321038,931400
M_75181_910637,75180.71900000,910637.08460000,BC,708013,9,BONNY LANE,,,,,,,,01235,,PERU,PERU,MA,,9,9,,,,,,,,,BONNY,LANE,LN,,,27997,,251,233,233,2013-12-10,-73.01708231078312,42.43626602031755,931400
M_71746_908054,71745.92380000,908054.29340000,BMP,707646,5,CORNELL LANE,,,,,,,,01235,,PERU,PERU,MA,,5,5,,,,,,,,,CORNELL,LANE,LN,,,28003,,251,233,233,2013-12-10,-73.05824701209889,42.41246042234659,931400
M_71125_911206,71124.63900000,911205.86360000,BC,707827,8,ASH LANE,,,,,,,,01235,,PERU,PERU,MA,,8,8,,,,,,,,,ASH,LANE,LN,,,27989,,251,233,233,2013-12-10,-73.06649687992682,42.44072567689526,931400
M_73042_912751,73042.41780000,912751.44700000,BMP,707554,74,EAST WINDSOR ROAD,,,,,,,,01235,,PERU,PERU,MA,,74,74,,,,,,,EAST,,WINDSOR,ROAD,RD,,,28014,,251,233,233,2013-12-10,-73.04353108509753,42.45495236342138,931400
