ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_143766_916195,143765.69120000,916195.22100000,BMP,1055107,45,NORTH MAIN STREET,,,,,RIGHT,,,01366,,PETERSHAM,PETERSHAM,MA,,45,45,,,,,,,NORTH,,MAIN,STREET,ST,,,46579,,252,234,234,2013-12-23,-72.18408403105298,42.49426664587556,704200
M_141188_915523,141188.16980000,915523.30940000,BC,1054481,164,WEST ROAD,,,,,,,,01366,,PETERSHAM,PETERSHAM,MA,,164,164,,,,,,,,,WEST,ROAD,RD,,,46622,,252,234,234,2013-12-23,-72.21536929958584,42.48802761534749,704200
M_142711_915536,142711.07900000,915535.58540000,BMP,1054546,48C,WEST STREET,,,,,,,,01366,,PETERSHAM,PETERSHAM,MA,,48,48,C,,,,,,,,WEST,STREET,ST,,,46623,,252,234,234,2014-11-20,-72.1968471481759,42.488251620776865,704200
M_142711_915536,142711.07900000,915535.58540000,BMP,1054727,48,WEST STREET,,,,,,,,01366,,PETERSHAM,PETERSHAM,MA,,48,48,,,,,,,,,WEST,STREET,ST,,,46623,,252,234,234,2013-12-23,-72.1968471481759,42.488251620776865,704200
M_142336_908485,142335.63460000,908484.63080000,BC,1054422,23,DANA ROAD,,,,,,,,01366,,PETERSHAM,PETERSHAM,MA,,23,23,,,,,,,,,DANA,ROAD,RD,,,46547,,252,234,234,2013-12-23,-72.20070919498335,42.42474931270688,704200
M_143591_919727,143590.63960000,919726.68380000,BC,1055023,279,NORTH MAIN STREET,,,,,,,,01366,,PETERSHAM,PETERSHAM,MA,,279,279,,,,,,,NORTH,,MAIN,STREET,ST,,,46579,,252,234,234,2013-12-23,-72.18655920443268,42.52604477311031,704200
M_143766_916195,143765.69120000,916195.22100000,BMP,1054543,45,NORTH MAIN STREET,,,,,,,,01366,,PETERSHAM,PETERSHAM,MA,,45,45,,,,,,,NORTH,,MAIN,STREET,ST,,,46579,,252,234,234,2013-12-23,-72.18408403105298,42.49426664587556,704200
M_142711_915536,142711.07900000,915535.58540000,BMP,1055108,48,WEST STREET,,,,,A,,,01366,,PETERSHAM,PETERSHAM,MA,,48,48,,,,,,,,,WEST,STREET,ST,,,46623,,252,234,234,2013-12-23,-72.1968471481759,42.488251620776865,704200
M_142711_915536,142711.07900000,915535.58540000,BMP,1055109,48,WEST STREET,,,,,RIGHT,,,01366,,PETERSHAM,PETERSHAM,MA,,48,48,,,,,,,,,WEST,STREET,ST,,,46623,,252,234,234,2013-12-23,-72.1968471481759,42.488251620776865,704200
M_142711_915536,142711.07900000,915535.58540000,BMP,1054922,48L,WEST STREET,,,,,,,,01366,,PETERSHAM,PETERSHAM,MA,,48,48,L,,,,,,,,WEST,STREET,ST,,,46623,,252,234,234,2014-11-20,-72.1968471481759,42.488251620776865,704200
