ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_81978_917998,81978.12520000,917997.57520000,BMP,721255,131,SUMMIT STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,131,131,,,,,,,,,SUMMIT,STREET,ST,,,28770,,255,237,237,2013-12-10,-72.93598707699434,42.50357850022345,822700
M_79040_919749,79039.53420000,919749.31160000,PC,721314,161,WEST STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,161,161,,,,,,,,,WEST,STREET,ST,,,28779,,255,237,237,2013-12-10,-72.97210208321,42.518895173776514,822700
M_82165_917016,82165.04500000,917015.93880000,BC,721363,0,MAPLE STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,0,0,,,,,,,,,MAPLE,STREET,ST,,,28742,,255,237,237,2013-12-10,-72.93351251807336,42.49477089611208,822700
M_82431_920432,82431.35460000,920432.14920000,BC,721430,10,PROSPECT STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,10,10,,,,,,,,,PROSPECT,STREET,ST,,,28756,,255,237,237,2013-12-10,-72.9309705175293,42.52556107613513,822700
M_85282_921442,85281.76260000,921442.36660000,BMP,721556,71,NORTH STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,71,71,,,,,,,,,NORTH,STREET,ST,,,28747,,255,237,237,2013-12-10,-72.89648473619354,42.535079495659865,822700
M_85427_917006,85427.02740000,917005.74980000,BMP,721272,53,OLD SOUTH STREET,,,,,,,,01026,,PLAINFIELD,PLAINFIELD,MA,,53,53,,,,,,,,,OLD SOUTH,STREET,ST,,,28751,,255,237,237,2013-12-10,-72.89383424932328,42.49516586353452,822700
M_80779_918039,80778.69840000,918038.91220000,BMP,721270,49,MOUNTAIN STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,49,49,,,,,,,,,MOUNTAIN,STREET,ST,,,28744,,255,237,237,2013-12-10,-72.95058640768094,42.50376788193532,822700
M_81645_919726,81644.87720000,919726.08780000,BMP,721168,16,SUMMIT STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,16,16,,,,,,,,,SUMMIT,STREET,ST,,,28770,,255,237,237,2013-12-10,-72.94039609586275,42.51908654870577,822700
M_82295_922175,82294.83720000,922174.83820000,BMP,721415,39,HAWLEY STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,39,39,,,,,,,,,HAWLEY,STREET,ST,,,28730,,255,237,237,2013-12-10,-72.93298812113675,42.541226603805505,822700
M_84167_919451,84167.39320000,919451.08260000,BC,721226,278,EAST MAIN STREET,,,,,,,,01070,,PLAINFIELD,PLAINFIELD,MA,,278,278,,,,,,,EAST,,MAIN,STREET,ST,,,28721,,255,237,237,2013-12-10,-72.90964711630141,42.51699055184074,822700
