ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_259255_855156,259255.27540000,855155.97740000,BC,3131734,21,ANNASNAPPITT DRIVE,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,21,21,,,,,,,,,ANNASNAPPITT,DRIVE,DR,,,147545,,258,240,240,2014-03-10,-70.78538876735085,41.94452557175326,543100
M_257956_858048,257956.46480000,858048.00860000,BC,3131591,62,CRESCENT STREET,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,62,62,,,,,,,,,CRESCENT,STREET,ST,,,147561,,258,240,240,2014-03-10,-70.80076564143263,41.97065962006052,543100
M_258738_859441,258737.65540000,859441.22520000,BMP,3131538,26,REBECCA WAY,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,26,26,,,,,,,,,REBECCA,WAY,WAY,,,147606,,258,240,240,2014-03-10,-70.79120147121218,41.98314476157178,543100
M_258418_861321,258418.45720000,861321.29860000,BMP,3132210,1,BAGHEERA WAY,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,1,1,,,,,,,,,BAGHEERA,WAY,WAY,,,160616,,258,145,240,2016-06-21,-70.79486557225549,42.00009493534497,543100
M_260429_857221,260429.28520000,857220.79300000,BC,3132116,228,BROOK STREET,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,228,228,,,,,,,,,BROOK,STREET,ST,,,147552,,258,240,240,2014-03-10,-70.77101822347791,41.96302576753082,543100
M_255369_853773,255369.29960000,853773.15740000,BC,3131743,6,SOULE STREET,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,6,6,,,,,,,,,SOULE,STREET,ST,,,147612,,258,240,240,2014-03-10,-70.83238169600385,41.93235939609661,543100
M_258738_859821,258738.49600000,859821.42860000,BC,3132517,180,COUNTY ROAD,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,180,180,,,,,,,,,COUNTY,ROAD,RD,,,147558,,258,240,240,2014-03-10,-70.79115320071698,41.98656768268926,543100
M_259951_856997,259951.08540000,856996.86900000,BC,3132520,189,BROOK STREET,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,189,189,,,,,,,,,BROOK,STREET,ST,,,147552,,258,240,240,2014-03-10,-70.77680955707626,41.961046420308804,543100
M_257372_858940,257371.64960000,858940.09460000,BC,3132534,6,MAPLE STREET,,,,,,,,02367,,PLYMPTON,PLYMPTON,MA,,6,6,,,,,,,,,MAPLE,STREET,ST,,,147585,,258,240,240,2014-03-10,-70.80773367068853,41.97873406728311,543100
M_258738_859821,258738.49600000,859821.42860000,BC,3132660,180,COUNTY ROAD,,,,,R,,,02367,,PLYMPTON,PLYMPTON,MA,,180,180,,,,,,,,,COUNTY,ROAD,RD,,,147558,,258,240,240,2014-03-10,-70.79115320071698,41.98656768268926,543100
