ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_171331_914398,171331.00960000,914398.41240000,BMP,1051829,197,BEAMAN ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,197,197,,,,,,,,,BEAMAN,ROAD,RD,,,46289,,259,241,241,2013-12-23,-71.84867122098568,42.4795934553685,720100
M_171054_908055,171053.86840000,908054.71020000,BMP,1052195,168,COAL KILN ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,168,168,,,,,,,,,COAL KILN,ROAD,RD,,,46303,,259,241,241,2013-12-23,-71.85172362520949,42.42247395824375,720100
M_171828_910395,171828.04420000,910395.34580000,BMP,1052201,175,STERLING ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,175,175,,,,,,,,,STERLING,ROAD,RD,,,46397,,259,241,241,2013-12-23,-71.84243091854574,42.443574015887975,720100
M_167473_911487,167472.86060000,911486.72940000,BC,1052517,45,GOODNOW ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,45,45,,,,,,,,,GOODNOW,ROAD,RD,,,46322,,259,241,241,2013-12-23,-71.89542908992475,42.45322962259168,720100
M_169392_911706,169391.50300000,911705.91360000,BC,1053038,36,MERRIAM ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,36,36,,,,,,,,,MERRIAM,ROAD,RD,,,46348,,259,241,241,2013-12-23,-71.87211628135293,42.45528054109549,720100
M_171229_915369,171229.03140000,915368.95320000,BC,1053081,88,REDEMPTION ROCK TRAIL NORTH,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,88,88,,,,,,,,,REDEMPTION ROCK,TRAIL,TRL,NORTH,,46378,,259,241,241,2013-12-23,-71.8499598911602,42.48832692756315,720100
M_167725_909525,167725.19740000,909524.98540000,BC,1052470,88,BROOKS STATION ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,88,88,,,,,,,,,BROOKS STATION,ROAD,RD,,,46294,,259,241,241,2013-12-23,-71.89225182819101,42.435579497758226,720100
M_167993_911038,167992.78020000,911037.56560000,BC,1052076,81,HUBBARDSTON ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,81,81,,,,,,,,,HUBBARDSTON,ROAD,RD,,,46334,,259,241,241,2013-12-23,-71.8890836611988,42.44920755390988,720100
M_172211_911720,172211.19980000,911719.84760000,BC,1052972,112,HOUGHTON ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,112,112,,,,,,,,,HOUGHTON,ROAD,RD,,,46333,,259,241,241,2013-12-23,-71.83783746587267,42.455511624607425,720100
M_170981_909852,170980.96540000,909852.42960000,BC,1052997,50,COAL KILN ROAD,,,,,,,,01541,,PRINCETON,PRINCETON,MA,,50,50,,,,,,,,,COAL KILN,ROAD,RD,,,46303,,259,241,241,2013-12-23,-71.85269978218965,42.43865531937142,720100
