ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_235714_880951,235713.91560000,880951.30560000,BMPC,4201140,36,CHESTNUT WEST,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,36,36,,,,,,,,,CHESTNUT,,,WEST,,148317,,262,244,244,2015-01-22,-71.06771157826371,42.17818749294638,420202
M_237970_880873,237969.82800000,880873.19120000,BC,3138908,60,VESEY ROAD,,,ELIZABETH G LYONS ELEMENTARY SCHOOL,,,,,02368,,RANDOLPH,RANDOLPH,MA,,60,60,,,,,,,,,VESEY,ROAD,RD,,,148091,,262,244,244,2017-01-06,-71.04041116791188,42.17737804656753,420100
M_237216_880129,237215.59100000,880128.69220000,BC,3145076,29,NELSON DRIVE,,,,,B,,,02368,,RANDOLPH,RANDOLPH,MA,,29,29,,,,,,,,,NELSON,DRIVE,DR,,,147890,,262,244,244,2014-03-10,-71.04958790674995,42.170711558843195,420301
M_238866_878971,238866.04440000,878971.43300000,BC,3136459,37,WILMARTH ROAD,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,37,37,,,,,,,,,WILMARTH,ROAD,RD,,,148125,,262,244,244,2014-03-10,-71.02969045595093,42.160212566659716,420301
M_237164_881827,237163.50880000,881826.92120000,BMP,3139910,31,KNIGHTS CRESCENT,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,31,31,,,,,,,,,KNIGHTS,CRESCENT,CRES,,,147808,,262,244,244,2014-03-10,-71.05010982799168,42.18600315066913,420100
M_235908_883187,235908.21380000,883187.25600000,BC,3137940,37,SOREN STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,37,37,,,,,,,,,SOREN,STREET,ST,,,148032,,262,244,244,2014-03-10,-71.06522184061134,42.198308799187,420202
M_236922_881717,236922.00980000,881717.22380000,BC,3142130,22,OAK STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,22,22,,,,,,,,,OAK,STREET,ST,,,148290,,262,244,244,2014-03-10,-71.05304024658562,42.18502697907274,420100
M_237492_881069,237492.35080000,881069.38600000,BC,3136812,9,GREEN STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,9,9,,,,,,,,,GREEN,STREET,ST,,,147724,,262,244,244,2014-03-10,-71.04617783287523,42.17916740029802,420100
M_236949_879122,236949.31020000,879122.95800000,BC,3147328,59,HIGHLAND GLEN DRIVE,,,,,327,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3138866,59,HIGHLAND GLEN DRIVE,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_235982_880648,235981.90840000,880647.54780000,BC,3137932,28,CHRISTOPHER ROAD,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,28,28,,,,,,,,,CHRISTOPHER,ROAD,RD,,,148218,,262,244,244,2014-03-10,-71.0644865686042,42.175440491242234,420201
M_236949_879122,236949.31020000,879122.95800000,BC,3147302,59,HIGHLAND GLEN DRIVE,,,,,301,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147320,59,HIGHLAND GLEN DRIVE,,,,,319,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147310,59,HIGHLAND GLEN DRIVE,,,,,309,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_235714_880951,235713.91560000,880951.30560000,BMPC,3143954,1-36,CHESTNUT WEST,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,1,1,,,36,36,,,,,CHESTNUT,,,WEST,,148317,,262,244,244,2014-03-10,-71.06771157826371,42.17818749294638,420202
M_236949_879122,236949.31020000,879122.95800000,BC,3147326,59,HIGHLAND GLEN DRIVE,,,,,325,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147330,59,HIGHLAND GLEN DRIVE,,,,,329,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147332,59,HIGHLAND GLEN DRIVE,,,,,331,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147334,59,HIGHLAND GLEN DRIVE,,,,,333,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236285_880821,236285.15220000,880820.78540000,BC,3135468,27,ALTHEA ROAD,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,27,27,,,,,,,,,ALTHEA,ROAD,RD,,,148152,,262,244,244,2014-03-10,-71.06080547138785,42.17698614854435,420201
M_236994_880033,236993.82660000,880032.68480000,BC,3147088,38,CROSS STREET,,,,,B,,,02368,,RANDOLPH,RANDOLPH,MA,,38,38,,,,,,,,,CROSS,STREET,ST,,,148320,,262,244,244,2014-03-10,-71.05227792204249,42.16985771668083,420301
M_236279_883065,236278.84120000,883065.00200000,BC,3135674,1225,NORTH MAIN STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,1225,1225,,,,,,,NORTH,,MAIN,STREET,ST,,,147900,,262,244,244,2014-03-10,-71.06074197040658,42.19719105586263,420100
M_236233_880633,236233.08160000,880633.15240000,BC,3139757,73,EMILY JEFFERS ROAD,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,73,73,,,,,,,,,EMILY JEFFERS,ROAD,RD,,,147670,,262,244,244,2014-03-10,-71.06144739831251,42.175299303191686,420201
M_236233_880633,236233.08160000,880633.15240000,BC,3144313,71,EMILY JEFFERS ROAD,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,71,71,,,,,,,,,EMILY JEFFERS,ROAD,RD,,,147670,,262,244,244,2014-03-10,-71.06144739831251,42.175299303191686,420201
M_236062_883363,236062.41340000,883362.77800000,BC,3134603,15,SARAH STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,15,15,,,,,,,,,SARAH,STREET,ST,,,148012,,262,244,244,2014-03-10,-71.06334393834634,42.19988192389433,420202
M_238473_877753,238473.32600000,877752.74260000,BC,3134720,206,CENTER STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,206,206,,,,,,,,,CENTER,STREET,ST,,,148206,,262,244,244,2014-03-10,-71.0345230380225,42.149260089265915,420302
M_237223_878800,237222.94500000,878799.81480000,BC,3136246,26,PERLEY EVANS DRIVE,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,26,26,,,,,,,,,PERLEY EVANS,DRIVE,DR,,,147931,,262,244,244,2014-03-10,-71.0495838326283,42.15874732920223,420302
M_237483_881768,237482.90900000,881768.05800000,BC,3142806,22,POND LANE,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,22,22,,,,,,,,,POND,LANE,LN,,,147942,,262,244,244,2014-03-10,-71.04624712933611,42.185457975115774,420100
M_236784_882451,236783.97360000,882450.65640000,BC,3139990,65,NEWCOMB AVENUE,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,65,65,,,,,,,,,NEWCOMB,AVENUE,AVE,,,147892,,262,244,244,2014-03-10,-71.05466485963908,42.191636546899296,420100
M_235673_880577,235673.08660000,880577.30340000,BMP,3136167,20,GOLD STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,20,20,,,,,,,,,GOLD,STREET,ST,,,147719,,262,244,244,2014-03-10,-71.06822868786936,42.17482221670727,420301
M_236142_883303,236141.86300000,883303.39880000,BC,3134473,5,UPHAM STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,5,5,,,,,,,,,UPHAM,STREET,ST,,,148305,,262,244,244,2014-03-10,-71.06238564096172,42.19934367003505,420202
M_236954_883126,236954.21400000,883126.28440000,BMP,3141287,8,MORSE STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,8,8,,,,,,,,,MORSE,STREET,ST,,,147884,,262,244,244,2014-03-10,-71.05256092795322,42.197711173849925,420100
M_239285_881176,239285.16740000,881176.08980000,BC,3141318,28,ALICE ROAD,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,28,28,,,,,,,,,ALICE,ROAD,RD,,,148149,,262,244,244,2014-03-10,-71.02447011409691,42.1800401190409,420100
M_236805_878381,236804.94480000,878381.31220000,BC,3139130,20,TIFFANY DRIVE,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,20,20,,,,,,,,,TIFFANY,DRIVE,DR,,,148072,,262,244,244,2014-03-10,-71.05466819017194,42.154999306269204,420302
M_238392_876521,238391.95780000,876521.02340000,BC,3144131,9,KIMBERLY LANE,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,9,9,,,,,,,,,KIMBERLY,LANE,LN,,,147807,,262,244,244,2014-03-10,-71.0355886046157,42.13817489012523,420302
M_238806_882447,238806.42960000,882446.85980000,BC,3141272,920,NORTH STREET,,,,,,,,02368,,RANDOLPH,RANDOLPH,MA,,920,920,,,,,,,,,NORTH,STREET,ST,,,147903,,262,244,244,2014-03-10,-71.03018018375023,42.191504686630175,420100
M_236949_879122,236949.31020000,879122.95800000,BC,3147325,59,HIGHLAND GLEN DRIVE,,,,,324,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147319,59,HIGHLAND GLEN DRIVE,,,,,318,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147321,59,HIGHLAND GLEN DRIVE,,,,,320,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
M_236949_879122,236949.31020000,879122.95800000,BC,3147329,59,HIGHLAND GLEN DRIVE,,,,,328,,,02368,,RANDOLPH,RANDOLPH,MA,,59,59,,,,,,,,,HIGHLAND GLEN,DRIVE,DR,,,147753,,262,244,244,2014-10-23,-71.05287439184322,42.16166955070455,420302
