ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_237255_856975,237254.80260000,856974.87720000,BC,3153065,567,ELM STREET EAST,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,567,567,,,,,,,,,ELM,STREET,ST,EAST,,148474,,263,245,245,2014-03-10,-71.05058979311941,41.962253010057985,612100
M_234660_853860,234660.21600000,853859.91860000,BMP,3150097,153,BROADWAY,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,153,153,,,,,,,,,BROADWAY,,,,,148427,,263,245,245,2014-03-10,-71.08207226793967,41.9343269888163,612100
M_234704_857250,234703.88340000,857249.77460000,BC,3148550,38,BRIDGE STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,38,38,,,,,,,,,BRIDGE,STREET,ST,,,148422,,263,245,245,2014-03-10,-71.08134512096473,41.964844847023414,612100
M_236532_850495,236531.73920000,850494.65520000,BMP,3150797,125,ROUTE 44,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,125,125,,,,,,,,ROUTE,44,,,,,148326,,263,245,245,2014-03-10,-71.05971556468549,41.90394377955871,612200
M_235170_853967,235170.02560000,853966.50280000,BC,3149408,94,CHICKERING ROAD,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,94,94,,,,,,,,,CHICKERING,ROAD,RD,,,148448,,263,245,245,2014-03-10,-71.0759187704518,41.935263940970906,612100
M_237021_852945,237021.31020000,852944.74820000,BC,3149477,108,NORTH MAIN STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,108,108,,,,,,,NORTH,,MAIN,STREET,ST,,,148560,,263,245,245,2014-03-10,-71.05366079192056,41.92597975661791,612200
M_240169_852357,240169.23460000,852356.72800000,BMP,3151778,730,LOCUST STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,730,730,,,,,,,,,LOCUST,STREET,ST,,,148529,,263,245,245,2014-03-10,-71.01574957161024,41.92053104750369,612200
M_235446_855638,235445.94120000,855637.79020000,BC,3154464,804,BROADWAY,,,,,1,,,02767,,RAYNHAM,RAYNHAM,MA,,804,804,,,,,,,,,BROADWAY,,,,,148427,,263,245,245,2014-03-10,-71.07249082284848,41.950298594117555,612100
M_241514_851269,241513.84000000,851269.05160000,BC,3149512,168,FINCH ROAD,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,168,168,,,,,,,,,FINCH,ROAD,RD,,,148482,,263,245,245,2014-03-10,-70.99961729545613,41.910668544201926,612200
M_236923_857067,236923.22480000,857066.82460000,BC,3150693,105,HICKORY DRIVE,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,105,105,,,,,,,,,HICKORY,DRIVE,DR,,,148501,,263,245,245,2014-03-10,-71.0545838001719,41.96309649389719,612100
M_236456_854877,236456.42120000,854877.32400000,BMP,3149298,58,STONY BROOK ROAD,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,58,58,,,,,,,,,STONY BROOK,ROAD,RD,,,148330,,263,245,245,2014-03-10,-71.06035103468508,41.94340567070896,612100
M_235996_854875,235995.98920000,854874.52800000,BMP,3148418,295,MOHAWK ROAD,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,295,295,,,,,,,,,MOHAWK,ROAD,RD,,,148550,,263,245,245,2014-03-10,-71.06590372428028,41.94340172980039,612100
M_238681_849618,238680.68000000,849617.62400000,BC,3150937,402,SOUTH STREET EAST,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,402,402,,,,,,,,,SOUTH,STREET,ST,EAST,,148645,,263,245,245,2014-03-10,-71.03387456400922,41.89594481149414,612200
M_240907_850587,240906.59620000,850587.18640000,BC,3151567,24,LEONARD STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,24,24,,,,,,,,,LEONARD,STREET,ST,,,148525,,263,245,245,2014-03-10,-71.00698398505676,41.90456137165015,612200
M_235810_857949,235810.31360000,857948.59640000,BC,3153284,1588,BROADWAY,REAR,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,1588,1588,,,,,,,,,BROADWAY,,,,,148427,,263,245,245,2014-03-10,-71.06795507763985,41.97108683785358,612100
M_237501_855255,237500.91080000,855255.46740000,BC,3151904,926,NORTH MAIN STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,926,926,,,,,,,NORTH,,MAIN,STREET,ST,,,148560,,263,245,245,2014-03-10,-71.04773098645305,41.946761026474576,612100
M_239278_852663,239278.34260000,852663.30280000,BC,3152538,800,KING STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,800,800,,,,,,,,,KING,STREET,ST,,,148373,,263,245,245,2014-03-10,-71.02646876237674,41.92333625356052,612200
M_238360_853073,238360.02820000,853073.09020000,BMP,3149611,200,TEMI ROAD,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,200,200,,,,,,,,,TEMI,ROAD,RD,,,148338,,263,245,245,2014-03-10,-71.03751275660107,41.92707104232675,612200
M_236396_857837,236396.14960000,857837.38460000,BMP,3152675,196,HALL STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,196,196,,,,,,,,,HALL,STREET,ST,,,148497,,263,245,245,2014-03-10,-71.06089410399456,41.97005863644874,612100
M_235477_855136,235477.38680000,855135.61100000,BC,3149803,372,BRITTON STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,372,372,,,,,,,,,BRITTON,STREET,ST,,,148426,,263,245,245,2014-03-10,-71.07214194886191,41.94577592173234,612100
M_238122_852659,238121.51540000,852658.93860000,BC,3149103,416,KING STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,416,416,,,,,,,,,KING,STREET,ST,,,148373,,263,245,245,2014-03-10,-71.04041523137894,41.9233539319758,612200
M_236618_857225,236617.74060000,857225.13280000,BC,3149526,18,CEDAR STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,18,18,,,,,,,,,CEDAR,STREET,ST,,,148443,,263,245,245,2014-03-10,-71.05825899352817,41.96453608428784,612100
M_239747_849548,239747.13660000,849548.38360000,BMP,3151664,349,HILL STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,349,349,,,,,,,,,HILL,STREET,ST,,,148506,,263,245,245,2014-03-10,-71.02102807309956,41.89526822608982,612200
M_234350_855300,234350.38120000,855300.46320000,BC,3151833,129,PROSPECT HILL STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,129,129,,,,,,,,,PROSPECT HILL,STREET,ST,,,128411,,263,293,245,2014-03-10,-71.08572378741597,41.947310220870435,612100
M_239942_854330,239942.42560000,854330.21320000,BC,3149785,34,RAMSHEAD ROAD,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,34,34,,,,,,,,,RAMSHEAD,ROAD,RD,,,148620,,263,245,245,2014-03-10,-71.01834941286941,41.938310391492294,612200
M_236047_858780,236047.00080000,858779.52560000,BMP,3149470,106,WILBUR STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,106,106,,,,,,,,,WILBUR,STREET,ST,,,148358,,263,245,245,2014-03-10,-71.0650484186637,41.97855706102811,612100
M_239597_849193,239597.23080000,849193.43360000,BC,3151267,8,TUCKER TERRACE,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,8,8,,,,,,,,,TUCKER,TERRACE,TER,,,148345,,263,245,245,2015-08-19,-71.02285839847218,41.89208007567321,612200
M_234518_854622,234518.34800000,854622.12360000,BMP,3149442,1,BRITTON STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,1,1,,,,,,,,,BRITTON,STREET,ST,,,148426,,263,245,245,2014-03-10,-71.08373801255225,41.941195579953614,612100
M_241680_848377,241679.92000000,848377.44580000,BMP,3153994,40,GATSBY DRIVE,,,,,3,,,02767,,RAYNHAM,RAYNHAM,MA,,40,40,,,,,,,,,GATSBY,DRIVE,DR,,,148490,,263,245,245,2014-03-10,-70.99782071200633,41.88462586454322,612200
M_241680_848377,241679.92000000,848377.44580000,BMP,3153996,40,GATSBY DRIVE,,,,,5,,,02767,,RAYNHAM,RAYNHAM,MA,,40,40,,,,,,,,,GATSBY,DRIVE,DR,,,148490,,263,245,245,2014-03-10,-70.99782071200633,41.88462586454322,612200
M_241680_848377,241679.92000000,848377.44580000,BMP,3153998,40,GATSBY DRIVE,,,,,7,,,02767,,RAYNHAM,RAYNHAM,MA,,40,40,,,,,,,,,GATSBY,DRIVE,DR,,,148490,,263,245,245,2014-03-10,-70.99782071200633,41.88462586454322,612200
M_238873_854059,238873.12200000,854059.13300000,BMP,3149667,30,DARRINGTON DRIVE,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,30,30,,,,,,,,,DARRINGTON,DRIVE,DR,,,148461,,263,245,245,2014-03-10,-71.0312614405197,41.93592342391598,612200
M_234962_858346,234961.85620000,858345.98500000,BC,3150992,499,PROSPECT HILL STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,499,499,,,,,,,,,PROSPECT HILL,STREET,ST,,,128410,,263,245,245,2014-03-10,-71.07816768230929,41.974702859857175,612100
M_237215_857584,237214.99280000,857583.67440000,BC,3151082,55,OVERLOOK DRIVE,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,55,55,,,,,,,,,OVERLOOK,DRIVE,DR,,,148571,,263,245,245,2014-03-10,-71.05103135979569,41.96773604411406,612100
M_236078_851303,236078.05920000,851303.40620000,BMP,3151981,157,SOUTH MAIN STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,157,157,,,,,,,SOUTH,,MAIN,STREET,ST,,,128554,,263,245,245,2014-03-10,-71.06513357564212,41.911246157212666,612200
M_241876_848637,241876.06940000,848636.79300000,BMP,3153290,38,RICHMOND STREET,,,,,,,,02718,EAST TAUNTON,RAYNHAM,RAYNHAM,MA,,38,38,,,,,,,,,RICHMOND,STREET,ST,,,190823,,263,245,245,2017-05-23,-70.99543898285022,41.8869504159242,612200
M_240190_852617,240190.10480000,852617.31060000,BC,3150586,75,PHEASANT LANE,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,75,75,,,,,,,,,PHEASANT,LANE,LN,,,148581,,263,245,245,2014-03-10,-71.01548013708415,41.92287607232996,612200
M_241680_848377,241679.92000000,848377.44580000,BMP,3151051,40,GATSBY DRIVE,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,40,40,,,,,,,,,GATSBY,DRIVE,DR,,,148490,,263,245,245,2014-03-10,-70.99782071200633,41.88462586454322,612200
M_241680_848377,241679.92000000,848377.44580000,BMP,3153997,40,GATSBY DRIVE,,,,,6,,,02767,,RAYNHAM,RAYNHAM,MA,,40,40,,,,,,,,,GATSBY,DRIVE,DR,,,148490,,263,245,245,2014-03-10,-70.99782071200633,41.88462586454322,612200
M_239499_849359,239499.59240000,849359.92780000,BC,3151699,4,NICE STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,4,4,,,,,,,,,NICE,STREET,ST,,,148556,,263,245,245,2015-08-19,-71.02402370909023,41.893583981595434,612200
M_241317_851199,241316.62980000,851199.23300000,BC,3151262,91,FINCH ROAD,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,91,91,,,,,,,,,FINCH,ROAD,RD,,,148482,,263,245,245,2014-03-10,-71.00199920705393,41.910050340824135,612200
M_236444_857973,236443.97920000,857972.58460000,BC,3152172,239,HALL STREET,,,,,,,,02767,,RAYNHAM,RAYNHAM,MA,,239,239,,,,,,,,,HALL,STREET,ST,,,148497,,263,245,245,2014-03-10,-71.06030865976837,41.971273655986764,612100
