ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_232199_919034,232199.46540000,919034.41020000,BMP,4206633,12,PRESCOTT STREET,,,,,,,,01867,,READING,READING,MA,,12,12,,,,,,,,,PRESCOTT,STREET,ST,,,123945,,264,246,246,2015-01-22,-71.10813280848132,42.521190538275086,334100
M_232199_919034,232199.46540000,919034.41020000,BMP,2605539,2-12,PRESCOTT STREET,,,,,,,,01867,,READING,READING,MA,,2,2,,,12,12,,,,,PRESCOTT,STREET,ST,,,123945,,264,246,246,2014-03-03,-71.10813280848132,42.521190538275086,334100
M_232435_922960,232435.35340000,922960.22520000,BC,2602259,1381,MAIN STREET,,,,,,,,01867,,READING,READING,MA,,1381,1381,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10504086644926,42.55652204081828,334300
M_231425_920282,231425.12520000,920282.40880000,BC,2603388,22,INTERVALE TERRACE,,,,,,,,01867,,READING,READING,MA,,22,22,,,,,,,,,INTERVALE,TERRACE,TER,,,123822,,264,246,246,2014-03-03,-71.11748828253644,42.53245705938261,334300
M_232482_921116,232482.19020000,921116.07820000,BC,2605241,1040,MAIN STREET,,,,,,,,01867,,READING,READING,MA,,1040,1040,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10457465443726,42.539918599228386,334300
M_233836_921236,233835.98760000,921236.12220000,BC,2603612,329,HAVERHILL STREET,,,,,,,,01867,,READING,READING,MA,,329,329,,,,,,,,,HAVERHILL,STREET,ST,,,123803,,264,246,246,2014-03-03,-71.08808725384668,42.540941590788684,334400
M_232607_918462,232606.93620000,918462.06160000,BC,2607749,295,MAIN STREET,,,,,17,,,01867,,READING,READING,MA,,295,295,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10320636665901,42.516021107323176,334400
M_232607_918462,232606.93620000,918462.06160000,BC,2607759,295,MAIN STREET,,,,,26,,,01867,,READING,READING,MA,,295,295,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10320636665901,42.516021107323176,334400
M_232607_918462,232606.93620000,918462.06160000,BC,2607761,295,MAIN STREET,,,,,28,,,01867,,READING,READING,MA,,295,295,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10320636665901,42.516021107323176,334400
M_232607_918462,232606.93620000,918462.06160000,BC,2607763,295,MAIN STREET,,,,,3,,,01867,,READING,READING,MA,,295,295,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10320636665901,42.516021107323176,334400
M_232607_918462,232606.93620000,918462.06160000,BC,2607766,295,MAIN STREET,,,,,5,,,01867,,READING,READING,MA,,295,295,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10320636665901,42.516021107323176,334400
M_232607_918462,232606.93620000,918462.06160000,BC,2607770,295,MAIN STREET,,,,,9,,,01867,,READING,READING,MA,,295,295,,,,,,,,,MAIN,STREET,ST,,,123882,,264,246,246,2014-03-03,-71.10320636665901,42.516021107323176,334400
