ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_219500_847564,219499.70400000,847563.79440000,BMP,3159438,85,HOMESTEAD AVENUE,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,85,85,,,,,,,,,HOMESTEAD,AVENUE,AVE,,,148907,,265,247,247,2014-03-10,-71.26508327017024,41.878163125051515,633100
M_219431_850195,219431.40020000,850195.22280000,BMP,3157435,45,AGRICULTURAL AVENUE,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,45,45,,,,,,,,,AGRICULTURAL,AVENUE,AVE,,,148651,,265,247,247,2014-03-10,-71.26581909916412,41.90185659652336,633100
M_219808_850417,219808.27340000,850417.10060000,BC,3156911,6,CEDAR HILL ROAD,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,6,6,,,,,,,,,CEDAR HILL,ROAD,RD,,,148685,,265,247,247,2014-03-10,-71.26126968561803,41.9038448406329,633100
M_216818_846883,216818.12340000,846883.05860000,BC,3158493,19,PINE STREET,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,19,19,,,,,,,,,PINE,STREET,ST,,,148819,,265,247,247,2014-03-10,-71.2974081410122,41.872096103097526,633100
M_218866_847471,218866.46520000,847471.20960000,BC,3156964,88,ROCKY HILL ROAD,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,88,88,,,,,,,,,ROCKY HILL,ROAD,RD,,,148840,,265,247,247,2014-03-10,-71.27271495666233,41.87734499407337,633100
M_220764_842604,220763.56940000,842603.76960000,BMP,3157029,71,SUMMER STREET,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,71,71,,,,,,,,,SUMMER,STREET,ST,,,148863,,265,247,247,2014-03-10,-71.25003243729832,41.833473632542706,633200
M_221361_850656,221360.59620000,850656.30660000,BC,3155661,40,SMITH STREET,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,40,40,,,,,,,,,SMITH,STREET,ST,,,148852,,265,247,247,2014-03-10,-71.24255242064054,41.905957851694055,633100
M_217456_844780,217456.14100000,844779.61560000,BC,3158330,11,SALISBURY STREET,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,11,11,,,,,,,,,SALISBURY,STREET,ST,,,148845,,265,247,247,2014-03-10,-71.28978502998052,41.853144025612956,633100
M_220102_850769,220101.95340000,850768.50520000,BMP,3154526,10,WATERMAN STREET,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,10,10,,,,,,,,,WATERMAN,STREET,ST,,,148884,,265,247,247,2014-03-10,-71.25771822845779,41.90700121369786,633100
M_222879_851106,222878.95840000,851105.76880000,BMP,3155080,10,BRANDER ROAD,,,,,,,,02769,,REHOBOTH,REHOBOTH,MA,,10,10,,,,,,,,,BRANDER,ROAD,RD,,,148676,,265,247,247,2014-03-10,-71.22423504135807,41.90996179635624,633100
