ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_44157_905736,44157.05680000,905735.53380000,BMP,722177,157,CUNNINGHAM HILL ROAD,,,,,,,,01254,,RICHMOND,RICHMOND,MA,,157,157,,,,,,,,,CUNNINGHAM HILL,ROAD,RD,,,28809,,267,249,249,2016-05-11,-73.39271777971908,42.38656543819213,935100
M_47771_903518,47771.33640000,903518.49180000,BMP,722262,2073,SWAMP ROAD,,,,,,,,01254,,RICHMOND,RICHMOND,MA,,2073,2073,,,,,,,,,SWAMP,ROAD,RD,,,28869,,267,249,249,2013-12-10,-73.34825277809814,42.36732425563546,935100
M_49373_908154,49372.81600000,908153.66920000,BC,722553,19,PINE ROAD,,,,,,,,01201,,RICHMOND,RICHMOND,MA,,19,19,,,,,,,,,PINE,ROAD,RD,,,28849,,267,249,249,2013-12-10,-73.33002197569425,42.40935462711141,935100
M_49257_908224,49257.27360000,908223.80140000,BC,721664,11,BEECH ROAD,,,,,,,,01201,,RICHMOND,RICHMOND,MA,,11,11,,,,,,,,,BEECH,ROAD,RD,,,28789,,267,249,249,2013-12-10,-73.33144360150699,42.40996353518135,935100
M_46144_906541,46144.30880000,906540.55500000,BC,721829,44,CANAAN ROAD,,,,,,,,01254,,RICHMOND,RICHMOND,MA,,44,44,,,,,,,,,CANAAN,ROAD,RD,,,28796,,267,249,249,2013-12-10,-73.36880448587239,42.39420551109827,935100
M_47355_903985,47355.35980000,903985.20520000,BC,722331,430,LENOX ROAD,,,,,,,,01254,,RICHMOND,RICHMOND,MA,,430,430,,,,,,,,,LENOX,ROAD,RD,,,28831,,267,249,249,2013-12-10,-73.35342479437458,42.37144372178859,935100
M_49804_907303,49804.49180000,907303.01280000,BMP,722532,12,YOKUN ROAD,,,,,,,,01201,,RICHMOND,RICHMOND,MA,,12,12,,,,,,,,,YOKUN,ROAD,RD,,,28881,,267,249,249,2013-12-10,-73.32455795920403,42.401781438526946,935100
M_44876_906681,44876.16460000,906681.19520000,BC,721714,482,CANAAN ROAD,,,,,,,,01254,,RICHMOND,RICHMOND,MA,,482,482,,,,,,,,,CANAAN,ROAD,RD,,,28796,,267,249,249,2013-12-10,-73.38424070988185,42.39522019848567,935100
M_47896_908665,47896.37020000,908665.28660000,BMP,722162,126,ORCHARD CIRCLE,,,,,,,,01201,,RICHMOND,RICHMOND,MA,,126,126,,,,,,,,,ORCHARD,CIRCLE,CIR,,,28840,,267,249,249,2013-12-10,-73.34808889835853,42.41367291796753,935100
M_50621_908499,50620.78840000,908498.84620000,PC,721753,20,SWAMP ROAD,,CAMP MARION WHITE,,,,,,01201,,RICHMOND,RICHMOND,MA,,20,20,,,,,,,,,SWAMP,ROAD,RD,,,28869,17291,267,249,249,2013-12-10,-73.31495374137818,42.41270147230695,935100
M_46694_907494,46694.08340000,907493.89040000,BMP,721661,1026,STATE ROAD,,,,,,,,01254,,RICHMOND,RICHMOND,MA,,1026,1026,,,,,,,,,STATE,ROAD,RD,,,28863,,267,249,249,2013-12-10,-73.36238158159493,42.40289429950099,935100
