ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_254807_830745,254807.49980000,830744.66520000,BC,3160720,366,NEW BEDFORD ROAD,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,366,366,,,,,,,,,NEW BEDFORD,ROAD,RD,,,149030,,268,250,250,2014-03-10,-70.84129960473909,41.72506887308896,541100
M_256767_831626,256766.80100000,831625.57820000,BMP,3160954,27,MARION ROAD,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,27,27,,,,,,,,,MARION,ROAD,RD,,,149015,,268,250,250,2014-03-10,-70.81766816572515,41.7328612628024,541100
M_252708_832074,252708.19340000,832073.70380000,BC,3160160,292,CUSHMAN ROAD,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,292,292,,,,,,,,,CUSHMAN,ROAD,RD,,,148970,,268,250,250,2014-03-10,-70.86641038966414,41.737177718702426,541100
M_256784_833309,256784.19260000,833309.10660000,BMP,3160931,145,CLAPP ROAD,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,145,145,,,,,,,,,CLAPP,ROAD,RD,,,148954,,268,250,250,2014-03-10,-70.81729716635738,41.74801717917485,541100
M_252355_838033,252354.77020000,838033.36940000,BC,3161394,547,NORTH AVENUE,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,547,547,,,,,,,,,NORTH,AVENUE,AVE,,,149033,,268,250,250,2014-03-10,-70.87012961760756,41.79085763556663,541100
M_256530_832660,256529.69600000,832659.86100000,BC,3161010,16,EARLS COURT,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,16,16,,,,,,,,,EARLS,COURT,CT,,,148978,,268,250,250,2014-03-10,-70.82041897805443,41.74219017896777,541100
M_255636_830840,255635.58580000,830840.34160000,BMP,3161039,20,BENNER LANE,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,20,20,,,,,,,,,BENNER,LANE,LN,,,148932,,268,250,250,2014-03-10,-70.83133869727115,41.72587225888466,541100
M_260200_839032,260199.81580000,839032.45240000,BMP,3160818,569,COUNTY ROAD,,,,,,,,02576,,ROCHESTER,ROCHESTER,MA,,569,569,,,,,,,,,COUNTY,ROAD,RD,,,148962,,268,250,250,2014-03-10,-70.77564952069382,41.79929187756209,541100
M_256362_836397,256361.64860000,836396.97620000,BC,3161789,14,OLD SCHOOLHOUSE ROAD,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,14,14,,,,,,,,,OLD SCHOOLHOUSE,ROAD,RD,,,149040,,268,250,250,2014-03-10,-70.82208204302415,41.77584826053283,541100
M_256922_833995,256921.84960000,833994.69220000,BMP,3161225,133,PARADISE LANE,,,,,,,,02770,,ROCHESTER,ROCHESTER,MA,,133,133,,,,,,,,,PARADISE,LANE,LN,,,149042,,268,250,250,2014-03-10,-70.81557608165014,41.75417971875784,541100
