ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_248106_877741,248106.36580000,877741.42030000,BC,3175476,20,BOXBERRY LANE,,BOXBERRY SQUARE,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,20,20,,,,,,,,,BOXBERRY,LANE,LN,,,149517,16495,269,251,251,2016-12-29,-70.91798003647722,42.14862561875838,502200
M_248585_874274,248584.64980000,874274.32520000,ABC,3176232,120,MARTHA DRIVE,,SPRING GATE APARTMENTS,,,B,,,02370,,ROCKLAND,ROCKLAND,MA,,120,120,,,,,,,,,MARTHA,DRIVE,DR,,,149674,16237,269,251,251,2016-12-29,-70.91248257477373,42.11738198981136,502102
M_248536_874438,248535.60940000,874438.40400000,ABC,3177513,30,MARTHA DRIVE,,SPRING GATE APARTMENTS,,,B,,,02370,,ROCKLAND,ROCKLAND,MA,,30,30,,,,,,,,,MARTHA,DRIVE,DR,,,149674,16237,269,251,251,2016-12-29,-70.91306193161405,42.11886222690584,502102
M_248539_874324,248539.33600000,874324.08350000,BC,3175671,141,MARTHA DRIVE,,SPRING GATE APARTMENTS,,,C,,,02370,,ROCKLAND,ROCKLAND,MA,,141,141,,,,,,,,,MARTHA,DRIVE,DR,,,149674,16237,269,251,251,2016-12-29,-70.91302638096613,42.11783277136575,502102
M_248539_874324,248539.33600000,874324.08350000,BC,3175672,141,MARTHA DRIVE,,SPRING GATE APARTMENTS,,,D,,,02370,,ROCKLAND,ROCKLAND,MA,,141,141,,,,,,,,,MARTHA,DRIVE,DR,,,149674,16237,269,251,251,2016-12-29,-70.91302638096613,42.11783277136575,502102
M_248106_877741,248106.36580000,877741.42030000,BC,3174702,18,BOXBERRY LANE,,BOXBERRY SQUARE,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,18,18,,,,,,,,,BOXBERRY,LANE,LN,,,149517,16495,269,251,251,2016-12-29,-70.91798003647722,42.14862561875838,502200
M_248539_874324,248539.33600000,874324.08350000,BC,3175669,141,MARTHA DRIVE,,SPRING GATE APARTMENTS,,,A,,,02370,,ROCKLAND,ROCKLAND,MA,,141,141,,,,,,,,,MARTHA,DRIVE,DR,,,149674,16237,269,251,251,2016-12-29,-70.91302638096613,42.11783277136575,502102
M_248539_874324,248539.33600000,874324.08350000,BC,3175674,141,MARTHA DRIVE,,SPRING GATE APARTMENTS,,,F,,,02370,,ROCKLAND,ROCKLAND,MA,,141,141,,,,,,,,,MARTHA,DRIVE,DR,,,149674,16237,269,251,251,2016-12-29,-70.91302638096613,42.11783277136575,502102
M_248721_875501,248720.69080000,875501.08240000,BC,3173087,200,HOWARD STREET,,,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,200,200,,,,,,,,,HOWARD,STREET,ST,,,149630,,269,251,251,2014-03-10,-70.91073504630147,42.12841799707992,502101
M_248402_876123,248401.61980000,876123.03300000,BC,3173097,21,DELPRETE AVENUE,,,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,21,21,,,,,,,,,DELPRETE,AVENUE,AVE,,,149821,,269,251,251,2014-03-10,-70.91454237987554,42.13403717331554,502200
M_247051_875403,247051.42420000,875402.94500000,BC,3171694,35,JOHNSON TERRACE,,,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,35,35,,,,,,,,,JOHNSON,TERRACE,TER,,,149642,,269,251,251,2014-03-10,-70.93093173057811,42.12763651447274,502101
M_248422_875927,248422.31120000,875926.78040000,BC,3177637,52,WEBSTER STREET,,,,,2,,,02370,,ROCKLAND,ROCKLAND,MA,,52,52,,,,,,,,,WEBSTER,STREET,ST,,,149798,,269,251,251,2014-03-10,-70.91430840802602,42.13226904085162,502200
M_249163_874989,249162.74840000,874989.24060000,BC,3173325,411,MARKET STREET,,,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,411,411,,,,,,,,,MARKET,STREET,ST,,,149672,,269,251,251,2014-03-10,-70.90543179092505,42.123782286453554,502102
M_248624_876368,248623.72780000,876367.72260000,BMP,3178486,504,LIBERTY STREET,,,,,1,,,02370,,ROCKLAND,ROCKLAND,MA,,504,504,,,,,,,,,LIBERTY,STREET,ST,,,149658,,269,251,251,2014-03-10,-70.91183547624438,42.13622634512225,502200
M_248967_873561,248967.07260000,873560.50060000,BC,3173649,29,ELEANOR LANE,,,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,29,29,,,,,,,,,ELEANOR,LANE,LN,,,149580,,269,251,251,2014-03-10,-70.90791813390665,42.11093163443416,502102
M_248598_876162,248598.22700000,876162.49400000,BMP,3170510,128,EXCHANGE STREET,,,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,128,128,,,,,,,,,EXCHANGE,STREET,ST,,,149587,,269,251,251,2014-03-10,-70.91216103886975,42.134380264684616,502200
M_249987_879019,249986.90580000,879019.45620000,BC,3173041,139,TURNER ROAD,,,,,,,,02370,,ROCKLAND,ROCKLAND,MA,,139,139,,,,,,,,,TURNER,ROAD,RD,,,149784,,269,251,251,2014-03-10,-70.89511922146275,42.160013878881564,502200
