ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_272621_931968,272620.77040000,931967.86780000,BC,19869,14,HIGHVIEW ROAD,,,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,14,14,,,,,,,,,HIGHVIEW,ROAD,RD,,,1253,,270,252,252,2013-12-05,-70.61459755298648,42.634893846226916,220101
M_272431_934296,272431.27600000,934296.11480000,BC,18840,36,SCHOOL STREET,,,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,36,36,,,,,,,,,SCHOOL,STREET,ST,,,1391,,270,252,252,2013-12-05,-70.61661375117035,42.6558695103626,220101
M_274053_934791,274053.20280000,934791.12900000,BMP,18414,9,GAP HEAD ROAD,,,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,9,9,,,,,,,,,GAP HEAD,ROAD,RD,,,1222,,270,252,252,2013-12-05,-70.59676994311101,42.660172503296884,220101
M_272457_934415,272456.72160000,934415.46260000,BMP,17160,7,HIGH STREET,,,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,7,7,,,,,,,,,HIGH,STREET,ST,,,1404,,270,252,252,2013-12-05,-70.61628835364043,42.65694145669589,220101
M_271896_935252,271896.66940000,935252.57960000,BC,17368,15,ROWE POINT,,ROWE POINT,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,15,15,,,,,,,,,ROWE,POINT,PT,,,1380,11562,270,252,252,2013-12-05,-70.62301352444618,42.66452886123945,220101
M_271896_935252,271896.66940000,935252.57960000,BC,16175,16,ROWE POINT,,ROWE POINT,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,16,16,,,,,,,,,ROWE,POINT,PT,,,1380,11562,270,252,252,2013-12-05,-70.62301352444618,42.66452886123945,220101
M_271896_935252,271896.66940000,935252.57960000,BC,17395,17,ROWE POINT,,ROWE POINT,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,17,17,,,,,,,,,ROWE,POINT,PT,,,1380,11562,270,252,252,2013-12-05,-70.62301352444618,42.66452886123945,220101
M_273241_934451,273240.85620000,934451.18140000,BC,15596,15,DEAN ROAD,,,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,15,15,,,,,,,,,DEAN,ROAD,RD,,,1399,,270,252,252,2013-12-05,-70.60672086247924,42.65718945441092,220101
M_271570_935007,271570.32340000,935007.68500000,BC,17749,6,DOCTORS RUN,,,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,6,6,,,,,,,,,DOCTORS,RUN,RUN,,,1197,,270,252,252,2013-12-05,-70.62702454486957,42.66235456063242,220102
M_272167_934439,272166.86200000,934439.23220000,BC,19727,10,JEWETT STREET,,,,,,,,01966,,ROCKPORT,ROCKPORT,MA,,10,10,,,,,,,,,JEWETT,STREET,ST,,,1268,,270,252,252,2013-12-05,-70.61982035630695,42.65718240028345,220101
