ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_249440_939246,249439.52180000,939245.68600000,BC,3179103,4,VINEYARD WAY,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,4,4,,,,,,,,,VINEYARD,WAY,WAY,,,150028,,273,254,254,2014-03-10,-70.89658719379094,42.70222776772937,270100
M_251056_941474,251055.88800000,941474.36080000,BC,3179466,47,PLEASANT STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,47,47,,,,,,,,,PLEASANT,STREET,ST,,,149974,,273,254,254,2014-03-10,-70.87666124192751,42.72218493140324,270100
M_251390_941819,251390.12220000,941819.12460000,BC,3181227,93,CROSS STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,93,93,,,,,,,,,CROSS,STREET,ST,,,149874,,273,254,254,2014-03-10,-70.87254977720977,42.725266306532966,270100
M_246270_940707,246269.78600000,940707.29640000,BC,3180747,202,DODGE ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,202,202,,,,,,,,,DODGE,ROAD,RD,,,149881,,273,254,254,2014-03-10,-70.93515473878307,42.71558015400523,270100
M_248972_939932,248971.84760000,939931.81080000,BMP,3179297,16,STONEY BROOK ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,16,16,,,,,,,,,STONEY BROOK,ROAD,RD,,,150017,,273,254,254,2014-03-10,-70.90223631585866,42.708433700885166,270100
M_250660_941035,250660.28500000,941035.25700000,BMP,3180424,46,CENTRAL STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,46,46,,,,,,,,,CENTRAL,STREET,ST,,,149859,,273,254,254,2014-03-10,-70.88152984021153,42.71825819965066,270100
M_248460_942603,248460.32620000,942602.66560000,BC,3179283,141,HILLSIDE STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,141,141,,,,,,,,,HILLSIDE,STREET,ST,,,149910,,273,254,254,2014-03-10,-70.90825371476247,42.73250793433281,270100
M_250835_940692,250835.10060000,940692.07520000,BC,3178657,147,MAIN STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,147,147,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2014-03-10,-70.87942621533719,42.71515756655329,270100
M_246286_940333,246286.40760000,940333.48620000,BC,3180720,165,DODGE ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,165,165,,,,,,,,,DODGE,ROAD,RD,,,149881,,273,254,254,2014-03-10,-70.93498206213641,42.71221423539105,270100
M_248206_942992,248205.53300000,942991.55120000,BMP,3180612,112,WELDON FARM ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,112,112,,,,,,,,,WELDON FARM,ROAD,RD,,,150033,,273,254,254,2014-03-10,-70.91133210876492,42.73602440582088,270100
M_251188_940660,251188.39740000,940659.93540000,BMP,3180053,40,HAMMOND STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,40,40,,,,,,,,,HAMMOND,STREET,ST,,,149907,,273,254,254,2014-03-10,-70.87511634291619,42.714845036347626,270100
M_247682_943049,247681.93680000,943048.83220000,BC,3180642,23,GREENTREE LANE,,,,,,,,01922,,ROWLEY,ROWLEY,MA,,23,23,,,,,,,,,GREENTREE,LANE,LN,,,134252,,273,205,254,2015-01-19,-70.91772109439994,42.73657237963362,270100
M_252583_941819,252583.34840000,941818.62080000,BC,3180808,81,RAILROAD AVENUE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,81,81,,,,,,,,,RAILROAD,AVENUE,AVE,,,149982,,273,254,254,2014-03-10,-70.85798161358505,42.72518184066313,270100
M_248418_941962,248418.05180000,941962.13700000,PC,3179384,359,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,359,359,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.90882411718367,42.72674476868271,270100
M_246541_940577,246540.73200000,940577.02260000,BC,3181041,36,EMILY LANE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,36,36,,,,,,,,,EMILY,LANE,LN,,,149890,,273,254,254,2014-03-10,-70.93185781573627,42.71439127009726,270100
M_246164_939022,246164.13660000,939021.84840000,BC,3179110,17,ICE POND DRIVE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,17,17,,,,,,,,,ICE POND,DRIVE,DR,,,149915,,273,254,254,2014-03-10,-70.9365803396752,42.700414514697556,270100
M_251040_943124,251040.19560000,943123.96240000,BMP,3178780,39,MANSION DRIVE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,39,39,,,,,,,,,MANSION,DRIVE,DR,,,149938,,273,254,254,2014-03-10,-70.87670565459234,42.737035035133594,270100
M_246529_938880,246528.92120000,938879.64980000,BC,3179714,39,LESLIE ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,39,39,,,,,,,,,LESLIE,ROAD,RD,,,149929,,273,254,254,2014-03-10,-70.93213993625274,42.699112703407955,270100
M_250132_941142,250132.10820000,941141.62380000,BC,3179738,17,SAUNDERS LANE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,17,17,,,,,,,,,SAUNDERS,LANE,LN,,,149996,,273,254,254,2014-03-10,-70.8879683807067,42.71924997144989,270100
M_247728_941978,247727.71520000,941978.34520000,BC,3179456,445,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,445,445,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.9172513892288,42.726933432458736,270100
M_246821_939166,246820.83840000,939166.22380000,BMP,3180370,37,CHRISTOPHER ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,37,37,,,,,,,,,CHRISTOPHER,ROAD,RD,,,149862,,273,254,254,2014-03-10,-70.9285539213407,42.701674817497484,270100
M_246744_937959,246743.59500000,937958.73500000,PC,3178749,30,ELLSWORTH ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,30,30,,,,,,,,,ELLSWORTH,ROAD,RD,,,150051,,273,254,254,2014-03-10,-70.92959519756837,42.69080996063511,270100
M_252221_941827,252220.82900000,941827.25160000,BC,3179083,34,RAILROAD AVENUE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,34,34,,,,,,,,,RAILROAD,AVENUE,AVE,,,149982,,273,254,254,2014-03-10,-70.86240685480335,42.72528400994395,270100
M_251236_942888,251236.24660000,942888.32960000,BMP,3179307,114,KITTERY AVENUE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,114,114,,,,,,,,,KITTERY,AVENUE,AVE,,,149923,,273,254,254,2014-03-10,-70.87433270509071,42.73490104443944,270100
M_248651_941876,248651.13280000,941876.22580000,PC,3178755,324,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,324,324,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.90598563603268,42.72595684977476,270100
M_246014_941435,246013.63900000,941434.63720000,BMP,3180230,45,LONG HILL ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,45,45,,,,,,,,,LONG HILL,ROAD,RD,,,149934,,273,254,254,2014-03-10,-70.93822312168545,42.722142676234775,270100
M_246909_941813,246909.46740000,941813.03840000,BMP,3179531,583,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,583,583,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.92725532823448,42.72549528873082,270100
M_248865_939930,248865.01340000,939929.67940000,BMP,3179959,12,CEDARWOOD LANE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,12,12,,,,,,,,,CEDARWOOD,LANE,LN,,,149858,,273,254,254,2014-03-10,-70.90354050251298,42.70842124705103,270100
M_246881_938500,246880.98440000,938499.56440000,BC,3179927,100,LESLIE ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,100,100,,,,,,,,,LESLIE,ROAD,RD,,,149929,,273,254,254,2014-03-10,-70.92787443961673,42.69567009261005,270100
M_248276_943284,248276.41040000,943284.22660000,BC,3179591,1,GREENTREE LANE,,,,,,,,01922,,ROWLEY,ROWLEY,MA,,1,1,,,,,,,,,GREENTREE,LANE,LN,,,134252,,273,205,254,2015-01-19,-70.91044190502849,42.738654549866766,270100
M_250898_943159,250898.18600000,943158.70120000,BMP,3179285,15,BOWLERY DRIVE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,15,15,,,,,,,,,BOWLERY,DRIVE,DR,,,150047,,273,254,254,2014-03-10,-70.87843669931081,42.737357067876495,270100
M_246347_941798,246347.12740000,941797.70760000,BMP,3180743,20,FARNHAM ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,20,20,,,,,,,,,FARNHAM,ROAD,RD,,,149894,,273,254,254,2014-03-10,-70.9341222998951,42.725391072995734,270100
M_247854_939719,247854.20520000,939719.03760000,BMP,3179149,477,HAVERHILL STREET,,,ROWLEY TOWN POLICE DEPARTMENT,,,,,01969,,ROWLEY,ROWLEY,MA,,477,477,,,,,,,,,HAVERHILL,STREET,ST,,,150053,,273,254,254,2014-03-10,-70.91589591635392,42.706588081972285,270100
M_250687_940389,250687.05660000,940388.80850000,BC,4237395,101,MAIN STREET,,,,,7,,,01969,,ROWLEY,ROWLEY,MA,,101,101,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2016-06-13,-70.88126026653687,42.71243734401358,270100
M_250687_940389,250687.05660000,940388.80850000,BC,4237402,101,MAIN STREET,,,,,9,,,01969,,ROWLEY,ROWLEY,MA,,101,101,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2016-06-13,-70.88126026653687,42.71243734401358,270100
M_250687_940389,250687.05660000,940388.80850000,BC,4237391,101,MAIN STREET,,,,,10,,,01969,,ROWLEY,ROWLEY,MA,,101,101,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2016-06-13,-70.88126026653687,42.71243734401358,270100
M_250687_940389,250687.05660000,940388.80850000,BC,4237355,101,MAIN STREET,,,,,5,,,01969,,ROWLEY,ROWLEY,MA,,101,101,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2016-06-13,-70.88126026653687,42.71243734401358,270100
M_250687_940389,250687.05660000,940388.80850000,BC,4237366,101,MAIN STREET,,,,,8,,,01969,,ROWLEY,ROWLEY,MA,,101,101,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2016-06-13,-70.88126026653687,42.71243734401358,270100
M_250687_940389,250687.05660000,940388.80850000,BC,4237379,101,MAIN STREET,,,,,6,,,01969,,ROWLEY,ROWLEY,MA,,101,101,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2016-06-13,-70.88126026653687,42.71243734401358,270100
M_249116_943134,249115.84900000,943134.05340000,PC,3179547,626,NEWBURYPORT TURNPIKE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,626,626,,,,,,,,,NEWBURYPORT,TURNPIKE,TPKE,,,149952,,273,254,254,2014-03-10,-70.90020379754726,42.737250066980735,270100
M_248253_943213,248252.98120000,943212.65100000,BC,3180953,136,WELDON FARM ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,136,136,,,,,,,,,WELDON FARM,ROAD,RD,,,150033,,273,254,254,2014-03-10,-70.91073405504716,42.73801171164117,270100
M_249005_942197,249005.02540000,942197.31280000,PC,3179481,511,NEWBURYPORT TURNPIKE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,511,511,,,,,,,,,NEWBURYPORT,TURNPIKE,TPKE,,,149952,,273,254,254,2014-03-10,-70.90163736334458,42.72882489204008,270100
M_249593_941900,249593.14400000,941900.02120000,BC,3179438,2,BENNETT HILL ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,2,2,,,,,,,,,BENNETT HILL,ROAD,RD,,,149846,,273,254,254,2014-03-10,-70.89448230873201,42.726111421072325,270100
M_252038_942083,252037.57040000,942082.69940000,BMP,3179400,397,MAIN STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,397,397,,,,,,,,,MAIN,STREET,ST,,,149937,,273,254,254,2014-03-10,-70.86462104544654,42.72759576128357,270100
M_250184_940094,250183.90080000,940094.01740000,BC,3179167,68,HAVERHILL STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,68,68,,,,,,,,,HAVERHILL,STREET,ST,,,150053,,273,254,254,2014-03-10,-70.88742794845582,42.709816423259205,270100
M_245426_938808,245425.75600000,938808.40120000,BMP,3179966,13,NEWBURY ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,13,13,,,,,,,,,NEWBURY,ROAD,RD,,,149951,,273,254,254,2014-03-10,-70.94560873272167,42.698536670303845,270100
M_247001_938970,247001.18980000,938969.61720000,BMP,3179984,23,KATHLEEN CIRCLE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,23,23,,,,,,,,,KATHLEEN,CIRCLE,CIR,,,149921,,273,254,254,2014-03-10,-70.92636894475426,42.69989411955334,270100
M_250120_940729,250119.89720000,940729.31720000,BMP,3181231,96,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,96,96,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.88815355848888,42.71553931778032,270100
M_250717_940005,250717.25980000,940005.20160000,BC,3179217,6,MERRIFIELDS STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,6,6,,,,,,,,,MERRIFIELDS,STREET,ST,,,149943,,273,254,254,2014-03-10,-70.88092557362668,42.70898226816079,270100
M_251333_940538,251333.22200000,940538.20040000,BC,3180436,66,HAMMOND STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,66,66,,,,,,,,,HAMMOND,STREET,ST,,,149907,,273,254,254,2014-03-10,-70.87335937401825,42.71373965558815,270100
M_253471_943906,253471.46160000,943905.58020000,PC,3180825,57,PATMOS ROAD,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,57,57,,,,,,,,,PATMOS,ROAD,RD,,,149967,,273,254,254,2014-03-10,-70.84694349560633,42.74390707378868,270100
M_248100_941865,248100.16720000,941864.54140000,BC,3180379,399,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,399,399,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.91271351361154,42.72588601527533,270100
M_250866_940903,250866.27020000,940902.94540000,BC,3179615,11-15,CHURCH STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,11,11,,,15,15,,,,,CHURCH,STREET,ST,,,149863,,273,254,254,2017-06-05,-70.87902698274875,42.717053704950935,270100
M_246588_941889,246587.55980000,941888.77680000,BMP,3178957,623,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,623,623,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.93117939961165,42.72619645122441,270100
M_250866_940903,250866.27020000,940902.94540000,BC,3180587,15,CHURCH STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,15,15,,,,,,,,,CHURCH,STREET,ST,,,149863,,273,254,254,2017-06-05,-70.87902698274875,42.717053704950935,270100
M_249914_940066,249913.64120000,940065.65240000,BC,3179313,121,HAVERHILL STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,121,121,,,,,,,,,HAVERHILL,STREET,ST,,,150053,,273,254,254,2014-03-10,-70.890729245098,42.70957851544341,270100
M_248987_942107,248987.44720000,942107.31680000,BMP,3179151,497,NEWBURYPORT TURNPIKE,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,497,497,,,,,,,,,NEWBURYPORT,TURNPIKE,TPKE,,,149952,,273,254,254,2014-03-10,-70.90185969591205,42.72801589088394,270100
M_248599_941747,248599.25340000,941747.40800000,PC,3180033,320,WETHERSFIELD STREET,,,,,,,,01969,,ROWLEY,ROWLEY,MA,,320,320,,,,,,,,,WETHERSFIELD,STREET,ST,,,150037,,273,254,254,2014-03-10,-70.90662998735205,42.72480052810793,270100
M_248726_939739,248725.78160000,939739.37830000,BMP,3181456,281,HAVERHILL STREET,,MILL RIVER,,,2B,,,01969,,ROWLEY,ROWLEY,MA,,281,281,,,,,,,,,HAVERHILL,STREET,ST,,,150053,18870,273,254,254,2016-06-13,-70.90525614454751,42.7067169658638,270100
M_248726_939739,248725.78160000,939739.37830000,BMP,3181458,281,HAVERHILL STREET,,MILL RIVER,,,2D,,,01969,,ROWLEY,ROWLEY,MA,,281,281,,,,,,,,,HAVERHILL,STREET,ST,,,150053,18870,273,254,254,2016-06-13,-70.90525614454751,42.7067169658638,270100
M_248726_939739,248725.78160000,939739.37830000,BMP,4172863,279,HAVERHILL STREET,,MILL RIVER,,,,,,01969,,ROWLEY,ROWLEY,MA,,279,279,,,,,,,,,HAVERHILL,STREET,ST,,,150053,18870,273,254,254,2016-06-13,-70.90525614454751,42.7067169658638,270100
M_248726_939739,248725.78160000,939739.37830000,BMP,3181459,281,HAVERHILL STREET,,MILL RIVER,,,2E,,,01969,,ROWLEY,ROWLEY,MA,,281,281,,,,,,,,,HAVERHILL,STREET,ST,,,150053,18870,273,254,254,2016-06-13,-70.90525614454751,42.7067169658638,270100
M_248574_941222,248573.99640000,941221.54510000,BC,3179409,420,NEWBURYPORT TURNPIKE,,NORTH SHORE BUSINESS PARK,1,,,,,01969,,ROWLEY,ROWLEY,MA,,420,420,,,,,,,,,NEWBURYPORT,TURNPIKE,TPKE,,,149952,20278,273,254,254,2016-06-13,-70.90698298892424,42.720068472834186,270100
