ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_143306_936823,143306.47780000,936823.12500000,BMP,1051133,17,NORTH FITZWILLIAM ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,17,17,,,,,,,NORTH,,FITZWILLIAM,ROAD,RD,,,46226,,275,255,255,2013-12-23,-72.19170498018008,42.67992483377291,702200
M_147480_938568,147480.47040000,938567.90760000,BMP,1051163,95,DELAND ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,95,95,,,,,,,,,DELAND,ROAD,RD,,,46179,,275,255,255,2013-12-23,-72.14094098244978,42.695924366786365,702200
M_146257_936463,146256.65480000,936463.16840000,BC,1051146,58,WINCHENDON ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,58,58,,,,,,,,,WINCHENDON,ROAD,RD,,,46277,,275,255,255,2013-12-23,-72.1556782284857,42.676894360867216,702200
M_139530_936648,139530.25840000,936647.56700000,BMP,1051278,213,ATHOL-RICHMOND ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,213,213,,,,,,,,,ATHOL-RICHMOND,ROAD,RD,,,46159,,275,255,255,2013-12-23,-72.23775703607262,42.67805967323182,702200
M_147484_939024,147483.78140000,939024.34100000,BMP,1051139,46,TAFT HILL ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,46,46,,,,,,,,,TAFT HILL,ROAD,RD,,,46261,,275,255,255,2017-06-09,-72.14094243289553,42.70003326335825,702200
M_145958_938807,145957.51340000,938807.07420000,BMP,1051205,112,NORTHEAST FITZWILLIAM ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,112,112,,,,,,,NORTHEAST,,FITZWILLIAM,ROAD,RD,,,46228,,275,255,255,2013-12-23,-72.15954877470595,42.69797275718882,702200
M_146815_931374,146815.49340000,931373.83620000,BMP,1051587,3,PARK STREET,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,3,3,,,,,,,,,PARK,STREET,ST,,,46235,,275,255,255,2013-12-23,-72.14838858221604,42.631119620764785,702200
M_148912_939144,148912.06700000,939144.01010000,BC,4270257,32,TURNPIKE ROAD,,SAINT LAURENT CAMPERS ASSOCIATION,,,34,,,01368,,ROYALSTON,ROYALSTON,MA,,32,32,,,,,,,,,TURNPIKE,ROAD,RD,,,46268,17683,275,255,255,2017-06-13,-72.12352200312621,42.70120578801473,702200
M_147952_933586,147952.36880000,933586.07920000,BMP,1051021,41,NEALE ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,41,41,,,,,,,,,NEALE,ROAD,RD,,,46221,,275,255,255,2013-12-23,-72.13472979804916,42.65111088559901,702200
M_145103_935815,145103.08700000,935815.42680000,BMP,1051333,5,WOODS ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,5,5,,,,,,,,,WOODS,ROAD,RD,,,46278,,275,255,255,2013-12-23,-72.16968934089444,42.67098287875006,702200
M_149277_933889,149276.83080000,933888.81920000,BMP,1051341,6,LIBERTY LANE,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,6,6,,,,,,,,,LIBERTY,LANE,LN,,,46211,,275,255,255,2013-12-23,-72.11860510564723,42.653923697161225,702200
M_136954_940964,136953.63040000,940964.28280000,BC,1051752,182,BLISS HILL ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,182,182,,,,,,,,,BLISS HILL,ROAD,RD,,,46167,,275,255,255,2013-12-23,-72.26966655880548,42.71671204886618,702200
M_146278_932443,146278.27200000,932443.02440000,BC,1051273,2,SINIVOURI ROAD,,,,,,,,01368,,ROYALSTON,ROYALSTON,MA,,2,2,,,,,,,,,SINIVOURI,ROAD,RD,,,46252,,275,255,255,2013-12-23,-72.15503785626015,42.6407073526685,702200
M_139144_938515,139144.49280000,938515.49420000,BMP,1051774,186,WARWICK ROAD,,,,,2,,,01368,,ROYALSTON,ROYALSTON,MA,,186,186,,,,,,,,,WARWICK,ROAD,RD,,,46274,,275,255,255,2013-12-23,-72.24266172690795,42.69484394619054,702200
M_145097_935865,145097.28000000,935865.24940000,BC,1051787,7,WOODS ROAD,,,,,GARAGE,,,01368,,ROYALSTON,ROYALSTON,MA,,7,7,,,,,,,,,WOODS,ROAD,RD,,,46278,,275,255,255,2013-12-23,-72.16976495017398,42.671430958684525,702200
