ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_87692_883857,87691.64080000,883856.82500000,BMP,723313,63,RAYMUR DRIVE,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,63,63,,,,,,,,,RAYMUR,DRIVE,DR,,,28995,,276,256,256,2013-12-10,-72.8598601409032,42.19710068344515,813000
M_86949_881901,86949.43620000,881900.62880000,BC,723433,275,DICKINSON HILL ROAD,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,275,275,,,,,,,,,DICKINSON HILL,ROAD,RD,,,28954,,276,256,256,2013-12-10,-72.86846543707351,42.17938426538142,813000
M_87755_884277,87755.27580000,884276.87560000,BC,723067,417,HUNTINGTON ROAD,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,417,417,,,,,,,,,HUNTINGTON,ROAD,RD,,,28967,,276,256,256,2013-12-10,-72.85917080014866,42.20089107953888,813000
M_87982_878192,87982.05540000,878192.01460000,BC,723001,194,SOUTH QUARTER ROAD,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,194,194,,,,,,,SOUTH,,QUARTER,ROAD,RD,,,29008,,276,256,256,2013-12-10,-72.85525457450105,42.14614782948582,813000
M_88057_883060,88057.07300000,883059.89460000,BC,723616,101,MAIN STREET,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,101,101,,,,,,,,,MAIN,STREET,ST,,,28974,,276,256,256,2013-12-10,-72.85528282564933,42.18997912616371,813000
M_87657_883865,87657.32120000,883864.59020000,BMP,723584,61,RAYMUR DRIVE,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,61,61,,,,,,,,,RAYMUR,DRIVE,DR,,,28995,,276,256,256,2013-12-10,-72.86027712083313,42.19716565863359,813000
M_87883_883010,87882.66180000,883009.52000000,BC,723636,42,MAIN STREET,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,42,42,,,,,,,,,MAIN,STREET,ST,,,28974,,276,256,256,2013-12-10,-72.85738434525304,42.18950068859565,813000
M_88554_879024,88553.99980000,879023.71020000,BMP,722989,121,WESTWOOD DRIVE,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,121,121,,,,,,,,,WESTWOOD,DRIVE,DR,,,29028,,276,256,256,2013-12-10,-72.84849510077312,42.153716373765874,813000
M_88399_878478,88398.91360000,878478.48580000,BC,723217,708,GENERAL KNOX ROAD,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,708,708,,,,,,,,,GENERAL KNOX,ROAD,RD,,,28958,,276,256,256,2013-12-10,-72.85026690093254,42.14878616696213,813000
M_89146_877661,89145.75120000,877660.72100000,BC,723338,1273,GENERAL KNOX ROAD,,,,,,,,01071,,RUSSELL,RUSSELL,MA,,1273,1273,,,,,,,,,GENERAL KNOX,ROAD,RD,,,28958,,276,256,256,2013-12-10,-72.84107682167868,42.14153069782414,813000
