ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_250565_957007,250564.54820000,957006.81980000,BC,3182085,27,JAK-LEN DRIVE,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,27,27,,,,,,,,,JAK-LEN,DRIVE,DR,,,150169,,279,259,259,2014-03-10,-70.88128423335515,42.86203125165035,267102
M_255769_954495,255769.19600000,954495.26820000,BMP,3185628,10,BRISSETTE AVENUE,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,10,10,,,,,,,,,BRISSETTE,AVENUE,AVE,,,150094,,279,259,259,2014-03-10,-70.81784770469193,42.83906701260258,267101
M_251414_952293,251414.32900000,952292.87460000,BC,3183350,8,FRIEDENFELS STREET,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,8,8,,,,,,,,,FRIEDENFELS,STREET,ST,,,150146,,279,259,259,2014-03-10,-70.87131169198712,42.81954388926128,267102
M_255730_956756,255730.04060000,956756.33540000,BC,3187365,367,NORTH END BOULEVARD,,,,,B,,,01952,,SALISBURY,SALISBURY,MA,,367,367,,,,,,,NORTH,,END,BOULEVARD,BLVD,,,150215,,279,259,259,2014-03-10,-70.81810552619683,42.85942210631331,267101
M_255742_954201,255742.39520000,954201.05480000,BC,3184069,122,CABLE AVENUE,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,122,122,,,,,,,,,CABLE,AVENUE,AVE,,,150100,,279,259,259,2014-03-10,-70.81820427526286,42.83642066199163,267101
M_255769_957941,255768.72200000,957940.91340000,BMP,3185857,26,COMMONWEALTH AVENUE,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,26,26,,,,,,,,,COMMONWEALTH,AVENUE,AVE,,,150109,,279,259,259,2014-03-10,-70.81751628345371,42.87008186054128,267101
M_253087_954627,253087.39900000,954626.73600000,BC,3183424,7,SANDY LANE,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,7,7,,,,,,,,,SANDY,LANE,LN,,,150263,,279,259,259,2014-03-10,-70.85063711009661,42.84043880268904,267101
M_251205_958201,251204.95760000,958200.71480000,BC,3182341,9,JUNO STREET,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,9,9,,,,,,,,,JUNO,STREET,ST,,,150173,,279,259,259,2014-03-10,-70.87334103711919,42.872735617895735,267102
M_255739_955776,255739.00120000,955775.68620000,BC,3184131,173,NORTH END BOULEVARD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,173,173,,,,,,,NORTH,,END,BOULEVARD,BLVD,,,150215,,279,259,259,2014-03-10,-70.81809181637668,42.8505944792694,267101
M_252281_954563,252281.39080000,954562.82480000,BC,3183488,11,BRIDGE ROAD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,11,11,,,,,,,,,BRIDGE,ROAD,RD,,,150093,,279,259,259,2014-03-10,-70.86050165812777,42.839918337254744,267102
M_255805_955613,255804.89180000,955613.01240000,BMP,3183629,140,NORTH END BOULEVARD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,140,140,,,,,,,NORTH,,END,BOULEVARD,BLVD,,,150215,,279,259,259,2014-03-10,-70.81730167695234,42.84912547889548,267101
M_255730_956756,255730.04060000,956756.33540000,BC,3184282,367,NORTH END BOULEVARD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,367,367,,,,,,,NORTH,,END,BOULEVARD,BLVD,,,150215,,279,259,259,2014-03-10,-70.81810552619683,42.85942210631331,267101
M_253160_955815,253160.02220000,955815.29680000,BC,3185281,3,GAELIC WAY,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,3,3,,,,,,,,,GAELIC,WAY,WAY,,,150148,,279,259,259,2014-03-10,-70.84963797055508,42.851132318558584,267102
M_255789_955999,255789.13300000,955999.07140000,BC,3186102,222,NORTH END BOULEVARD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,222,222,,,,,,,NORTH,,END,BOULEVARD,BLVD,,,150215,,279,259,259,2014-03-10,-70.81745666436866,42.85260159884718,267101
M_252268_953995,252267.64880000,953995.22820000,PC,3183843,45,BRIDGE ROAD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,45,45,,,,,,,,,BRIDGE,ROAD,RD,,,150093,,279,259,259,2014-03-10,-70.86072177571822,42.834810182325356,267102
M_250058_956626,250057.54920000,956625.87680000,BC,3185174,19,FANARAS DRIVE,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,19,19,,,,,,,,,FANARAS,DRIVE,DR,,,150134,,279,259,259,2014-03-10,-70.88752120886542,42.85863524552296,267102
M_251691_954119,251691.19440000,954119.32180000,BMP,3182699,39,MUDNOCK ROAD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,39,39,,,,,,,,,MUDNOCK,ROAD,RD,,,150208,,279,259,259,2014-03-10,-70.8677607983593,42.83596585760597,267102
M_255718_955393,255718.36060000,955392.52520000,BC,3186513,101,NORTH END BOULEVARD,,,,,1,,,01952,,SALISBURY,SALISBURY,MA,,101,101,,,,,,,NORTH,,END,BOULEVARD,BLVD,,,150215,,279,259,259,2014-03-10,-70.81838178027542,42.8471470621387,267101
M_253621_954397,253620.83520000,954397.22680000,BMP,3183396,9,DOCK LANE,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,9,9,,,,,,,,,DOCK,LANE,LN,,,150123,,279,259,259,2014-03-10,-70.84413398235742,42.838336197165674,267101
M_255718_955393,255718.36060000,955392.52520000,BC,3181892,101,NORTH END BOULEVARD,,,,,,,,01952,,SALISBURY,SALISBURY,MA,,101,101,,,,,,,NORTH,,END,BOULEVARD,BLVD,,,150215,,279,259,259,2014-03-10,-70.81838178027542,42.8471470621387,267101
