ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_68179_873392,68179.28820000,873391.65520000,BC,724516,47,SANDISFIELD ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,47,47,,,,,,,,,SANDISFIELD,ROAD,RD,,,29127,,280,260,260,2013-12-10,-73.0937027027313,42.09985389201256,933400
M_65430_877554,65429.76620000,877554.38280000,BC,723987,64,TOWN HILL ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,64,64,,,,,,,,,TOWN HILL,ROAD,RD,,,29160,,280,260,260,2013-12-10,-73.12789662563769,42.13685757553072,933400
M_67965_873506,67965.18700000,873506.19620000,BMP,723981,55,SANDISFIELD ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,55,55,,,,,,,,,SANDISFIELD,ROAD,RD,,,29127,,280,260,260,2013-12-10,-73.09631647999808,42.10084890527581,933400
M_65358_869101,65357.79340000,869101.11760000,BMP,724602,158,NEW HARTFORD ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,158,158,,,,,,,,,NEW HARTFORD,ROAD,RD,,,29038,,280,260,260,2013-12-10,-73.12681695765059,42.06075250999554,933400
M_69682_872732,69682.30980000,872731.74480000,BC,724388,0,TANNERY ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,0,0,,,,,,,,,TANNERY,ROAD,RD,,,29157,,280,260,260,2013-12-10,-73.07538809955574,42.09416497096216,933400
M_67557_873029,67556.66740000,873028.81520000,BC,724040,27,SILVERBROOK ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,27,27,,,,,,,,,SILVERBROOK,ROAD,RD,,,29137,,280,260,260,2013-12-10,-73.10114604219937,42.09648276283741,933400
M_69524_872699,69524.34320000,872698.59020000,BC,724585,101,NORTH MAIN STREET,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,101,101,,,,,,,NORTH,,MAIN,STREET,ST,,,29101,,280,260,260,2013-12-10,-73.0772898847828,42.09384024169804,933400
M_65466_876580,65465.91980000,876579.65880000,BC,724552,35,TOWN HILL ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,35,35,,,,,,,,,TOWN HILL,ROAD,RD,,,29160,,280,260,260,2013-12-10,-73.12723446149093,42.12808977841058,933400
M_64277_872226,64276.70760000,872226.31060000,BC,723912,25,SOUTH SANDISFIELD ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,25,25,,,,,,,SOUTH,,SANDISFIELD,ROAD,RD,,,29144,,280,260,260,2013-12-10,-73.14060218818395,42.088697812958365,933400
M_61793_876383,61793.21360000,876382.53860000,BMP,723804,22,BOSWORTH ROAD,,,,,,,,01255,,SANDISFIELD,SANDISFIELD,MA,,22,22,,,,,,,,,BOSWORTH,ROAD,RD,,,29053,,280,260,260,2013-12-10,-73.17159912305073,42.12567602570907,933400
