ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_281535_825501,281535.47020000,825500.93280000,BC,1890423,1,FOREST ROAD,,,,,,,,02644,,SANDWICH,SANDWICH,MA,,1,1,,,,,,,,,FOREST,ROAD,RD,,,89563,,281,261,261,2014-02-09,-70.52081827548024,41.67554849895992,013600
M_281826_838014,281825.85580000,838014.24280000,BC,1896863,250,PHILLIPS ROAD,,,,,,,,02563,,SANDWICH,SANDWICH,MA,,250,250,,,,,,,,,PHILLIPS,ROAD,RD,,,89225,,281,261,261,2014-02-09,-70.51559700548566,41.788174593723376,013300
M_281348_835555,281348.43700000,835555.44300000,BC,1887924,12,MAIN STREET,,,,,,,,02563,,SANDWICH,SANDWICH,MA,,12,12,,,,,,,,,MAIN,STREET,ST,,,89757,,281,261,261,2014-02-09,-70.52167933463119,41.76608773263208,013300
M_289560_828947,289560.41620000,828946.56440000,PC,1895149,157,GREAT HILL ROAD,,,,,,,,02563,,SANDWICH,SANDWICH,MA,,157,157,,,,,,,,,GREAT HILL,ROAD,RD,,,89605,,281,261,261,2014-02-09,-70.4239322668224,41.70569859150333,013500
M_280526_824997,280525.77040000,824997.32760000,PC,1898547,46,FARMVIEW DRIVE,,,,,,,,02644,,SANDWICH,SANDWICH,MA,,46,46,,,,,,,,,FARMVIEW,DRIVE,DR,,,89550,,281,261,261,2014-02-09,-70.53301155212924,41.67111828406771,013600
M_286121_825170,286120.55860000,825170.32480000,BC,1895216,2,BOURNE HAY ROAD,,,,,,,,02563,,SANDWICH,SANDWICH,MA,,2,2,,,,,,,,,BOURNE HAY,ROAD,RD,,,89390,,281,261,261,2014-02-09,-70.46580808721279,41.67208486131797,013500
M_283370_833879,283369.69880000,833879.09240000,PC,1890153,40,WATER STREET,,,,,,,,02563,,SANDWICH,SANDWICH,MA,,40,40,,,,,,,,,WATER,STREET,ST,,,90028,,281,261,261,2014-02-09,-70.4976101570936,41.75078443738172,013300
M_284743_832409,284742.83980000,832408.85020000,PC,1897074,387,SERVICE ROAD,,,,,,,,02563,,SANDWICH,SANDWICH,MA,,387,387,,,,,,,,,SERVICE,ROAD,RD,,,89921,,281,261,261,2014-02-09,-70.48131295808817,41.73740156935633,013600
M_289776_829849,289776.22020000,829849.19280000,BC,1897099,46,CHASE ROAD,,,,,,,,02537,,SANDWICH,SANDWICH,MA,,46,46,,,,,,,,,CHASE,ROAD,RD,,,89455,,281,261,261,2014-02-09,-70.42120250170005,41.713800226577774,013500
M_281949_826252,281948.99500000,826251.72160000,BMP,1896987,3,PETER LANE,,,,,,,,02644,,SANDWICH,SANDWICH,MA,,3,3,,,,,,,,,PETER,LANE,LN,,,89222,,281,261,261,2014-02-09,-70.51574854478321,41.682264941001314,013600
M_285741_830015,285741.13620000,830015.09740000,BC,1890540,9,COURTLAND DRIVE,,,,,,,,02537,,SANDWICH,SANDWICH,MA,,9,9,,,,,,,,,COURTLAND,DRIVE,DR,,,89480,,281,261,261,2014-02-09,-70.46966125011744,41.71574299461742,013600
