ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_77882_923168,77882.12840000,923167.62140000,BMP,724802,604,LOOP ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,604,604,,,,,,,,,LOOP,ROAD,RD,,,29201,,283,263,263,2013-12-11,-72.98691013305034,42.549482782200016,931300
M_77152_923653,77151.66260000,923652.59020000,BMP,724883,1069,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,1069,1069,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2013-12-11,-72.99590603411262,42.55373299764389,931300
M_78270_922533,78270.45460000,922533.38300000,BC,724992,1282,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,1282,1282,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2013-12-11,-72.98204864940745,42.54383484326196,931300
M_70723_926834,70723.09550000,926833.51080000,ABC,725094,96,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,96,96,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2016-05-04,-73.07488349111954,42.5813222976348,931300
M_77385_927745,77384.86920000,927745.48620000,BC,724731,451,CHAPEL ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,451,451,,,,,,,,,CHAPEL,ROAD,RD,,,29187,,283,263,263,2013-12-11,-72.99393971476987,42.59060958329195,931300
M_73523_925558,73523.31480000,925557.95180000,BC,724920,521,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,521,521,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2013-12-11,-73.04049740593399,42.570301601361265,931300
M_73376_928983,73376.10460000,928983.52660000,BC,724921,525,CENTER ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,525,525,,,,,,,,,CENTER,ROAD,RD,,,29186,,283,263,263,2016-05-04,-73.04304476956668,42.60111052019505,931300
M_77524_925852,77524.55060000,925852.61800000,BC,724859,53,HAWLEY ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,53,53,,,,,,,,,HAWLEY,ROAD,RD,,,29196,,283,263,263,2013-12-11,-72.99183486058678,42.57359409391476,931300
M_77015_925620,77014.63200000,925620.16380000,PC,725082,53,CHAPEL ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,53,53,,,,,,,,,CHAPEL,ROAD,RD,,,29187,,283,263,263,2016-05-04,-72.99799502220506,42.571421345707016,931300
M_75827_924059,75827.23980000,924059.05740000,BMP,724810,8,LOOP ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,8,8,,,,,,,,,LOOP,ROAD,RD,,,29201,,283,263,263,2013-12-11,-73.01211770890704,42.55718135964307,931300
M_77781_927168,77780.78740000,927167.69520000,BC,724689,50,SCOTT ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,50,50,,,,,,,,,SCOTT,ROAD,RD,,,29216,,283,263,263,2013-12-11,-72.98899395923644,42.585471276934115,931300
M_71740_926857,71739.92160000,926857.30780000,BMP,724720,227,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,227,227,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2013-12-11,-73.06250435395573,42.58170482700115,931300
M_73180_924502,73180.09860000,924502.48720000,BMP,725115,155,WINDSOR ROAD,,,,,,,,01256,SAVOY,SAVOY,SAVOY,MA,,155,155,,,,,,,,,WINDSOR,ROAD,RD,,,29232,,283,263,263,2013-12-11,-73.04444414731647,42.56074566337531,931300
M_77926_925665,77926.06660000,925665.06780000,BMP,724759,100,HAWLEY ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,100,100,,,,,,,,,HAWLEY,ROAD,RD,,,29196,,283,263,263,2013-12-11,-72.9869052932395,42.5719690809811,931300
M_77160_925348,77160.22480000,925347.56500000,BMP,725117,17,CHAPEL ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,17,17,,,,,,,,,CHAPEL,ROAD,RD,,,29187,,283,263,263,2013-12-11,-72.9961637911574,42.56899071094622,931300
M_78437_929395,78437.03620000,929395.36040000,BMP,724704,142,BRIER ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,142,142,,,,,,,,,BRIER,ROAD,RD,,,29181,,283,263,263,2013-12-11,-72.98147183550574,42.605625060377776,931300
M_77530_925656,77530.49360000,925656.39140000,BMP,724794,46,HAWLEY ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,46,46,,,,,,,,,HAWLEY,ROAD,RD,,,29196,,283,263,263,2013-12-11,-72.99172068863614,42.57182881048912,931300
M_72386_926427,72385.70480000,926426.65780000,BMP,724850,325,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,325,325,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2013-12-11,-73.05454336280778,42.57793486323648,931300
M_74825_924856,74825.20260000,924856.46700000,BMP,724746,719,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,719,719,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2013-12-11,-73.02449099719371,42.56419819848401,931300
M_77479_929653,77478.53200000,929652.51560000,BC,724875,30,BLACK BROOK ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,30,30,,,,,,,,,BLACK BROOK,ROAD,RD,,,29179,,283,263,263,2013-12-11,-72.99320548021475,42.607789218275485,931300
M_77525_925127,77525.03840000,925127.45160000,BMP,725017,331,LOOP ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,331,331,,,,,,,,,LOOP,ROAD,RD,,,29201,,283,263,263,2013-12-11,-72.99167446205816,42.56706700461615,931300
M_74784_924810,74783.88630000,924809.99470000,BC,725088,720,MAIN ROAD,,,SAVOY TOWN HALL/LIBRARY,,,,,01256,,SAVOY,SAVOY,MA,,720,720,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2015-10-27,-73.024983959015,42.56377325861685,931300
M_77866_923944,77866.04860000,923944.46380000,BMP,725080,497,LOOP ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,497,497,,,,,,,,,LOOP,ROAD,RD,,,29201,,283,263,263,2013-12-11,-72.98727079471715,42.556472597583266,931300
M_72663_923997,72663.36720000,923997.44380000,PC,724719,217B,DALTON ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,217,217,B,,,,,,,,DALTON,ROAD,RD,,,29189,,283,263,263,2013-12-11,-73.05062384611915,42.556115451516106,931300
M_74931_924362,74930.73280000,924362.49220000,PC,724711,14,GRIFFIN HILL ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,14,14,,,,,,,,,GRIFFIN HILL,ROAD,RD,,,29192,,283,263,263,2013-12-11,-73.02309861382108,42.55976895974611,931300
M_76634_924045,76633.73720000,924044.95520000,BMP,724770,1029,MAIN ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,1029,1029,,,,,,,,,MAIN,ROAD,RD,,,29203,,283,263,263,2013-12-11,-73.00229557460868,42.55718271283121,931300
M_77797_923679,77796.94080000,923678.63740000,BMP,724869,532,LOOP ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,532,532,,,,,,,,,LOOP,ROAD,RD,,,29201,,283,263,263,2013-12-11,-72.98805570809242,42.55406905247932,931300
M_78064_923481,78064.22400000,923481.33180000,BMP,724868,521,LOOP ROAD,,SHADY PINES CAMPGROUND,,,,,,01256,,SAVOY,SAVOY,MA,,521,521,,,,,,,,,LOOP,ROAD,RD,,,29201,17780,283,263,263,2016-05-04,-72.98475986496717,42.55233503856986,931300
M_73110_924708,73110.04200000,924707.88020000,BC,725118,17,JACKSON ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,17,17,,,,,,,,,JACKSON,ROAD,RD,,,29200,,283,263,263,2013-12-11,-73.0453424398956,42.562582951608015,931300
M_77686_924764,77686.39000000,924764.34080000,BC,724941,0,HORTON ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,0,0,,,,,,,,,HORTON,ROAD,RD,,,29197,,283,263,263,2013-12-11,-72.98963246485779,42.56382405095688,931300
M_72989_924644,72989.10080000,924644.43460000,BC,725018,35,JACKSON ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,35,35,,,,,,,,,JACKSON,ROAD,RD,,,29200,,283,263,263,2013-12-11,-73.0468010014159,42.56199215430487,931300
M_77724_923929,77724.10600000,923929.40380000,BMP,725081,500,LOOP ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,500,500,,,,,,,,,LOOP,ROAD,RD,,,29201,,283,263,263,2013-12-11,-72.98899573079785,42.55631475055138,931300
M_76065_926598,76065.05440000,926598.36020000,BMP,724866,92,TILTON ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,92,92,,,,,,,,,TILTON,ROAD,RD,,,29224,,283,263,263,2013-12-11,-73.00976960028078,42.58007526803155,931300
M_73839_925765,73839.38900000,925765.14520000,BMP,724987,95,CENTER ROAD,,,,,,,,01256,,SAVOY,SAVOY,MA,,95,95,,,,,,,,,CENTER,ROAD,RD,,,29186,,283,263,263,2013-12-11,-73.03669388864361,42.572217837567784,931300
