ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_262357_881190,262356.64460000,881189.91660000,PC,4192457,348,DRIFTWAY,,,,,,,,02066,,SCITUATE,SCITUATE,MA,,348,348,,,,,,,,,DRIFTWAY,,,,,170859,,284,264,264,2015-01-22,-70.74521030571604,42.17866655957553,505200
M_263951_881335,263951.32540000,881335.18650000,BC,3766540,50,NEW KENT STREET,,FAIRWAY VILLAGE,,,,,,02066,,SCITUATE,SCITUATE,MA,,50,50,,,,,,,,,NEW KENT,STREET,ST,,,171048,21292,284,264,264,2017-01-26,-70.72589274197763,42.17984571602331,505200
M_262259_881202,262258.96440000,881201.94160000,BC,4206062,347,DRIFTWAY,,,,,,,,02066,,SCITUATE,SCITUATE,MA,,347,347,,,,,,,,,DRIFTWAY,,,,,170859,,284,264,264,2015-01-22,-70.74639131825413,42.17878259354198,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774292,146,FRONT STREET,,,,,204,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3765232,146,FRONT STREET,,,,,,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_260889_887674,260888.79300000,887674.20520000,BC,4206554,16A,CHERRY LANE,,,,,,,,02066,,SCITUATE,SCITUATE,MA,,16,16,A,,,,,,,,CHERRY,LANE,LN,,,171409,,284,264,264,2015-01-22,-70.76229806306671,42.23715835815079,505101
M_258961_885678,258961.32600000,885678.15900000,BC,4206420,380,GANNETT ROAD,,,,,,,,02066,,SCITUATE,SCITUATE,MA,,380,380,,,,,,,,,GANNETT,ROAD,RD,,,170899,,284,264,264,2015-01-22,-70.78585177059472,42.21933624132841,505101
M_258961_885678,258961.32600000,885678.15900000,BC,4196570,372,GANNETT ROAD,,,,,,,,02066,,SCITUATE,SCITUATE,MA,,372,372,,,,,,,,,GANNETT,ROAD,RD,,,170899,,284,264,264,2015-01-22,-70.78585177059472,42.21933624132841,505101
M_264041_883133,264040.92520000,883132.57190000,BC,3774291,146,FRONT STREET,,,,,203,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774294,146,FRONT STREET,,,,,208,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774299,146,FRONT STREET,,,,,5,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774288,146,FRONT STREET,,,,,103,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774289,146,FRONT STREET,,,,,104,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774300,146,FRONT STREET,,,,,7,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3770170,162,FRONT STREET,,,,,,,,02066,,SCITUATE,SCITUATE,MA,,162,162,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774302,146-164,FRONT STREET,,,,,146,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,164,164,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774287,146,FRONT STREET,,,,,101,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
M_264041_883133,264040.92520000,883132.57190000,BC,3774298,146,FRONT STREET,,,,,3C,,,02066,,SCITUATE,SCITUATE,MA,,146,146,,,,,,,,,FRONT,STREET,ST,,,170897,,284,264,264,2017-01-25,-70.72461045377503,42.19601974061927,505200
