ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_213803_846709,213816.33020000,846719.44120000,ABC,4237517,964,NEWMAN AVENUE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,964,964,,,,,,,,,NEWMAN,AVENUE,AVE,,,150625,,285,265,265,2016-06-21,-71.33357161870563,41.87068145015853,632100
M_214659_843232,214658.86560000,843231.98910000,BC,3194867,86,GREENWOOD AVENUE,,,,,1,,,02771,,SEEKONK,SEEKONK,MA,,86,86,,,,,,,,,GREENWOOD,AVENUE,AVE,,,150812,,285,265,265,2017-06-08,-71.32350957943785,41.839267166430204,632100
M_213356_842412,213355.78540000,842412.00730000,BC,3194457,116,LEDGE ROAD,,,,,A,,,02771,,SEEKONK,SEEKONK,MA,,116,116,,,,,,,,,LEDGE,ROAD,RD,,,150571,,285,265,265,2017-06-08,-71.33921702926476,41.83190770197502,632100
M_213356_842412,213355.78540000,842412.00730000,BC,3194458,116,LEDGE ROAD,,,,,B,,,02771,,SEEKONK,SEEKONK,MA,,116,116,,,,,,,,,LEDGE,ROAD,RD,,,150571,,285,265,265,2017-06-08,-71.33921702926476,41.83190770197502,632100
M_214659_843232,214658.86560000,843231.98910000,BC,3194868,86,GREENWOOD AVENUE,,,,,2,,,02771,,SEEKONK,SEEKONK,MA,,86,86,,,,,,,,,GREENWOOD,AVENUE,AVE,,,150812,,285,265,265,2017-06-08,-71.32350957943785,41.839267166430204,632100
M_213356_842412,213355.78540000,842412.00730000,BC,3192307,116,LEDGE ROAD,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,116,116,,,,,,,,,LEDGE,ROAD,RD,,,150571,,285,265,265,2017-06-08,-71.33921702926476,41.83190770197502,632100
M_214659_843232,214658.86560000,843231.98910000,BC,3189706,86,GREENWOOD AVENUE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,86,86,,,,,,,,,GREENWOOD,AVENUE,AVE,,,150812,,285,265,265,2017-06-08,-71.32350957943785,41.839267166430204,632100
M_215873_836613,215872.69020000,836612.96480000,BMP,3192057,38,JANE HOWLAND PLACE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,38,38,,,,,,,,,JANE HOWLAND,PLACE,PL,,,150549,,285,265,265,2014-03-10,-71.30907375241226,41.77964954667115,632200
M_212869_841602,212868.58400000,841602.41720000,BC,3188873,29,GUDE STREET,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,29,29,,,,,,,,,GUDE,STREET,ST,,,150510,,285,265,265,2014-03-10,-71.34509986579401,41.8246267152804,632200
M_215643_840302,215643.02100000,840302.26620000,BMP,3191346,10,PIMENTAL DRIVE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,10,10,,,,,,,,,PIMENTAL,DRIVE,DR,,,150658,,285,265,265,2014-03-10,-71.31173839531805,41.81287061878215,632200
M_215048_849483,215048.27600000,849482.69140000,BC,3192969,67,CHERRY HILL DRIVE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,67,67,,,,,,,,,CHERRY HILL,DRIVE,DR,,,150415,,285,265,265,2014-03-10,-71.31866115711564,41.895537518495374,632100
M_215173_839500,215173.44980000,839499.98560000,BC,3192471,259,OLNEY STREET,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,259,259,,,,,,,,,OLNEY,STREET,ST,,,150640,,285,265,265,2014-03-10,-71.31741027130323,41.805656512885086,632200
M_216688_847076,216688.16240000,847075.51620000,BMP,3188832,975,PINE STREET,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,975,975,,,,,,,,,PINE,STREET,ST,,,150662,,285,265,265,2014-03-10,-71.29896818710031,41.873831646726956,632100
M_215609_839012,215608.74560000,839011.74320000,BC,3192323,120,FIELDWOOD AVENUE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,120,120,,,,,,,,,FIELDWOOD,AVENUE,AVE,,,150485,,285,265,265,2014-03-10,-71.31218509223858,41.80125213367382,632200
M_215620_838481,215619.58440000,838481.22320000,BC,3188934,83,JAMES STREET,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,83,83,,,,,,,,,JAMES,STREET,ST,,,150547,,285,265,265,2014-03-10,-71.31206873773598,41.79647540376318,632200
M_214729_847200,214728.64660000,847200.04180000,BC,3190448,51,TURNSTONE LANE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,51,51,,,,,,,,,TURNSTONE,LANE,LN,,,150750,,285,265,265,2014-03-10,-71.32257005040296,41.874991942265936,632100
M_215509_839297,215509.36100000,839297.36740000,BC,3191178,77,MAYFLOWER DRIVE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,77,77,,,,,,,,,MAYFLOWER,DRIVE,DR,,,150600,,285,265,265,2014-03-10,-71.31337343094016,41.803825702986856,632200
M_214895_842609,214895.34340000,842608.86020000,BC,3190781,150,HOPE STREET,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,150,150,,,,,,,,,HOPE,STREET,ST,,,150531,,285,265,265,2014-03-10,-71.32067820506232,41.83365242124549,632200
M_215775_837352,215774.97140000,837352.23600000,BC,3194340,48,WESTBROOK DRIVE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,48,48,,,,,,,,,WESTBROOK,DRIVE,DR,,,150774,,285,265,265,2014-03-10,-71.31022938472273,41.7863075128033,632200
M_213606_841894,213605.69020000,841893.72920000,BC,3189245,13,EVELYN WAY,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,13,13,,,,,,,,,EVELYN,WAY,WAY,,,150475,,285,265,265,2014-03-10,-71.3362205500405,41.82723713107139,632200
M_214044_841414,214044.30300000,841413.94300000,BC,3193333,703,ARCADE AVENUE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,703,703,,,,,,,,,ARCADE,AVENUE,AVE,,,150350,,285,265,265,2014-03-10,-71.33095217765654,41.82290969537416,632200
M_213992_845558,213992.33480000,845558.44460000,BMP,3193703,650,NEWMAN AVENUE,,,DR. KEVIN M. HURLEY MIDDLE SCHOOL,,,,,02771,,SEEKONK,SEEKONK,MA,,650,650,,,,,,,,,NEWMAN,AVENUE,AVE,,,150625,,285,265,265,2014-03-10,-71.3314791432581,41.86022539252027,632100
M_213816_841444,213815.83300000,841443.71860000,BC,3193026,11,DENISE DRIVE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,11,11,,,,,,,,,DENISE,DRIVE,DR,,,150448,,285,265,265,2014-03-10,-71.33370150908809,41.82318182217623,632200
M_213452_842280,213451.65520000,842279.86980000,BC,3190202,32,QUARRY STREET,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,32,32,,,,,,,,,QUARRY,STREET,ST,,,150673,,285,265,265,2014-03-10,-71.3380659281108,41.83071637604013,632200
M_216352_841127,216351.65560000,841127.39220000,BC,3190264,461,LINCOLN STREET,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,461,461,,,,,,,,,LINCOLN,STREET,ST,,,150576,,285,265,265,2014-03-10,-71.30318719187898,41.820285196650076,632200
M_213730_839661,213729.92340000,839661.27780000,BC,3190281,709,FALL RIVER AVENUE,,,,,,,,02771,,SEEKONK,SEEKONK,MA,,709,709,,,,,,,,,FALL RIVER,AVENUE,AVE,,,150479,,285,265,265,2014-03-10,-71.33477714281602,41.80713519897911,632200
