ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_224893_877381,224893.83900000,877381.88440000,BC,3201710,8122,AVALON DRIVE,,AVALON SHARON,,,,,,02067,,SHARON,SHARON,MA,,8122,8122,,,,,,,,,AVALON,DRIVE,DR,,,151144,15858,286,266,266,2014-10-21,-71.19883118759789,42.146470660447314,414100
M_221654_873167,221653.74800000,873166.70060000,BMP,3198914,308,SOUTH WALPOLE STREET,,,,,,,,02067,,SHARON,SHARON,MA,,308,308,,,,,,,SOUTH,,WALPOLE,STREET,ST,,,151055,,286,266,266,2014-03-11,-71.23818648312216,42.10861709391537,414100
M_229031_873998,229030.98560000,873997.50100000,BC,3195436,40,WILSHIRE DRIVE,,,,,,,,02067,,SHARON,SHARON,MA,,40,40,,,,,,,,,WILSHIRE,DRIVE,DR,,,151111,,286,266,266,2014-03-11,-71.14894850453123,42.11585829233507,414200
M_225495_872074,225494.74280000,872074.23000000,BMP,3197996,35,MOHAWK STREET,,,,,,,,02067,,SHARON,SHARON,MA,,35,35,,,,,,,,,MOHAWK,STREET,ST,,,150948,,286,266,266,2014-03-11,-71.19179346350805,42.0986658577246,414300
M_228326_873684,228326.21900000,873684.22380000,BC,3200312,19,TAMARACK WAY,,,,,,,,02067,,SHARON,SHARON,MA,,19,19,,,,,,,,,TAMARACK,WAY,WAY,,,151074,,286,266,266,2014-03-11,-71.15748587552224,42.113063617284325,414200
M_228063_874407,228063.35100000,874406.86320000,BC,3200492,235,EAST STREET,,,,,,,,02067,,SHARON,SHARON,MA,,235,235,,,,,,,,,EAST,STREET,ST,,,151272,,286,266,266,2014-03-11,-71.16062961523878,42.11957908601475,414200
M_227177_869793,227177.27700000,869792.88920000,BC,3201231,2,THORNY LEA ROAD,,,,,,,,02067,,SHARON,SHARON,MA,,2,2,,,,,,,,,THORNY LEA,ROAD,RD,,,151079,,286,266,266,2014-03-11,-71.1715596591828,42.07807003666408,414200
M_224893_877381,224893.83900000,877381.88440000,BC,3200856,8121,AVALON DRIVE,,AVALON SHARON,,,,,,02067,,SHARON,SHARON,MA,,8121,8121,,,,,,,,,AVALON,DRIVE,DR,,,151144,15858,286,266,266,2014-10-21,-71.19883118759789,42.146470660447314,414100
M_228132_874575,228132.41980000,874575.35800000,BC,3195236,246,EAST STREET,,,,,,,,02067,,SHARON,SHARON,MA,,246,246,,,,,,,,,EAST,STREET,ST,,,151272,,286,266,266,2014-03-11,-71.15978624718147,42.12109358679801,414200
M_225005_877458,225005.71160000,877458.47680000,BC,3199025,4314,AVALON DRIVE,,AVALON SHARON,,,,,,02067,,SHARON,SHARON,MA,,4314,4314,,,,,,,,,AVALON,DRIVE,DR,,,151144,15858,286,266,266,2014-10-21,-71.19747446354789,42.14715666461853,414100
M_223208_872196,223207.82320000,872196.07140000,BC,3201115,15,LAUREL ROAD,,,,,,,,02067,,SHARON,SHARON,MA,,15,15,,,,,,,,,LAUREL,ROAD,RD,,,150899,,286,266,266,2014-03-11,-71.2194350333602,42.099833877109084,414100
M_225005_877458,225005.71160000,877458.47680000,BC,3200718,4324,AVALON DRIVE,,AVALON SHARON,,,,,,02067,,SHARON,SHARON,MA,,4324,4324,,,,,,,,,AVALON,DRIVE,DR,,,151144,15858,286,266,266,2014-10-21,-71.19747446354789,42.14715666461853,414100
M_229071_872645,229071.17520000,872644.86520000,BC,3197875,29,MAGNOLIA ROAD,,,,,,,,02067,,SHARON,SHARON,MA,,29,29,,,,,,,,,MAGNOLIA,ROAD,RD,,,150916,,286,266,266,2014-03-11,-71.14852992319018,42.10367885468763,414200
M_225005_877458,225005.71160000,877458.47680000,BC,3198081,4233,AVALON DRIVE,,AVALON SHARON,,,,,,02067,,SHARON,SHARON,MA,,4233,4233,,,,,,,,,AVALON,DRIVE,DR,,,151144,15858,286,266,266,2014-10-21,-71.19747446354789,42.14715666461853,414100
M_225005_877458,225005.71160000,877458.47680000,BC,3197211,4114,AVALON DRIVE,,AVALON SHARON,,,,,,02067,,SHARON,SHARON,MA,,4114,4114,,,,,,,,,AVALON,DRIVE,DR,,,151144,15858,286,266,266,2014-10-21,-71.19747446354789,42.14715666461853,414100
M_226864_874970,226863.50280000,874969.74640000,BC,3195534,51,SUMMIT AVENUE,,,,,,,,02067,,SHARON,SHARON,MA,,51,51,,,,,,,,,SUMMIT,AVENUE,AVE,,,151069,,286,266,266,2014-03-11,-71.17511332099123,42.12468885123464,414300
M_225669_873223,225668.95340000,873223.46300000,BMP,3198988,48,EAST FOXBORO STREET,,,,,,,,02067,,SHARON,SHARON,MA,,48,48,,,,,,,EAST,,FOXBORO,STREET,ST,,,151271,,286,266,266,2014-03-11,-71.18963689400589,42.10900688618057,414300
