ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_49996_869998,49995.51920000,869998.01520000,BC,726338,177,POLIKOFF ROAD,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,177,177,,,,,,,,,POLIKOFF,ROAD,RD,,,29348,,287,267,267,2013-12-11,-73.31260916590554,42.066037486015134,926100
M_47149_878282,47149.31900000,878282.06080000,BC,726504,1170,BOARDMAN STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,1170,1170,,,,,,,,,BOARDMAN,STREET,ST,,,29250,,287,267,267,2013-12-11,-73.34916093686752,42.140053296435056,926100
M_47067_873232,47067.12140000,873231.80380000,BC,726891,495,SOUTH MAIN STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,495,495,,,,,,,SOUTH,,MAIN,STREET,ST,,,29371,,287,267,267,2013-12-11,-73.34883093627951,42.09457951565743,926100
M_50466_869065,50466.35880000,869064.60760000,BC,725689,140,BUNCE ROAD,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,140,140,,,,,,,,,BUNCE,ROAD,RD,,,29256,,287,267,267,2013-12-11,-73.3066825170426,42.05772559556701,926100
M_47843_870352,47842.82720000,870351.51560000,BMP,726293,334,WEST STAHL ROAD,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,334,334,,,,,,,WEST,,STAHL,ROAD,RD,,,29408,,287,267,267,2013-12-11,-73.33870571752983,42.06880461087191,926100
M_45008_874499,45007.65020000,874498.57340000,BMP,726624,491,BERKSHIRE SCHOOL ROAD,,,MOUNT EVERETT/UNDERMOUNTAIN SCHOOLS,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,491,491,,,,,,,,,BERKSHIRE SCHOOL,ROAD,RD,,,29247,,287,267,267,2013-12-11,-73.37405668521927,42.105577183280154,926100
M_45031_868778,45031.39280000,868778.17520000,BMP,726851,1669,SILVER STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,1669,1669,,,,,,,,,SILVER,STREET,ST,,,29365,,287,267,267,2013-12-11,-73.37225172468871,42.05409218724635,926100
M_48470_868143,48469.80500000,868143.33560000,BC,725327,1460,ASHLEY FALLS ROAD,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,1460,1460,,,,,,,,,ASHLEY FALLS,ROAD,RD,,,29240,,287,267,267,2013-12-11,-73.33055890276808,42.04904978758659,926100
M_44934_873807,44933.68060000,873806.58960000,BC,725359,538,SALISBURY ROAD,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,538,538,,,,,,,,,SALISBURY,ROAD,RD,,,29357,,287,267,267,2013-12-11,-73.37476691217148,42.099333978579885,926100
M_46120_872162,46119.85920000,872162.11580000,BMP,726003,465,SILVER STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,465,465,,,,,,,,,SILVER,STREET,ST,,,29365,,287,267,267,2013-12-11,-73.35999697939641,42.0847657474946,926100
M_45427_877393,45427.18440000,877393.48800000,BMP,726012,285,SHEFFIELD-EGREMONT ROAD,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,285,285,,,,,,,,,SHEFFIELD-EGREMONT,ROAD,RD,,,29360,,287,267,267,2013-12-11,-73.36975277845205,42.13171725458427,926100
M_46724_868383,46475.03870000,868179.65890000,ABC,725814,398,WEATOGUE ROAD,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,398,398,,,,,,,,,WEATOGUE,ROAD,RD,,,29402,,287,267,267,2013-12-11,-73.35465865008102,42.04898880119735,926100
M_44979_879237,44979.27900000,879237.43220000,BMP,727118,334,LIME KILN ROAD,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,334,334,,,,,,,,,LIME KILN,ROAD,RD,,,29319,,287,267,267,2013-12-11,-73.37565941871901,42.14822604666497,926100
M_46094_876257,46093.54640000,876257.31060000,BC,725963,124,COOK ROAD,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,124,124,,,,,,,,,COOK,ROAD,RD,,,29271,,287,267,267,2013-12-11,-73.36139498259897,42.12162170097308,926100
M_46282_876567,46281.75620000,876566.91080000,BC,727154,719,NORTH MAIN STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,719,719,,,,,,,NORTH,,MAIN,STREET,ST,,,29420,,287,267,267,2013-12-11,-73.3592010371162,42.12444537878049,926100
M_49970_870069,49970.35560000,870068.98800000,BMP,726323,159,POLIKOFF ROAD,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,159,159,,,,,,,,,POLIKOFF,ROAD,RD,,,29348,,287,267,267,2013-12-11,-73.3129313692274,42.06667151341431,926100
M_49137_869874,49136.86760000,869874.22020000,BMP,725589,1715,HEWINS STREET,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,1715,1715,,,,,,,,,HEWINS,STREET,ST,,,29303,,287,267,267,2013-12-11,-73.32294973849086,42.064758442086664,926100
M_49407_868788,49407.42800000,868787.96380000,BMP,725886,65,PINE LANE,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,65,65,,,,,,,,,PINE,LANE,LN,,,29345,,287,267,267,2013-12-11,-73.31940148792518,42.05503282533722,926100
M_41882_875963,41881.54700000,875962.59270000,BC,4258650,245,NORTH UNDERMOUNTAIN ROAD,,BERKSHIRE SCHOOL,ARTHUR CHASE SUGAR HOUSE,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,245,245,,,,,,,NORTH,,UNDERMOUNTAIN,ROAD,RD,,,29331,16418,287,267,267,2017-02-21,-73.41223954338373,42.11813016555786,926100
M_46610_874830,46609.56040000,874829.56700000,BC,726120,65,MAIN STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,65,65,,,,,,,,,MAIN,STREET,ST,,,29419,,287,267,267,2015-10-30,-73.3547806828517,42.10887169533321,926100
M_48387_869595,48386.94960000,869594.75280000,BMP,726940,84,EAST MAIN STREET,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,84,84,,,,,,,EAST,,MAIN,STREET,ST,,,29283,,287,267,267,2013-12-11,-73.33193605198299,42.06209825992279,926100
M_50851_869940,50851.27360000,869939.52120000,BC,726545,445,ALUM HILL ROAD,,,,,,,,01222,,SHEFFIELD,SHEFFIELD,MA,,445,445,,,,,,,,,ALUM HILL,ROAD,RD,,,29238,,287,267,267,2013-12-11,-73.30225664009943,42.065674216477646,926100
M_46895_875258,46894.96700000,875258.02780000,BC,726779,223,MAIN STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,223,223,,,,,,,,,MAIN,STREET,ST,,,29419,,287,267,267,2013-12-11,-73.35144310128277,42.11278412398074,926100
M_46788_874993,46788.09160000,874992.69700000,BC,726871,126,MAIN STREET,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,126,126,,,,,,,,,MAIN,STREET,ST,,,29419,,287,267,267,2013-12-11,-73.35266541998004,42.11037497012479,926100
M_48957_877113,48957.02660000,877112.74260000,BMP,726199,1004,WATER FARM ROAD,,,,,,,,01257,,SHEFFIELD,SHEFFIELD,MA,,1004,1004,,,,,,,,,WATER FARM,ROAD,RD,,,29401,,287,267,267,2013-12-11,-73.32699537652225,42.12987886628732,926100
