ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_98652_929479,98651.83000000,929478.55340000,BC,728369,79,MECHANIC STREET,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,79,79,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98312_928925,98311.89420000,928925.42860000,BC,728660,15,WATER STREET,,,,,B,,,01370,,SHELBURNE,SHELBURNE,MA,,15,15,,,,,,,,,WATER,STREET,ST,,,29531,,288,268,268,2013-12-11,-72.73921377343865,42.604248518286404,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728518,81,MECHANIC STREET,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,81,81,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98453_929357,98453.17420000,929356.61020000,BC,727974,72,MAIN STREET,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,72,72,,,,,,,,,MAIN,STREET,ST,,,29478,,288,268,268,2013-12-11,-72.73756855164396,42.60814815862274,041502
M_104231_927385,104230.64940000,927385.27200000,BMP,727660,135,ZERAH FISKE ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,135,135,,,,,,,,,ZERAH FISKE,ROAD,RD,,,29538,,288,268,268,2013-12-11,-72.66683788506104,42.591136528138314,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728232,79-81,MECHANIC STREET,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,79,79,,,81,81,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98453_929357,98453.17420000,929356.61020000,BC,728889,72,MAIN STREET,,,,,2 LEFT,,,01370,,SHELBURNE,SHELBURNE,MA,,72,72,,,,,,,,,MAIN,STREET,ST,,,29478,,288,268,268,2013-12-11,-72.73756855164396,42.60814815862274,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728907,79,MECHANIC STREET,,,,,1,,,01370,,SHELBURNE,SHELBURNE,MA,,79,79,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728908,79,MECHANIC STREET,,,,,1S,,,01370,,SHELBURNE,SHELBURNE,MA,,79,79,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728912,81,MECHANIC STREET,,,,,1,,,01370,,SHELBURNE,SHELBURNE,MA,,81,81,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98312_928925,98311.89420000,928925.42860000,BC,728659,15,WATER STREET,,,,,A,,,01370,,SHELBURNE,SHELBURNE,MA,,15,15,,,,,,,,,WATER,STREET,ST,,,29531,,288,268,268,2013-12-11,-72.73921377343865,42.604248518286404,041502
M_102539_927982,102538.80020000,927981.91380000,BMP,728130,29,OLD VILLAGE ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,29,29,,,,,,,,,OLD VILLAGE,ROAD,RD,,,29495,,288,268,268,2013-12-11,-72.68754965760716,42.59629693504537,041502
M_98801_928818,98801.06020000,928818.25800000,BMP,728200,11,MASONIC AVENUE,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,11,11,,,,,,,,,MASONIC,AVENUE,AVE,,,29480,,288,268,268,2013-12-11,-72.73323454320136,42.60334766760535,041502
M_102186_926465,102186.14900000,926464.90360000,BMP,728237,9,JIM BARNARD ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,9,9,,,,,,,,,JIM BARNARD,ROAD,RD,,,29474,,288,268,268,2013-12-11,-72.69158788711265,42.582597486822905,041502
M_105166_932276,105165.87120000,932275.71060000,BMP,727607,40,WILSON GRAVES ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,40,40,,,,,,,,,WILSON GRAVES,ROAD,RD,,,29537,,288,268,268,2013-12-11,-72.65625236046728,42.63527172355872,041502
M_104561_926535,104561.40340000,926535.04120000,PC,727988,97,LUCY FISKE ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,97,97,,,,,,,,,LUCY FISKE,ROAD,RD,,,29477,,288,268,268,2013-12-11,-72.6626673378291,42.58352390616467,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728913,81,MECHANIC STREET,,,,,2,,,01370,,SHELBURNE,SHELBURNE,MA,,81,81,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98312_928925,98311.89420000,928925.42860000,BC,727667,15,WATER STREET,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,15,15,,,,,,,,,WATER,STREET,ST,,,29531,,288,268,268,2013-12-11,-72.73921377343865,42.604248518286404,041502
M_105115_925257,105115.24660000,925256.89880000,BC,728062,124,TAYLOR ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,124,124,,,,,,,,,TAYLOR,ROAD,RD,,,29527,,288,268,268,2013-12-11,-72.65571008691532,42.572086530592344,041502
M_102783_930428,102782.74840000,930428.06660000,BC,728419,417,LITTLE MOHAWK ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,417,417,,,,,,,,,LITTLE MOHAWK,ROAD,RD,,,29476,,288,268,268,2013-12-11,-72.68499162827875,42.6183461054959,041502
M_103926_931537,103926.00480000,931537.28300000,BMP,728318,274,COLRAIN SHELBURNE ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,274,274,,,,,,,,,COLRAIN SHELBURNE,ROAD,RD,,,29440,,288,268,268,2014-03-31,-72.67124375713628,42.6284726400598,041502
M_104584_931746,104584.48200000,931746.21660000,BC,728175,1,PINNACLE LANE,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,1,1,,,,,,,,,PINNACLE,LANE,LN,,,29501,,288,268,268,2013-12-11,-72.66325195642222,42.63043442975242,041502
M_102592_928294,102592.33200000,928294.24800000,BMP,728101,72,OLD VILLAGE ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,72,72,,,,,,,,,OLD VILLAGE,ROAD,RD,,,29495,,288,268,268,2013-12-11,-72.686950421144,42.59911507344347,041502
M_98453_929357,98453.17420000,929356.61020000,BC,728888,72,MAIN STREET,,,,,2,,,01370,,SHELBURNE,SHELBURNE,MA,,72,72,,,,,,,,,MAIN,STREET,ST,,,29478,,288,268,268,2013-12-11,-72.73756855164396,42.60814815862274,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728910,79,MECHANIC STREET,,,,,B,,,01370,,SHELBURNE,SHELBURNE,MA,,79,79,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_98579_930662,98579.33460000,930661.91480000,BMP,727628,230,MAIN STREET,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,230,230,,,,,,,,,MAIN,STREET,ST,,,29478,,288,268,268,2013-12-11,-72.73626177916337,42.61991398266809,041502
M_98652_929479,98651.83000000,929478.55340000,BC,728909,79,MECHANIC STREET,,,,,A,,,01370,,SHELBURNE,SHELBURNE,MA,,79,79,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73516935745873,42.609271721159246,041502
M_102545_928139,102544.75400000,928138.78720000,BC,727763,51,OLD VILLAGE ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,51,51,,,,,,,,,OLD VILLAGE,ROAD,RD,,,29495,,288,268,268,2013-12-11,-72.68750373100993,42.597709754559276,041502
M_98689_929610,98689.04060000,929609.60880000,PC,727984,93,MECHANIC STREET,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,93,93,,,,,,,,,MECHANIC,STREET,ST,,,29481,,288,268,268,2013-12-11,-72.73473904051221,42.610456233425495,041502
M_104154_923894,104153.94320000,923893.76220000,PC,727899,422,TAYLOR ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,422,422,,,,,,,,,TAYLOR,ROAD,RD,,,29527,,288,268,268,2013-12-11,-72.66719026352824,42.559698455286394,041502
M_102568_926129,102567.74200000,926129.29880000,BC,727935,106,BARDWELLS FERRY ROAD,,,,,,,,01370,,SHELBURNE,SHELBURNE,MA,,106,106,,,,,,,,,BARDWELLS FERRY,ROAD,RD,,,29428,,288,268,268,2013-12-11,-72.68688296019106,42.57962446887284,041502
M_103894_928649,103893.57940000,928648.57960000,BMP,728629,1089,MOHAWK TRAIL,,,,,B,,,01370,,SHELBURNE,SHELBURNE,MA,,1089,1089,,,,,,,,,MOHAWK,TRAIL,TRL,,,29484,,288,268,268,2013-12-11,-72.67115550025784,42.60246645904606,041502
M_98693_929078,98692.72340000,929077.53660000,BC,728680,21,HIGH STREET,,,,,2,,,01370,,SHELBURNE,SHELBURNE,MA,,21,21,,,,,,,,,HIGH,STREET,ST,,,29469,,288,268,268,2013-12-11,-72.73460030740115,42.60566739532637,041502
