ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_187679_921456,187678.84240000,921455.93440000,BMP,1882941,23,CHAPEL STREET,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,23,23,,,,,,,,,CHAPEL,STREET,ST,,,88930,,290,270,270,2014-02-09,-71.65000109869253,42.54355839090419,388200
M_188779_922269,188778.95680000,922268.73620000,BMP,1884195,15,PEABODY ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,15,15,,,,,,,,,PEABODY,ROAD,RD,,,89024,,290,270,270,2014-02-09,-71.63662388288908,42.55089215297609,388200
M_189868_924898,189867.60120000,924898.09440000,BC,1883200,145,HAZEN ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,145,145,,,,,,,,,HAZEN,ROAD,RD,,,88964,,290,270,270,2014-02-09,-71.62341523304578,42.57457738346239,388200
M_187126_920656,187125.68280000,920655.65580000,BC,1882085,8,WINDSOR ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,8,8,,,,,,,,,WINDSOR,ROAD,RD,,,89078,,290,270,270,2014-02-09,-71.6567174973575,42.53634504027086,388200
M_186869_920553,186869.30500000,920553.08200000,BC,1883389,58,LANCASTER ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,58,58,,,,,,,,,LANCASTER,ROAD,RD,,,88982,,290,270,270,2014-02-09,-71.65983600611835,42.53541735011682,388200
M_187512_920677,187512.41840000,920676.95620000,BC,1883046,57,HARVARD ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,57,57,,,,,,,,,HARVARD,ROAD,RD,,,88962,,290,270,270,2014-02-09,-71.65201028414823,42.53654309504859,388200
M_186822_927585,186821.64220000,927584.60920000,BC,1883853,148,GROTON ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,148,148,,,,,,,,,GROTON,ROAD,RD,,,88961,,290,270,270,2014-02-09,-71.66057732530952,42.598716396043855,388200
M_187556_921361,187556.33100000,921360.67460000,BC,1883013,5,PAGE STREET,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,5,5,,,,,,,,,PAGE,STREET,ST,,,89019,,290,270,270,2014-02-09,-71.65149052270357,42.542698879296786,388200
M_189641_924948,189641.22920000,924948.28240000,BMP,1882091,95,GREAT ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,95,95,,,,,,,,,GREAT,ROAD,RD,,,88889,,290,270,270,2014-02-09,-71.62617340272887,42.57502620821212,388200
M_188775_923056,188775.48120000,923056.35840000,BMP,1883714,60,PATTERSON ROAD,,,,,,,,01464,,SHIRLEY,SHIRLEY,MA,,60,60,,,,,,,,,PATTERSON,ROAD,RD,,,89022,,290,270,270,2014-02-09,-71.63668156773505,42.557982536111396,388200
