ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_180128_891509,180128.30880000,891508.70240000,BMP,4194100,15,ROLFE AVENUE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,15,15,,,,,,,,,ROLFE,AVENUE,AVE,,,88389,,291,271,271,2015-01-22,-71.74089327408346,42.27379816572605,739200
M_179520_891092,179520.28180000,891091.64500000,BMP,4202914,30,VILLA ROAD,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,30,30,,,,,,,,,VILLA,ROAD,RD,,,88772,,291,271,271,2015-01-22,-71.74824928609057,42.27002773880099,739200
M_180128_891509,180128.30880000,891508.70240000,BMP,4203933,17,ROLFE AVENUE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,17,17,,,,,,,,,ROLFE,AVENUE,AVE,,,88389,,291,271,271,2015-01-22,-71.74089327408346,42.27379816572605,739200
M_180078_891253,180077.80200000,891252.61360000,BMP,4203316,61,WORTHINGTON AVENUE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,61,61,,,,,,,,,WORTHINGTON,AVENUE,AVE,,,88825,,291,271,271,2015-01-22,-71.74149674673578,42.27149133504299,739200
M_180388_888398,180388.16880000,888398.30860000,BC,4206542,14,LAKESIDE DRIVE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,14,14,,,,,,,,,LAKESIDE,DRIVE,DR,,,88188,,291,271,271,2015-01-22,-71.7376381058001,42.24580205563014,739100
M_183874_894682,183874.28560000,894681.83820000,BC,1865557,85,SCHOOL STREET,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,85,85,,,,,,,,,SCHOOL,STREET,ST,,,88413,,291,271,271,2014-02-09,-71.69557129047203,42.302451846413476,739400
M_181514_889929,181513.95280000,889928.88260000,BC,1866985,11,BALDWIN CIRCLE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,11,11,,,,,,,,,BALDWIN,CIRCLE,CIR,,,88454,,291,271,271,2014-02-09,-71.724045671495,42.2596091663343,739100
M_183714_895573,183714.01540000,895573.17980000,ABC,1867257,123,HIGH STREET,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,123,123,,,,,,,,,HIGH,STREET,ST,,,88112,,291,271,271,2014-02-09,-71.69754006237207,42.31047314718768,739400
M_179986_895835,179986.42980000,895835.20280000,BC,1871704,18,GREENBRIAR DRIVE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,18,18,,,,,,,,,GREENBRIAR,DRIVE,DR,,,88072,,291,271,271,2014-02-09,-71.74276245565922,42.31274548361484,739500
M_184602_896012,184601.60200000,896012.35580000,BC,1863613,1,BLACKTHORN ROAD,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,1,1,,,,,,,,,BLACKTHORN,ROAD,RD,,,88479,,291,271,271,2014-02-09,-71.68678582430756,42.314444986308665,739400
M_181803_896095,181802.90560000,896095.47720000,BC,1863708,5,BRYANT AVENUE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,5,5,,,,,,,,,BRYANT,AVENUE,AVE,,,88511,,291,271,271,2014-02-09,-71.72073707292867,42.31513312466465,739500
M_180305_893445,180305.05820000,893445.36080000,BMP,1867079,280,MAIN STREET,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,280,280,,,,,,,,,MAIN,STREET,ST,,,88218,,291,271,271,2014-02-09,-71.73881638435125,42.291238171741036,739500
M_179889_890057,179888.81640000,890057.25620000,BC,1863746,44,CEDAR ROAD,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,44,44,,,,,,,,,CEDAR,ROAD,RD,,,88530,,291,271,271,2014-02-09,-71.74374620888968,42.260724784882605,739100
M_182638_892746,182637.79800000,892745.72480000,BC,1869835,36,STONYBROOK LANE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,36,36,,,,,,,,,STONYBROOK,LANE,LN,,,88713,,291,271,271,2014-02-09,-71.71050929731946,42.2849947426471,739400
M_182358_888685,182358.01240000,888684.52140000,PC,1872874,739,GRAFTON STREET,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,739,739,,,,,,,,,GRAFTON,STREET,ST,,,88070,,291,271,271,2014-02-09,-71.71377815305098,42.24842574671837,739100
M_181954_892280,181954.34200000,892279.50420000,BC,1876455,66-68,JANET CIRCLE,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,66,66,,,68,68,,,,,JANET,CIRCLE,CIR,,,88151,,291,271,271,2014-02-09,-71.71878137526816,42.28078192061131,739300
M_186369_890920,186368.72520000,890920.49300000,BC,1876467,678,SOUTH STREET,,,,,,,,01545,,SHREWSBURY,SHREWSBURY,MA,,678,678,,,,,,,,,SOUTH,STREET,ST,,,88690,,291,271,271,2014-02-09,-71.66523065504548,42.26863631146296,739100
