ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_119112_909041,119112.31440000,909040.56300000,BC,1046550,17,SUMNER MOUNTAIN ROAD,,,,,,,,01002,,SHUTESBURY,SHUTESBURY,MA,,17,17,,,,,,,,,SUMNER MOUNTAIN,ROAD,RD,,,45842,,292,272,272,2013-12-20,-72.48296408618125,42.42769051822021,040600
M_123284_916708,123283.50560000,916708.00660000,BC,1046611,315,LOCKS POND ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,315,315,,,,,,,,,LOCKS POND,ROAD,RD,,,45795,,292,272,272,2013-12-20,-72.43329853266862,42.49713460561483,040600
M_122308_907687,122307.87520000,907687.17060000,BMP,1046345,541,WEST PELHAM ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,541,541,,,,,,,WEST,,PELHAM,ROAD,RD,,,45850,,292,272,272,2013-12-20,-72.44395219424598,42.41583211996041,040600
M_123447_910597,123447.38260000,910596.93700000,BMP,1045900,125,WEST PELHAM ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,125,125,,,,,,,WEST,,PELHAM,ROAD,RD,,,45850,,292,272,272,2013-12-20,-72.4304940447196,42.442138827479255,040600
M_123204_916788,123203.85460000,916787.56620000,PC,1046615,333,LOCKS POND ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,333,333,,,,,,,,,LOCKS POND,ROAD,RD,,,45795,,292,272,272,2013-12-20,-72.43427805480755,42.49784294649359,040600
M_124884_914068,124884.19260000,914067.89100000,BMP,1046206,319,WENDELL ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,319,319,,,,,,,,,WENDELL,ROAD,RD,,,45849,,292,272,272,2013-12-20,-72.4134828349887,42.47352433213624,040600
M_124071_914956,124070.68980000,914956.30640000,BC,1045952,37,OLD ORCHARD ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,37,37,,,,,,,,,OLD ORCHARD,ROAD,RD,,,45810,,292,272,272,2013-12-20,-72.4234920377596,42.48144299174267,040600
M_122962_917245,122961.99740000,917245.43020000,BMP,1045983,55,LAKEVIEW ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,55,55,,,,,,,,,LAKEVIEW,ROAD,RD,,,45788,,292,272,272,2013-12-20,-72.43728138434784,42.50194072053084,040600
M_124368_910332,124368.24440000,910331.74280000,BMP,1046054,158,PELHAM HILL ROAD,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,158,158,,,,,,,,,PELHAM HILL,ROAD,RD,,,45813,,292,272,272,2013-12-20,-72.41926713916716,42.43984141770611,040600
M_123444_916706,123444.00380000,916706.22140000,BC,1046777,16,HASKINS WAY,,,,,,,,01072,,SHUTESBURY,SHUTESBURY,MA,,16,16,,,,,,,,,HASKINS,WAY,WAY,,,45770,,292,272,272,2013-12-20,-72.43134590163085,42.49713432821434,040600
