ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_97343_884971,97343.41920000,884971.33380000,BC,740692,71,GILBERT ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,71,71,,,,,,,,,GILBERT,ROAD,RD,,,30133,,299,276,276,2013-12-11,-72.7432077853672,42.20845940348672,822500
M_94191_884915,94191.16440000,884915.35960000,PC,740308,47,MONTGOMERY ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,47,47,,,,,,,,,MONTGOMERY,ROAD,RD,,,30176,,299,276,276,2013-12-11,-72.78136687430406,42.20753554331574,822500
M_100844_882417,100844.31560000,882416.97660000,BMP,741234,14,COTTAGE AVENUE,,,,,B,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,14,14,,,,,,,,,COTTAGE,AVENUE,AVE,,,30101,,299,276,276,2013-12-11,-72.70038106899382,42.185916161469734,822500
M_100974_887657,100973.73440000,887657.25380000,PC,739362,73,PLEASANT STREET,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,73,73,,,,,,,,,PLEASANT,STREET,ST,,,30201,,299,276,276,2013-12-11,-72.69970675175678,42.23310638315784,822500
M_96110_885296,96109.62800000,885295.98500000,BMP,740070,82,RUSSELLVILLE ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,82,82,,,,,,,,,RUSSELLVILLE,ROAD,RD,,,30212,,299,276,276,2013-12-11,-72.75820527378909,42.2112190709077,822500
M_100553_890518,100553.10160000,890518.12160000,BMP,740445,11,DUGGAN LANE,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,11,11,,,,,,,,,DUGGAN,LANE,LN,,,30118,,299,276,276,2013-12-11,-72.70529178693693,42.25880681290538,822500
M_100385_882562,100384.83080000,882562.07020000,BMP,740536,150,MIDDLE ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,150,150,,,,,,,,,MIDDLE,ROAD,RD,,,30173,,299,276,276,2013-12-11,-72.70596769626016,42.18716397130594,822500
M_98796_888035,98796.00840000,888034.97960000,BMP,740560,172,COLLEGE HIGHWAY,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,172,172,,,,,,,,,COLLEGE,HIGHWAY,HWY,,,30096,,299,276,276,2013-12-11,-72.72615216389778,42.23622791579916,822500
M_100358_886998,100358.17800000,886998.37080000,BMP,739608,37,PLEASANT STREET,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,37,37,,,,,,,,,PLEASANT,STREET,ST,,,30201,,299,276,276,2013-12-11,-72.70705029322795,42.227096852675714,822500
M_100844_882417,100844.31560000,882416.97660000,BMP,740828,14,COTTAGE AVENUE,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,14,14,,,,,,,,,COTTAGE,AVENUE,AVE,,,30101,,299,276,276,2013-12-11,-72.70038106899382,42.185916161469734,822500
M_98275_886611,98275.46540000,886610.59600000,BMP,738648,246,COLLEGE HIGHWAY,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,246,246,,,,,,,,,COLLEGE,HIGHWAY,HWY,,,30096,,299,276,276,2013-12-11,-72.73220871882567,42.22333795841028,822500
M_100279_890482,100278.65760000,890482.47060000,BC,739869,14,SUSAN DRIVE,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,14,14,,,,,,,,,SUSAN,DRIVE,DR,,,30224,,299,276,276,2013-12-11,-72.70861146874952,42.258450918873095,822500
M_99345_888012,99344.68420000,888012.21200000,BC,739318,6,LYNN DRIVE,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,6,6,,,,,,,,,LYNN,DRIVE,DR,,,30165,,299,276,276,2013-12-11,-72.71950156459121,42.23609377486223,822500
M_97113_885297,97112.68260000,885296.60080000,ABC,740931,51,GILBERT ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,51,51,,,,,,,,,GILBERT,ROAD,RD,,,30133,,299,276,276,2013-12-11,-72.74605923157175,42.21135717672993,822500
M_99653_885406,99653.46480000,885406.46760000,PC,739620,4,MADELINE WAY,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,4,4,,,,,,,,,MADELINE,WAY,WAY,,,30166,,299,276,276,2013-12-11,-72.71531121649915,42.21267624532975,822500
M_101583_887989,101582.65200000,887989.25300000,BMP,740982,96,PLEASANT STREET,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,96,96,,,,,,,,,PLEASANT,STREET,ST,,,30201,,299,276,276,2013-12-11,-72.69238688125036,42.236171951553736,822500
M_101624_882746,101624.27240000,882745.81720000,BC,740895,38,CAMP JAHN ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,38,38,,,,,,,,,CAMP JAHN,ROAD,RD,,,30090,,299,276,276,2013-12-11,-72.69099570826738,42.18897488392222,822500
M_97095_885575,97094.52340000,885574.89580000,BMP,740972,35,GILBERT ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,35,35,,,,,,,,,GILBERT,ROAD,RD,,,30133,,299,276,276,2013-12-11,-72.746328368943,42.2138600244084,822500
M_100868_891139,100867.67140000,891139.48140000,BC,739135,215,POMEROY MEADOW ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,215,215,,,,,,,,,POMEROY MEADOW,ROAD,RD,,,30202,,299,276,276,2013-12-11,-72.70158580265269,42.264440294151335,822500
M_97870_885877,97870.40840000,885876.57740000,BC,738806,22,KATELYN WAY,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,22,22,,,,,,,,,KATELYN,WAY,WAY,,,30153,,299,276,276,2013-12-11,-72.73698562993472,42.216677471718405,822500
M_99300_886333,99299.99620000,886333.09020000,BC,738390,11,STRONG ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,11,11,,,,,,,,,STRONG,ROAD,RD,,,30222,,299,276,276,2013-12-11,-72.71975201540984,42.220972394956526,822500
M_96163_887045,96162.95000000,887044.79160000,BMP,740098,102,FOMER ROAD,,,,,,,,01073,,SOUTHAMPTON,SOUTHAMPTON,MA,,102,102,,,,,,,,,FOMER,ROAD,RD,,,30128,,299,276,276,2013-12-11,-72.75787190629038,42.22696901223484,822500
