ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_199545_894918,199545.18060000,894918.47440000,BMP,4196281,26,MEADOW LANE,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,26,26,,,,,,,,,MEADOW,LANE,LN,,,87965,,300,277,277,2015-01-22,-71.50551620619584,42.304748560175625,741101
M_196860_897214,196859.72520000,897214.13560000,BMP,1861014,9,STOWE ROAD,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,9,9,,,,,,,,,STOWE,ROAD,RD,,,87772,,300,277,277,2014-02-09,-71.53809876723595,42.325409918168575,741102
M_197228_897101,197228.30280000,897101.09300000,BMP,1861159,148,MARLBORO ROAD,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,148,148,,,,,,,,,MARLBORO,ROAD,RD,,,87963,,300,277,277,2014-02-09,-71.53362653171162,42.32439360767887,741102
M_198130_896227,198129.72120000,896227.07260000,BMP,1861489,90,FRAMINGHAM ROAD,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,90,90,,,,,,,,,FRAMINGHAM,ROAD,RD,,,87822,,300,277,277,2014-02-09,-71.5226876058937,42.31652760381957,741101
M_198362_894421,198362.09520000,894420.80200000,BC,1859232,12,MACNEILL DRIVE,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,12,12,,,,,,,,,MACNEILL,DRIVE,DR,,,87957,,300,277,277,2014-02-09,-71.51986366707422,42.300266483883185,741101
M_197168_896492,197167.59700000,896491.96380000,BMP,1861830,9,WOLFPEN LANE,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,9,9,,,,,,,,,WOLFPEN,LANE,LN,,,87811,,300,277,277,2014-02-09,-71.53436004405309,42.31890948682505,741102
M_199545_894918,199545.18060000,894918.47440000,BMP,1858839,30,MEADOW LANE,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,30,30,,,,,,,,,MEADOW,LANE,LN,,,87965,,300,277,277,2014-02-09,-71.50551620619584,42.304748560175625,741101
M_198451_896293,198450.62620000,896292.51020000,BC,1859237,12,PINECONE LANE,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,12,12,,,,,,,,,PINECONE,LANE,LN,,,88007,,300,277,277,2014-02-09,-71.51879501043032,42.31711743233075,741101
M_197947_895311,197946.82420000,895310.86780000,BC,1859323,20,NEWTON STREET,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,20,20,,,,,,,,,NEWTON,STREET,ST,,,87980,,300,277,277,2014-02-09,-71.52490301143034,42.30827866734116,741101
M_196435_891940,196434.68160000,891939.60800000,BC,1861441,8,OLAND LANE,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,8,8,,,,,,,,,OLAND,LANE,LN,,,87988,,300,277,277,2014-02-09,-71.54322309686522,42.27792208143462,741102
M_196225_894213,196224.67860000,894212.99060000,BMP,1862116,3,FLAGG ROAD,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,3,3,,,,,,,,,FLAGG,ROAD,RD,,,87901,,300,277,277,2014-02-09,-71.54578380003326,42.29838817374465,741102
M_198337_893503,198337.49420000,893502.64880000,BC,1860718,154,TURNPIKE ROAD,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,154,154,,,,,,,,,TURNPIKE,ROAD,RD,,,87779,,300,277,277,2014-02-09,-71.52015938365133,42.29200038573425,741101
M_197147_893589,197147.27260000,893588.52220000,BC,1861378,6,JOHN MATTHEWS ROAD,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,6,6,,,,,,,,,JOHN MATTHEWS,ROAD,RD,,,87936,,300,277,277,2014-02-09,-71.53459231607334,42.29277005724629,741102
M_198337_893503,198337.49420000,893502.64880000,BC,1863150,154,TURNPIKE ROAD,,,,,110,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,154,154,,,,,,,,,TURNPIKE,ROAD,RD,,,87779,,300,277,277,2014-02-09,-71.52015938365133,42.29200038573425,741101
M_198337_893503,198337.49420000,893502.64880000,BC,1863152,154,TURNPIKE ROAD,,,,,130,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,154,154,,,,,,,,,TURNPIKE,ROAD,RD,,,87779,,300,277,277,2014-02-09,-71.52015938365133,42.29200038573425,741101
M_194340_895167,194339.84140000,895167.46360000,BMP,1860160,179,MAIN STREET,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,179,179,,,,,,,,,MAIN,STREET,ST,,,87959,,300,277,277,2014-02-09,-71.56865076706684,42.30696980755589,741102
M_197314_890786,197313.53960000,890785.89020000,BC,1860386,33,HIGHLAND STREET,,,,,,,,01772,,SOUTHBOROUGH,SOUTHBOROUGH,MA,,33,33,,,,,,,,,HIGHLAND,STREET,ST,,,87925,,300,277,277,2014-02-09,-71.53256317997608,42.26753873657101,741102
