ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_96849_869719,96849.03140000,869719.48300000,PC,4194898,31,HUDSON DRIVE,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,31,31,,,,,,,,,HUDSON,DRIVE,DR,,,30760,,302,279,279,2015-01-22,-72.74649509944342,42.07109426180228,813101
M_92551_864853,92551.11840000,864853.23020000,BC,748500,2,HIDDEN PLACE,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,2,2,,,,,,,,,HIDDEN,PLACE,PL,,,30591,,302,279,279,2013-12-11,-72.79752953370274,42.0267098780685,813102
M_94478_864101,94477.53920000,864101.33380000,BMP,751836,86,CONGAMOND ROAD,,,,,B,,,01077,,SOUTHWICK,SOUTHWICK,MA,,86,86,,,,,,,,,CONGAMOND,ROAD,RD,,,30541,,302,279,279,2013-12-11,-72.77413436254584,42.020202547062766,813101
M_95019_868083,95019.26100000,868082.96620000,BMP,750982,504,COLLEGE HIGHWAY,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,504,504,,,,,,,,,COLLEGE,HIGHWAY,HWY,,,30539,,302,279,279,2013-12-11,-72.76830910984482,42.056119035649466,813101
M_94890_863530,94889.98220000,863529.92060000,BC,748698,5,FIRST STREET,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,5,5,,,,,,,,,FIRST,STREET,ST,,,30568,,302,279,279,2013-12-11,-72.76905239724593,42.01511386475893,813101
M_92015_863147,92015.29380000,863146.92280000,BC,747458,3,NICHOLSON HILL ROAD,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,3,3,,,,,,,,,NICHOLSON HILL,ROAD,RD,,,30651,,302,279,279,2013-12-11,-72.8036841235884,42.01127569347101,813102
M_96826_867269,96825.98240000,867269.12220000,BMP,749093,3,GRANAUDO CIRCLE,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,3,3,,,,,,,,,GRANAUDO,CIRCLE,CIR,,,30580,,302,279,279,2013-12-11,-72.74634095026647,42.04903234298919,813101
M_96035_868658,96034.99360000,868658.05140000,BMP,749171,37,BIRCHWOOD ROAD,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,37,37,,,,,,,,,BIRCHWOOD,ROAD,RD,,,30522,,302,279,279,2013-12-11,-72.75614178286936,42.06143143581119,813101
M_98835_869184,98834.59320000,869183.92820000,BC,749858,6,HILLCREST ROAD,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,6,6,,,,,,,,,HILLCREST,ROAD,RD,,,30594,,302,279,279,2013-12-11,-72.72241178380229,42.06653174203785,813101
M_97980_868235,97979.67240000,868234.67620000,BC,750965,47,LEXINGTON CIRCLE,,,,,,,,01077,,SOUTHWICK,SOUTHWICK,MA,,47,47,,,,,,,,,LEXINGTON,CIRCLE,CIR,,,30628,,302,279,279,2013-12-11,-72.7325748768913,42.057875499647885,813101
